Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
231000.0,298000.0,274910.13,231000.0,28601.15,179100.0,179100.0,178991.41,179100.0,173.98,100MN Y-S8 Compact Afterburner,35657,C-J6MT,2025-10-29 18:32:43
231000.0,298000.0,274910.13,231000.0,28601.15,179100.0,179100.0,178991.41,179100.0,173.98,100MN Y-S8 Compact Afterburner,35657,C-J6MT,2025-10-29 18:31:30
231000.0,298000.0,274910.13,231000.0,28601.15,179100.0,179100.0,178991.41,179100.0,173.98,100MN Y-S8 Compact Afterburner,35657,C-J6MT,2025-10-29 19:15:03
231000.0,298000.0,274910.13,231000.0,28601.15,179100.0,179100.0,178991.41,179100.0,173.98,100MN Y-S8 Compact Afterburner,35657,C-J6MT,2025-10-29 20:21:27
231000.0,298000.0,274910.13,231000.0,28601.15,179100.0,179100.0,178991.41,179100.0,173.98,100MN Y-S8 Compact Afterburner,35657,C-J6MT,2025-10-29 21:17:28
231000.0,298000.0,274910.13,231000.0,28601.15,179100.0,179100.0,178991.41,179100.0,173.98,100MN Y-S8 Compact Afterburner,35657,C-J6MT,2025-10-29 22:18:02
231000.0,298000.0,274910.13,231000.0,28601.15,179100.0,179100.0,178991.41,179100.0,173.98,100MN Y-S8 Compact Afterburner,35657,C-J6MT,2025-10-29 23:17:56
231000.0,298000.0,274910.13,231000.0,28601.15,179100.0,179100.0,178991.41,179100.0,173.98,100MN Y-S8 Compact Afterburner,35657,C-J6MT,2025-10-30 01:24:16
231000.0,298000.0,274910.13,231000.0,28601.15,179100.0,179100.0,178991.41,179100.0,173.98,100MN Y-S8 Compact Afterburner,35657,C-J6MT,2025-10-30 03:10:50
231000.0,298000.0,274910.13,231000.0,28601.15,179100.0,179100.0,178991.41,179100.0,173.98,100MN Y-S8 Compact Afterburner,35657,C-J6MT,2025-10-30 04:21:46
231000.0,298000.0,274910.13,231000.0,28601.15,179100.0,179100.0,178991.41,179100.0,173.98,100MN Y-S8 Compact Afterburner,35657,C-J6MT,2025-10-30 05:18:32
