Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
779100.0,817800.0,858131.0,779200.0,78439.17,656200.0,614100.0,538000.77,656200.0,145970.37,150mm Railgun II,3074,jita,2025-11-02 09:05:55
779200.0,819600.0,858833.29,779200.0,78406.1,656200.0,614100.0,536703.81,656200.0,146605.33,150mm Railgun II,3074,jita,2025-11-02 09:16:30
779100.0,819600.0,858726.79,779200.0,78412.31,656200.0,614100.0,536703.81,656200.0,146605.33,150mm Railgun II,3074,jita,2025-11-02 10:17:05
779000.0,817800.0,857812.49,779200.0,78351.41,656200.0,614100.0,533036.21,656200.0,148362.05,150mm Railgun II,3074,jita,2025-11-02 10:55:35
779000.0,817800.0,857812.49,779200.0,78351.41,656200.0,614100.0,533036.21,656200.0,148362.05,150mm Railgun II,3074,jita,2025-11-02 11:07:39
778900.0,817800.0,857814.05,778900.0,78405.73,656200.0,614100.0,533036.21,656200.0,148362.05,150mm Railgun II,3074,jita,2025-11-02 11:13:40
778800.0,817800.0,857597.98,778900.0,78423.6,656200.0,614100.0,533036.21,656200.0,148362.05,150mm Railgun II,3074,jita,2025-11-02 12:32:20
778800.0,817800.0,857597.98,778900.0,78423.6,656200.0,614100.0,530186.98,656200.0,149687.75,150mm Railgun II,3074,jita,2025-11-02 13:22:23
778900.0,817800.0,858510.23,778900.0,78375.3,655400.0,614100.0,524531.81,655400.0,152220.02,150mm Railgun II,3074,jita,2025-11-02 14:15:17
778800.0,819600.0,858741.83,778800.0,78382.61,655400.0,614100.0,524531.81,655400.0,152220.02,150mm Railgun II,3074,jita,2025-11-02 15:16:20
778800.0,819600.0,859009.62,778900.0,78365.63,655400.0,614100.0,524531.81,655400.0,152220.02,150mm Railgun II,3074,jita,2025-11-02 16:19:34
778700.0,819600.0,858623.94,778800.0,78390.37,655400.0,614100.0,524531.81,655400.0,152220.02,150mm Railgun II,3074,jita,2025-11-02 17:14:58
778600.0,819600.0,858606.8,778600.0,78406.87,655400.0,614100.0,524531.81,655400.0,152220.02,150mm Railgun II,3074,jita,2025-11-02 18:22:08
778000.0,819600.0,859465.34,778600.0,78352.67,655400.0,614100.0,524531.81,655400.0,152220.02,150mm Railgun II,3074,jita,2025-11-02 19:13:36
777700.0,803800.0,853881.71,777700.0,78625.92,655500.0,654800.0,558178.97,655500.0,134923.63,150mm Railgun II,3074,jita,2025-11-02 20:18:22
777200.0,803800.0,853860.81,777600.0,78644.78,655500.0,654800.0,558178.97,655500.0,134923.63,150mm Railgun II,3074,jita,2025-11-02 21:15:04
