Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
1673000.0,1709000.0,1738633.41,1674000.0,89847.01,1140000.0,1138000.0,1138235.11,1140000.0,664.21,1MN Afterburner II,438,C-J6MT,2025-11-02 09:05:56
1673000.0,1709000.0,1738757.08,1674000.0,89882.79,1140000.0,1138000.0,1138235.11,1140000.0,664.21,1MN Afterburner II,438,C-J6MT,2025-11-02 09:16:31
1673000.0,1709000.0,1738757.08,1674000.0,89882.79,1140000.0,1138000.0,1138235.11,1140000.0,664.21,1MN Afterburner II,438,C-J6MT,2025-11-02 10:17:06
1673000.0,1709000.0,1738757.08,1674000.0,89882.79,1140000.0,1138000.0,1138235.11,1140000.0,664.21,1MN Afterburner II,438,C-J6MT,2025-11-02 10:55:36
1673000.0,1709000.0,1738757.08,1674000.0,89882.79,1140000.0,1138000.0,1138235.11,1140000.0,664.21,1MN Afterburner II,438,C-J6MT,2025-11-02 11:07:40
1673000.0,1709000.0,1738757.08,1674000.0,89882.79,1140000.0,1138000.0,1138235.11,1140000.0,664.21,1MN Afterburner II,438,C-J6MT,2025-11-02 11:13:41
1672000.0,1709000.0,1738855.78,1672000.0,90057.18,1140000.0,1138000.0,1138235.11,1140000.0,664.21,1MN Afterburner II,438,C-J6MT,2025-11-02 12:32:21
1674000.0,1709000.0,1739877.32,1674000.0,90335.84,1140000.0,1138000.0,1138235.11,1140000.0,664.21,1MN Afterburner II,438,C-J6MT,2025-11-02 13:22:24
1673000.0,1709000.0,1739747.19,1674000.0,90301.77,1140000.0,1138000.0,1138235.11,1140000.0,664.21,1MN Afterburner II,438,C-J6MT,2025-11-02 14:15:18
1673000.0,1709000.0,1739875.37,1674000.0,90337.27,1140000.0,1138000.0,1138235.11,1140000.0,664.21,1MN Afterburner II,438,C-J6MT,2025-11-02 15:16:21
1674000.0,1709000.0,1740004.04,1674000.0,90372.7,1140000.0,1138000.0,1138235.11,1140000.0,664.21,1MN Afterburner II,438,C-J6MT,2025-11-02 16:19:35
1674000.0,1709000.0,1740774.69,1684000.0,90592.6,1140000.0,1138000.0,1138235.11,1140000.0,664.21,1MN Afterburner II,438,C-J6MT,2025-11-02 17:14:59
1683000.0,1709000.0,1740698.33,1684000.0,90519.5,1140000.0,1138000.0,1138235.11,1140000.0,664.21,1MN Afterburner II,438,C-J6MT,2025-11-02 18:22:09
1684000.0,1709000.0,1741370.83,1684000.0,90815.21,1140000.0,1138000.0,1138235.11,1140000.0,664.21,1MN Afterburner II,438,C-J6MT,2025-11-02 19:13:37
1684000.0,1709000.0,1742400.61,1684000.0,91265.74,1140000.0,1138000.0,1138235.11,1140000.0,664.21,1MN Afterburner II,438,C-J6MT,2025-11-02 20:18:23
1684000.0,1709000.0,1742634.49,1684000.0,91366.04,1140000.0,1138000.0,1138235.11,1140000.0,664.21,1MN Afterburner II,438,C-J6MT,2025-11-02 21:15:05
1682000.0,1709000.0,1741326.97,1682000.0,90843.49,1140000.0,1138000.0,1138124.9,1140000.0,500.0,1MN Afterburner II,438,C-J6MT,2025-11-02 22:16:12
1682000.0,1709000.0,1741914.24,1683000.0,91081.01,1140000.0,1138000.0,1138124.9,1140000.0,500.0,1MN Afterburner II,438,C-J6MT,2025-11-02 23:15:52
1683000.0,1709000.0,1742513.25,1684000.0,91318.52,1140000.0,1138000.0,1138124.9,1140000.0,500.0,1MN Afterburner II,438,C-J6MT,2025-11-03 01:24:58
1689000.0,1709000.0,1744015.53,1691000.0,92008.07,1140000.0,1138000.0,1138124.9,1140000.0,500.0,1MN Afterburner II,438,C-J6MT,2025-11-03 03:16:37
1691000.0,1709000.0,1744128.47,1691000.0,92065.06,1140000.0,1138000.0,1138124.9,1140000.0,500.0,1MN Afterburner II,438,C-J6MT,2025-11-03 04:27:38
1690000.0,1709000.0,1744126.38,1691000.0,92066.29,1140000.0,1138000.0,1138124.9,1140000.0,500.0,1MN Afterburner II,438,C-J6MT,2025-11-03 05:19:22
