Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
880000.0,890800.0,915126.33,880000.0,410421.61,813600.0,0.01,0.01,0.01,2929.67,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-02 09:06:01
879900.0,890800.0,915101.83,880000.0,410467.07,807300.0,0.01,0.01,0.01,2843.91,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-02 09:16:37
879800.0,890800.0,915101.79,880000.0,410467.07,807300.0,0.01,0.01,0.01,2843.91,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-02 10:17:11
879800.0,890800.0,915101.79,880000.0,410467.07,807300.0,0.01,0.01,0.01,2843.91,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-02 10:55:42
879800.0,890800.0,915101.79,880000.0,410467.07,807300.0,0.01,0.01,0.01,2843.91,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-02 11:07:46
813600.0,890200.0,898993.22,813600.0,381012.92,807300.0,0.01,0.01,0.01,2843.91,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-02 11:13:47
813600.0,890200.0,899040.21,813600.0,381104.61,807300.0,0.01,0.01,0.01,2843.91,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-02 12:32:27
869900.0,890800.0,915085.52,880000.0,410511.97,810000.0,0.01,0.01,0.01,4615.26,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-02 13:22:28
880000.0,890800.0,915294.39,880000.0,411543.37,810100.0,0.01,0.01,0.01,5219.07,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-02 14:15:23
880000.0,890800.0,915292.09,880000.0,411501.12,810100.0,0.01,0.01,0.01,5172.34,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-02 15:16:27
878900.0,890800.0,915289.06,880000.0,411501.56,810200.0,0.01,0.01,0.01,5266.65,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-02 16:19:39
878700.0,890800.0,914555.01,878700.0,411899.17,810200.0,0.01,0.01,0.01,5227.36,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-02 17:15:05
878700.0,890800.0,914646.02,878700.0,412399.64,810200.0,0.01,0.01,0.01,5205.34,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-02 18:22:14
878500.0,890800.0,914642.18,878700.0,412571.41,810100.0,0.01,0.01,0.01,5158.49,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-02 19:13:43
878400.0,890800.0,914694.85,878700.0,412864.66,810200.0,0.01,0.01,0.01,5266.76,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-02 20:18:28
878000.0,890800.0,911696.44,878400.0,396163.72,810200.0,0.01,0.01,0.01,5240.53,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-02 21:15:11
877900.0,890800.0,911709.54,878400.0,396237.79,810200.0,0.01,0.01,0.01,5212.28,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-02 22:16:16
877900.0,890800.0,911643.71,878000.0,395867.91,810200.0,0.01,0.01,0.01,5177.54,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-02 23:15:57
877900.0,890800.0,911682.92,878000.0,396089.75,810100.0,0.01,0.01,0.01,5143.84,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-03 01:25:03
877900.0,890800.0,911689.49,878300.0,396126.75,810100.0,0.01,0.01,0.01,5037.51,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-03 03:16:42
877900.0,890800.0,911709.22,878400.0,396237.83,810100.0,0.01,0.01,0.01,5035.55,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-03 04:27:43
877900.0,890800.0,911761.97,878400.0,396534.49,810100.0,0.01,0.01,0.01,5002.22,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-03 05:19:27
878000.0,890800.0,911768.57,878400.0,396571.62,810100.0,0.01,0.01,0.01,4991.06,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-03 06:29:17
850000.0,890800.0,911082.94,877900.0,393510.64,810100.0,0.01,0.01,0.01,4987.77,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-03 07:19:06
810200.0,890800.0,911042.68,877900.0,393444.0,810100.0,0.01,0.01,0.01,5154.68,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-03 08:26:47
850000.0,890700.0,911026.85,865200.0,393258.52,810100.0,0.01,0.01,0.01,4765.79,500MN Quad LiF Restrained Microwarpdrive,35662,jita,2025-11-03 09:22:33
