Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-29 18:33:21
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-29 18:31:45
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-29 19:15:19
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-29 20:21:47
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-29 21:17:47
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-29 22:18:17
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-29 23:18:12
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 01:24:35
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 03:11:04
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 04:22:02
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 05:18:49
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 06:28:35
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 07:18:21
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 08:24:45
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 09:20:51
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 10:20:37
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 11:16:44
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 12:38:20
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 13:30:50
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 14:19:37
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 15:21:46
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 16:23:50
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 17:17:46
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 18:27:06
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 19:15:36
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 20:20:55
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 21:16:56
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 22:18:05
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-30 23:17:28
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-31 01:21:48
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-31 03:10:47
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-31 04:23:01
582.9,600.0,598.86,583.0,17.93,172.0,172.0,172.0,172.0,0.0,Active Shielding Charge,42694,C-J6MT,2025-10-31 05:19:46
