Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
8040.0,8323.0,8570.63,8138.0,531.97,4602.0,0.01,0.01,0.01,244.87,Arbalest Compact Light Missile Launcher,8089,jita,2025-11-02 09:06:10
8050.0,8323.0,8570.69,8138.0,531.97,4602.0,0.01,0.01,0.01,244.84,Arbalest Compact Light Missile Launcher,8089,jita,2025-11-02 09:16:48
8049.0,8323.0,8570.24,8138.0,531.97,4602.0,0.01,0.01,0.01,244.7,Arbalest Compact Light Missile Launcher,8089,jita,2025-11-02 10:17:20
8050.0,8323.0,8570.77,8138.0,531.97,4602.0,0.01,0.01,0.01,244.67,Arbalest Compact Light Missile Launcher,8089,jita,2025-11-02 10:55:54
8050.0,8323.0,8570.77,8138.0,531.97,4602.0,0.01,0.01,0.01,244.67,Arbalest Compact Light Missile Launcher,8089,jita,2025-11-02 11:07:57
8050.0,8323.0,8570.85,8138.0,531.97,4602.0,0.01,0.01,0.01,244.64,Arbalest Compact Light Missile Launcher,8089,jita,2025-11-02 11:13:56
8138.0,8323.0,8575.13,8138.0,532.44,4602.0,0.01,0.01,0.01,244.59,Arbalest Compact Light Missile Launcher,8089,jita,2025-11-02 12:32:39
8138.0,8323.0,8575.27,8138.0,532.46,4602.0,0.01,0.01,0.01,244.52,Arbalest Compact Light Missile Launcher,8089,jita,2025-11-02 13:22:37
8138.0,8323.0,8575.49,8138.0,532.5,6138.0,0.01,0.01,0.01,244.34,Arbalest Compact Light Missile Launcher,8089,jita,2025-11-02 14:15:32
6139.0,8323.0,8574.57,8138.0,534.24,4602.0,0.01,0.01,0.01,244.09,Arbalest Compact Light Missile Launcher,8089,jita,2025-11-02 15:16:39
8138.0,8323.0,8575.54,8138.0,532.51,4602.0,0.01,0.01,0.01,244.03,Arbalest Compact Light Missile Launcher,8089,jita,2025-11-02 16:19:48
8138.0,8323.0,8575.75,8138.0,532.54,4602.0,0.01,0.01,0.01,243.79,Arbalest Compact Light Missile Launcher,8089,jita,2025-11-02 17:15:18
