Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
752700.0,795900.0,830109.11,752900.0,247038.75,623500.0,500.0,6229.96,623500.0,203897.82,Assault Damage Control II,47257,jita,2025-11-02 09:06:10
752500.0,794700.0,827954.96,752600.0,244182.02,623500.0,500.0,6194.46,623500.0,203341.28,Assault Damage Control II,47257,jita,2025-11-02 09:16:49
752500.0,794700.0,826868.96,752500.0,242718.72,623500.0,500.0,6194.46,623500.0,203341.28,Assault Damage Control II,47257,jita,2025-11-02 10:17:20
752500.0,794700.0,826895.08,752500.0,242754.11,623500.0,500.0,6123.81,623500.0,202214.25,Assault Damage Control II,47257,jita,2025-11-02 10:55:55
752500.0,794700.0,826895.08,752500.0,242754.11,623500.0,500.0,6123.81,623500.0,202214.25,Assault Damage Control II,47257,jita,2025-11-02 11:07:58
623600.0,794700.0,826843.02,752500.0,242781.16,623500.0,500.0,6088.65,623500.0,201643.66,Assault Damage Control II,47257,jita,2025-11-02 11:13:57
752300.0,794700.0,826400.33,752400.0,242257.11,623500.0,500.0,5575.11,623500.0,192473.3,Assault Damage Control II,47257,jita,2025-11-02 12:32:40
752200.0,794700.0,826707.39,752200.0,242681.75,623500.0,500.0,5575.11,623500.0,192473.3,Assault Damage Control II,47257,jita,2025-11-02 13:22:38
752000.0,794700.0,826731.22,752100.0,242717.86,623500.0,500.0,5442.54,623500.0,189816.46,Assault Damage Control II,47257,jita,2025-11-02 14:15:33
623600.0,794700.0,825922.32,749900.0,243042.72,623500.0,500.0,5247.13,623500.0,185644.14,Assault Damage Control II,47257,jita,2025-11-02 15:16:40
623500.0,794700.0,825422.21,749900.0,244532.88,552800.0,500.0,4685.75,552800.0,171570.99,Assault Damage Control II,47257,jita,2025-11-02 16:19:49
623600.0,794700.0,826444.87,749900.0,244651.95,552800.0,500.0,4685.75,552800.0,171570.99,Assault Damage Control II,47257,jita,2025-11-02 17:15:19
749900.0,794700.0,827331.66,749900.0,245147.7,552800.0,500.0,4685.75,552800.0,171570.99,Assault Damage Control II,47257,jita,2025-11-02 18:22:25
