Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
1400.0,1400.0,1403.52,1400.0,4.93,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-02 09:06:14
1399.0,1400.0,1402.27,1399.0,5.03,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-02 09:16:54
1398.0,1400.0,1401.86,1398.0,5.07,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-02 10:17:24
1398.0,1400.0,1401.86,1398.0,5.07,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-02 10:56:00
1398.0,1400.0,1401.86,1398.0,5.07,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-02 11:08:03
1398.0,1400.0,1401.86,1398.0,5.07,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-02 11:14:01
1398.0,1400.0,1401.86,1398.0,5.07,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-02 12:32:45
1398.0,1400.0,1401.86,1398.0,5.07,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-02 13:22:41
1398.0,1400.0,1401.86,1398.0,5.07,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-02 14:15:38
1398.0,1400.0,1401.88,1398.0,5.08,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-02 15:16:44
1398.0,1400.0,1401.88,1398.0,5.08,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-02 16:19:52
1398.0,1400.0,1401.88,1398.0,5.08,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-02 17:15:24
1398.0,1400.0,1401.89,1398.0,5.08,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-02 18:22:28
1398.0,1400.0,1401.89,1398.0,5.08,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-02 19:14:01
1398.0,1400.0,1401.89,1398.0,5.08,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-02 20:18:41
1350.0,1400.0,1401.75,1398.0,5.73,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-02 21:15:28
1350.0,1400.0,1401.75,1398.0,5.73,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-02 22:16:30
1349.0,1400.0,1401.36,1398.0,7.26,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-02 23:16:10
1349.0,1400.0,1401.37,1398.0,7.21,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 01:25:15
1398.0,1400.0,1401.9,1398.0,5.08,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 03:16:57
1398.0,1400.0,1401.9,1398.0,5.08,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 04:27:56
1398.0,1400.0,1401.9,1398.0,5.08,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 05:19:40
1398.0,1400.0,1401.9,1398.0,5.08,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 06:29:33
1398.0,1400.0,1401.9,1398.0,5.08,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 07:19:23
1398.0,1400.0,1401.9,1398.0,5.08,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 08:27:00
1398.0,1400.0,1401.9,1398.0,5.08,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 09:22:46
1398.0,1400.0,1401.9,1398.0,5.08,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 10:22:11
1390.0,1400.0,1401.81,1398.0,5.16,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 11:16:36
1390.0,1400.0,1401.81,1398.0,5.16,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 12:39:07
1390.0,1400.0,1401.81,1398.0,5.16,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 13:30:26
1390.0,1400.0,1401.88,1398.0,5.1,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 14:19:19
1398.0,1400.0,1401.92,1398.0,5.09,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 15:20:20
1398.0,1400.0,1401.92,1398.0,5.09,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 16:22:12
1398.0,1400.0,1401.92,1398.0,5.09,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 17:17:18
1398.0,1400.0,1401.92,1398.0,5.09,207.0,205.4,205.91,207.0,0.72,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 18:26:35
1397.0,1400.0,1401.89,1398.0,5.09,207.0,205.4,205.88,207.0,0.71,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 19:15:15
1397.0,1400.0,1401.89,1398.0,5.09,207.0,205.4,205.88,207.0,0.71,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 20:21:54
1397.0,1400.0,1401.89,1398.0,5.09,207.0,205.4,205.88,207.0,0.71,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 21:17:50
1397.0,1400.0,1401.89,1398.0,5.09,207.0,205.4,205.88,207.0,0.71,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 22:18:27
1396.0,1400.0,1401.84,1397.0,5.09,207.0,205.4,205.88,207.0,0.71,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-03 23:17:11
1396.0,1400.0,1401.84,1397.0,5.09,207.0,205.4,205.88,207.0,0.71,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-04 01:22:00
1396.0,1400.0,1401.84,1397.0,5.09,207.0,205.4,205.88,207.0,0.71,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-04 03:09:57
1395.0,1400.0,1401.16,1395.0,5.68,207.0,205.4,205.88,207.0,0.71,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-04 04:21:50
1395.0,1400.0,1401.16,1395.0,5.68,207.0,205.4,205.88,207.0,0.71,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-04 05:18:59
1394.0,1400.0,1400.98,1394.0,5.84,207.0,205.4,205.88,207.0,0.71,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-04 06:28:32
1394.0,1400.0,1400.98,1394.0,5.84,207.0,205.4,205.88,207.0,0.71,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-04 07:18:46
1394.0,1400.0,1400.98,1394.0,5.84,207.0,205.4,205.88,207.0,0.71,Caldari Navy Antimatter Charge L,21740,C-J6MT,2025-11-04 08:26:18
