Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
519.6,519.7,522.15,519.6,7.93,230.6,230.6,230.6,230.6,0.0,Caldari Navy Antimatter Charge S,23009,C-J6MT,2025-11-02 09:06:16
519.6,519.7,522.15,519.6,7.93,230.6,230.6,230.6,230.6,0.0,Caldari Navy Antimatter Charge S,23009,C-J6MT,2025-11-02 09:16:56
519.6,519.7,522.16,519.6,7.95,230.6,230.6,230.6,230.6,0.0,Caldari Navy Antimatter Charge S,23009,C-J6MT,2025-11-02 10:17:26
519.6,519.7,522.16,519.6,7.95,230.6,230.6,230.6,230.6,0.0,Caldari Navy Antimatter Charge S,23009,C-J6MT,2025-11-02 10:56:02
519.6,519.7,522.16,519.6,7.95,230.6,230.6,230.6,230.6,0.0,Caldari Navy Antimatter Charge S,23009,C-J6MT,2025-11-02 11:08:05
519.6,519.7,522.17,519.6,7.96,230.6,230.6,230.6,230.6,0.0,Caldari Navy Antimatter Charge S,23009,C-J6MT,2025-11-02 11:14:03
519.6,519.7,522.17,519.6,7.96,230.6,230.6,230.6,230.6,0.0,Caldari Navy Antimatter Charge S,23009,C-J6MT,2025-11-02 12:32:47
519.6,519.7,522.2,519.6,8.0,230.6,230.6,230.6,230.6,0.0,Caldari Navy Antimatter Charge S,23009,C-J6MT,2025-11-02 13:22:43
519.6,519.7,522.22,519.6,8.03,230.6,230.6,230.6,230.6,0.0,Caldari Navy Antimatter Charge S,23009,C-J6MT,2025-11-02 14:15:40
519.6,519.7,522.26,519.6,8.07,230.6,230.6,230.6,230.6,0.0,Caldari Navy Antimatter Charge S,23009,C-J6MT,2025-11-02 15:16:47
519.7,519.7,522.33,519.7,8.17,230.6,230.6,230.6,230.6,0.0,Caldari Navy Antimatter Charge S,23009,C-J6MT,2025-11-02 16:19:54
519.7,519.7,522.47,519.7,8.36,230.6,230.6,230.6,230.6,0.0,Caldari Navy Antimatter Charge S,23009,C-J6MT,2025-11-02 17:15:26
519.7,519.7,522.5,519.7,8.4,230.6,230.6,230.6,230.6,0.0,Caldari Navy Antimatter Charge S,23009,C-J6MT,2025-11-02 18:22:30
519.7,519.7,522.53,519.7,8.44,230.6,229.0,229.37,230.6,0.68,Caldari Navy Antimatter Charge S,23009,C-J6MT,2025-11-02 19:14:03
519.7,519.7,522.54,519.7,8.45,230.6,229.0,229.37,230.6,0.68,Caldari Navy Antimatter Charge S,23009,C-J6MT,2025-11-02 20:18:43
519.6,519.7,522.36,519.6,8.23,230.6,229.0,229.37,230.6,0.68,Caldari Navy Antimatter Charge S,23009,C-J6MT,2025-11-02 21:15:30
519.6,519.7,522.36,519.6,8.23,230.6,229.0,229.37,230.6,0.68,Caldari Navy Antimatter Charge S,23009,C-J6MT,2025-11-02 22:16:32
