Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
427.7,430.0,430.62,427.8,10.19,379.3,351.0,287.33,351.2,48.17,Caldari Navy Antimatter Charge S,23009,jita,2025-10-29 18:33:42
427.7,430.0,430.62,427.8,10.19,379.3,351.0,287.33,351.2,48.17,Caldari Navy Antimatter Charge S,23009,jita,2025-10-29 18:31:54
427.7,430.0,430.62,427.8,10.19,379.3,351.0,287.33,351.2,48.17,Caldari Navy Antimatter Charge S,23009,jita,2025-10-29 19:15:28
427.7,430.0,430.62,427.8,10.19,379.3,351.0,287.33,351.2,48.17,Caldari Navy Antimatter Charge S,23009,jita,2025-10-29 20:21:58
427.7,430.0,430.62,427.8,10.19,379.3,351.0,287.33,351.2,48.17,Caldari Navy Antimatter Charge S,23009,jita,2025-10-29 21:17:58
427.7,430.0,430.62,427.8,10.19,379.3,351.0,287.33,351.2,48.17,Caldari Navy Antimatter Charge S,23009,jita,2025-10-29 22:18:27
427.7,430.0,430.62,427.8,10.19,379.3,351.0,287.33,351.2,48.17,Caldari Navy Antimatter Charge S,23009,jita,2025-10-29 23:18:21
427.7,430.0,430.62,427.8,10.19,379.3,351.0,287.33,351.2,48.17,Caldari Navy Antimatter Charge S,23009,jita,2025-10-30 01:24:47
427.7,430.0,430.62,427.8,10.19,379.3,351.0,287.33,351.2,48.17,Caldari Navy Antimatter Charge S,23009,jita,2025-10-30 03:11:13
427.7,430.0,430.62,427.8,10.19,379.3,351.0,287.33,351.2,48.17,Caldari Navy Antimatter Charge S,23009,jita,2025-10-30 04:22:11
427.7,430.0,430.62,427.8,10.19,379.3,351.0,287.33,351.2,48.17,Caldari Navy Antimatter Charge S,23009,jita,2025-10-30 05:18:58
427.7,430.0,430.62,427.8,10.19,379.3,351.0,287.33,351.2,48.17,Caldari Navy Antimatter Charge S,23009,jita,2025-10-30 06:28:46
427.7,430.0,430.62,427.8,10.19,379.3,351.0,287.33,351.2,48.17,Caldari Navy Antimatter Charge S,23009,jita,2025-10-30 07:18:30
427.7,430.0,430.62,427.8,10.19,379.3,351.0,287.33,351.2,48.17,Caldari Navy Antimatter Charge S,23009,jita,2025-10-30 08:24:56
427.7,430.0,430.62,427.8,10.19,379.3,351.0,287.33,351.2,48.17,Caldari Navy Antimatter Charge S,23009,jita,2025-10-30 09:21:02
427.7,430.0,430.62,427.8,10.19,379.3,351.0,287.33,351.2,48.17,Caldari Navy Antimatter Charge S,23009,jita,2025-10-30 10:20:47
427.7,430.0,430.62,427.8,10.19,379.3,351.0,287.33,351.2,48.17,Caldari Navy Antimatter Charge S,23009,jita,2025-10-30 11:16:53
