Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
1777.0,1850.0,1838.03,1779.0,28.2,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-02 09:06:16
1777.0,1850.0,1838.03,1779.0,28.2,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-02 09:16:58
1777.0,1850.0,1838.03,1779.0,28.2,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-02 10:17:26
1777.0,1850.0,1838.03,1779.0,28.2,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-02 10:56:03
1777.0,1850.0,1838.03,1779.0,28.2,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-02 11:08:07
1777.0,1850.0,1838.03,1779.0,28.2,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-02 11:14:04
1779.0,1850.0,1838.25,1779.0,28.02,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-02 12:32:48
1779.0,1850.0,1838.28,1779.0,28.0,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-02 13:22:44
1779.0,1850.0,1838.96,1779.0,27.43,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-02 14:15:41
1778.0,1850.0,1838.85,1779.0,27.52,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-02 15:16:48
1779.0,1850.0,1839.08,1779.0,27.32,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-02 16:19:55
1775.0,1782.0,1810.61,1775.0,37.68,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-02 17:15:27
1775.0,1801.0,1810.99,1775.0,37.69,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-02 18:22:31
1770.0,1801.0,1810.94,1775.0,37.73,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-02 19:14:04
1775.0,1818.0,1815.6,1775.0,37.58,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-02 20:18:44
1775.0,1818.0,1815.61,1775.0,37.57,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-02 21:15:32
1775.0,1818.0,1815.61,1775.0,37.57,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-02 22:16:33
1775.0,1818.0,1815.61,1775.0,37.57,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-02 23:16:13
1775.0,1818.0,1816.33,1775.0,37.5,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-03 01:25:18
1774.0,1801.0,1811.44,1774.0,37.82,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-03 03:17:00
1750.0,1801.0,1812.45,1774.0,37.84,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-03 04:27:59
1750.0,1801.0,1812.48,1774.0,37.83,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-03 05:19:43
1749.0,1801.0,1812.17,1774.0,37.99,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-03 06:29:36
1749.0,1801.0,1812.17,1774.0,37.99,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-03 07:19:27
1749.0,1801.0,1812.17,1774.0,37.99,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-03 08:27:03
1749.0,1801.0,1812.17,1774.0,37.99,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-03 09:22:48
1749.0,1801.0,1812.22,1774.0,37.96,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-03 10:22:14
1749.0,1801.0,1812.22,1774.0,37.96,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-03 11:16:39
1749.0,1801.0,1812.22,1774.0,37.96,1318.0,1.0,1.08,1318.0,142.24,Caldari Navy Inferno Cruise Missile,27423,jita,2025-11-03 12:39:10
