Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
1508.0,1925.0,1724.9,1508.0,204.66,51.15,50.06,50.23,51.15,0.28,Caldari Navy Inferno Heavy Missile,27447,C-J6MT,2025-10-29 18:33:47
1508.0,1925.0,1724.9,1508.0,204.66,51.15,50.06,50.23,51.15,0.28,Caldari Navy Inferno Heavy Missile,27447,C-J6MT,2025-10-29 18:31:55
1508.0,1925.0,1724.9,1508.0,204.66,51.15,50.06,50.23,51.15,0.28,Caldari Navy Inferno Heavy Missile,27447,C-J6MT,2025-10-29 19:15:30
1508.0,1925.0,1724.9,1508.0,204.66,51.15,50.06,50.23,51.15,0.28,Caldari Navy Inferno Heavy Missile,27447,C-J6MT,2025-10-29 20:22:01
1508.0,1925.0,1724.9,1508.0,204.66,51.15,50.06,50.23,51.15,0.28,Caldari Navy Inferno Heavy Missile,27447,C-J6MT,2025-10-29 21:18:01
1508.0,1925.0,1724.9,1508.0,204.66,51.15,50.06,50.23,51.15,0.28,Caldari Navy Inferno Heavy Missile,27447,C-J6MT,2025-10-29 22:18:28
1508.0,1925.0,1724.9,1508.0,204.66,51.15,50.06,50.23,51.15,0.28,Caldari Navy Inferno Heavy Missile,27447,C-J6MT,2025-10-29 23:18:23
1508.0,1925.0,1724.9,1508.0,204.66,51.15,50.06,50.23,51.15,0.28,Caldari Navy Inferno Heavy Missile,27447,C-J6MT,2025-10-30 01:24:49
1508.0,1925.0,1724.9,1508.0,204.66,51.15,50.06,50.23,51.15,0.28,Caldari Navy Inferno Heavy Missile,27447,C-J6MT,2025-10-30 03:11:15
1508.0,1925.0,1724.9,1508.0,204.66,51.15,50.06,50.23,51.15,0.28,Caldari Navy Inferno Heavy Missile,27447,C-J6MT,2025-10-30 04:22:13
1508.0,1925.0,1724.9,1508.0,204.66,51.15,50.06,50.23,51.15,0.28,Caldari Navy Inferno Heavy Missile,27447,C-J6MT,2025-10-30 05:19:00
