Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-29 18:33:51
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-29 18:31:57
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-29 19:15:32
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-29 20:22:03
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-29 21:18:03
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-29 22:18:30
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-29 23:18:24
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 01:24:51
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 03:11:16
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 04:22:15
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 05:19:02
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 06:28:51
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 07:18:33
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 08:25:01
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 09:21:07
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 10:20:51
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 11:16:56
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 12:38:33
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 13:31:02
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 14:19:49
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 15:21:59
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 16:24:03
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 17:17:59
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 18:27:18
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 19:15:49
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 20:21:08
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 21:17:09
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 22:18:18
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-30 23:17:40
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-31 01:22:01
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-31 03:11:01
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-31 04:23:13
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-31 05:19:59
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-31 06:28:49
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-31 07:18:23
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-31 08:24:40
1179.0,1182.0,1181.39,1179.0,1.79,25.1,25.0,25.04,25.1,0.05,Caldari Navy Iridium Charge L,23049,C-J6MT,2025-10-31 09:21:05
