Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
1105.0,1176.0,1176.94,1105.0,95.11,883.0,881.1,392.7,883.0,226.88,Caldari Navy Iridium Charge L,23049,jita,2025-11-02 09:06:19
1105.0,1176.0,1176.94,1105.0,95.11,883.0,881.1,392.7,883.0,226.88,Caldari Navy Iridium Charge L,23049,jita,2025-11-02 09:17:01
1105.0,1176.0,1176.99,1105.0,95.12,883.0,881.1,392.7,883.0,226.88,Caldari Navy Iridium Charge L,23049,jita,2025-11-02 10:17:29
1105.0,1176.0,1176.99,1105.0,95.12,883.0,881.1,392.7,883.0,226.88,Caldari Navy Iridium Charge L,23049,jita,2025-11-02 10:56:07
1105.0,1176.0,1176.99,1105.0,95.12,883.0,881.1,392.7,883.0,226.88,Caldari Navy Iridium Charge L,23049,jita,2025-11-02 11:08:10
1105.0,1176.0,1176.99,1105.0,95.12,883.0,881.1,392.7,883.0,226.88,Caldari Navy Iridium Charge L,23049,jita,2025-11-02 11:14:07
1105.0,1176.0,1177.63,1105.0,95.27,883.0,881.1,392.7,883.0,226.88,Caldari Navy Iridium Charge L,23049,jita,2025-11-02 12:32:51
1105.0,1176.0,1177.63,1105.0,95.27,883.0,881.1,392.7,883.0,226.88,Caldari Navy Iridium Charge L,23049,jita,2025-11-02 13:22:46
1105.0,1176.0,1177.67,1105.0,95.28,883.0,881.1,392.7,883.0,226.88,Caldari Navy Iridium Charge L,23049,jita,2025-11-02 14:15:43
1104.0,1146.0,1172.22,1104.0,93.93,883.0,881.1,390.76,883.0,227.49,Caldari Navy Iridium Charge L,23049,jita,2025-11-02 15:16:51
1104.0,1146.0,1172.22,1104.0,93.93,883.0,881.1,390.76,883.0,227.49,Caldari Navy Iridium Charge L,23049,jita,2025-11-02 16:19:58
1104.0,1146.0,1172.22,1104.0,93.93,883.0,881.1,390.53,883.0,227.56,Caldari Navy Iridium Charge L,23049,jita,2025-11-02 17:15:31
1104.0,1146.0,1172.22,1104.0,93.93,883.0,881.1,390.53,883.0,227.56,Caldari Navy Iridium Charge L,23049,jita,2025-11-02 18:22:34
1104.0,1146.0,1172.36,1104.0,93.97,883.0,881.1,390.53,883.0,227.56,Caldari Navy Iridium Charge L,23049,jita,2025-11-02 19:14:08
1104.0,1146.0,1172.36,1104.0,93.97,883.0,881.1,390.53,883.0,227.56,Caldari Navy Iridium Charge L,23049,jita,2025-11-02 20:18:46
1104.0,1146.0,1172.58,1104.0,94.03,881.1,881.1,268.55,881.1,266.95,Caldari Navy Iridium Charge L,23049,jita,2025-11-02 21:15:35
1103.0,1146.0,1172.25,1104.0,93.95,881.1,881.1,268.55,881.1,266.95,Caldari Navy Iridium Charge L,23049,jita,2025-11-02 22:16:35
1103.0,1146.0,1172.31,1104.0,93.96,881.1,881.1,268.55,881.1,266.95,Caldari Navy Iridium Charge L,23049,jita,2025-11-02 23:16:15
1102.0,1146.0,1172.15,1102.0,94.08,881.1,881.1,268.55,881.1,266.95,Caldari Navy Iridium Charge L,23049,jita,2025-11-03 01:25:21
1100.0,1146.0,1172.12,1100.0,94.18,881.1,881.1,268.55,881.1,266.95,Caldari Navy Iridium Charge L,23049,jita,2025-11-03 03:17:02
1100.0,1146.0,1172.12,1100.0,94.18,881.1,881.1,268.55,881.1,266.95,Caldari Navy Iridium Charge L,23049,jita,2025-11-03 04:28:01
1100.0,1146.0,1172.12,1100.0,94.18,881.1,881.1,268.55,881.1,266.95,Caldari Navy Iridium Charge L,23049,jita,2025-11-03 05:19:46
1100.0,1146.0,1172.12,1100.0,94.18,881.1,881.1,268.55,881.1,266.95,Caldari Navy Iridium Charge L,23049,jita,2025-11-03 06:29:39
1100.0,1146.0,1172.12,1100.0,94.18,881.1,881.1,268.55,881.1,266.95,Caldari Navy Iridium Charge L,23049,jita,2025-11-03 07:19:30
1100.0,1146.0,1172.12,1100.0,94.18,881.1,881.1,268.55,881.1,266.95,Caldari Navy Iridium Charge L,23049,jita,2025-11-03 08:27:06
1100.0,1146.0,1172.12,1100.0,94.18,881.1,881.1,268.55,881.1,266.95,Caldari Navy Iridium Charge L,23049,jita,2025-11-03 09:22:51
1100.0,1146.0,1172.12,1100.0,94.18,881.1,881.1,268.55,881.1,266.95,Caldari Navy Iridium Charge L,23049,jita,2025-11-03 10:22:17
1100.0,1146.0,1172.12,1100.0,94.18,881.1,881.1,268.55,881.1,266.95,Caldari Navy Iridium Charge L,23049,jita,2025-11-03 11:16:42
1100.0,1146.0,1172.12,1100.0,94.18,881.1,881.1,268.55,881.1,266.95,Caldari Navy Iridium Charge L,23049,jita,2025-11-03 12:39:12
1099.0,1146.0,1170.77,1099.0,95.15,881.1,881.1,268.55,881.1,266.95,Caldari Navy Iridium Charge L,23049,jita,2025-11-03 13:30:32
1098.0,1146.0,1166.47,1098.0,97.48,881.1,881.1,268.55,881.1,266.95,Caldari Navy Iridium Charge L,23049,jita,2025-11-03 14:19:24
1097.0,1146.0,1166.02,1097.0,97.83,881.1,881.1,268.55,881.1,266.95,Caldari Navy Iridium Charge L,23049,jita,2025-11-03 15:20:25
1094.0,1146.0,1165.7,1094.0,98.05,881.1,881.1,268.55,881.1,266.95,Caldari Navy Iridium Charge L,23049,jita,2025-11-03 16:22:17
1094.0,1146.0,1165.7,1094.0,98.05,881.1,881.1,268.55,881.1,266.95,Caldari Navy Iridium Charge L,23049,jita,2025-11-03 17:17:24
1094.0,1146.0,1165.7,1094.0,98.05,881.1,881.1,268.55,881.1,266.95,Caldari Navy Iridium Charge L,23049,jita,2025-11-03 18:26:40
