Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
1560.0,1710.0,1750.7,1560.0,170.92,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-02 09:06:23
1559.0,1710.0,1750.5,1559.0,171.12,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-02 09:17:07
1558.0,1710.0,1750.48,1559.0,171.16,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-02 10:17:33
1558.0,1710.0,1750.48,1559.0,171.16,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-02 10:56:12
1558.0,1710.0,1750.48,1559.0,171.16,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-02 11:08:16
1558.0,1710.0,1750.73,1559.0,171.12,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-02 11:14:12
1558.0,1710.0,1750.73,1559.0,171.12,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-02 12:32:57
1558.0,1710.0,1750.73,1559.0,171.12,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-02 13:22:51
1558.0,1710.0,1750.73,1559.0,171.12,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-02 14:15:48
1556.0,1710.0,1750.57,1556.0,171.3,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-02 15:16:57
1556.0,1710.0,1750.57,1556.0,171.3,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-02 16:20:02
1556.0,1710.0,1750.66,1556.0,171.28,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-02 17:15:37
1500.0,1710.0,1750.42,1556.0,171.38,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-02 18:22:39
1499.0,1710.0,1749.41,1556.0,171.79,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-02 19:14:14
1499.0,1710.0,1749.41,1556.0,171.79,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-02 20:18:51
1557.0,1710.0,1753.54,1557.0,170.78,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-02 21:15:41
1557.0,1710.0,1753.69,1557.0,170.75,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-02 22:16:40
1557.0,1710.0,1753.69,1557.0,170.75,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-02 23:16:20
1557.0,1710.0,1753.31,1557.0,171.31,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-03 01:25:25
1556.0,1710.0,1753.25,1556.0,171.49,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-03 03:17:07
1556.0,1710.0,1754.08,1556.0,171.34,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-03 04:28:06
1556.0,1710.0,1754.18,1556.0,171.32,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-03 05:19:50
1555.0,1710.0,1754.75,1556.0,171.22,522.0,517.5,519.11,522.0,2.72,Caldari Navy Mjolnir Heavy Missile,27435,C-J6MT,2025-11-03 06:29:44
