Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-29 18:34:03
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-29 18:32:01
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-29 19:15:36
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-29 20:22:09
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-29 21:18:09
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-29 22:18:35
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-29 23:18:29
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-30 01:24:57
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-30 03:11:21
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-30 04:22:19
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-30 05:19:07
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-30 06:28:57
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-30 07:18:38
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-30 08:25:06
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-30 09:21:13
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-30 10:20:56
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-30 11:17:01
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-30 12:38:37
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-30 13:31:07
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-30 14:19:54
1205.0,1219.0,1341.3,1205.0,205.09,1128.0,988.0,902.87,1128.0,200.47,Caldari Navy Mjolnir Heavy Missile,27435,jita,2025-10-30 15:22:04
