Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
993.1,1026.0,1010.49,993.1,16.75,356.1,356.0,355.87,356.1,0.23,Caldari Navy Mjolnir Light Missile,27387,C-J6MT,2025-11-02 09:06:24
993.1,1026.0,1010.53,993.1,16.74,356.1,356.0,355.87,356.1,0.23,Caldari Navy Mjolnir Light Missile,27387,C-J6MT,2025-11-02 09:17:08
993.1,1026.0,1010.53,993.1,16.74,356.1,356.0,355.87,356.1,0.23,Caldari Navy Mjolnir Light Missile,27387,C-J6MT,2025-11-02 10:17:34
993.1,1026.0,1010.53,993.1,16.74,356.1,356.0,355.87,356.1,0.23,Caldari Navy Mjolnir Light Missile,27387,C-J6MT,2025-11-02 10:56:14
993.1,1026.0,1010.53,993.1,16.74,356.1,356.0,355.87,356.1,0.23,Caldari Navy Mjolnir Light Missile,27387,C-J6MT,2025-11-02 11:08:17
993.1,1026.0,1010.53,993.1,16.74,356.1,356.0,355.87,356.1,0.23,Caldari Navy Mjolnir Light Missile,27387,C-J6MT,2025-11-02 11:14:13
993.1,1026.0,1010.62,993.1,16.74,356.1,356.0,355.87,356.1,0.23,Caldari Navy Mjolnir Light Missile,27387,C-J6MT,2025-11-02 12:32:58
993.1,1026.0,1010.62,993.1,16.74,356.1,356.0,355.87,356.1,0.23,Caldari Navy Mjolnir Light Missile,27387,C-J6MT,2025-11-02 13:22:52
993.1,1026.0,1010.64,993.1,16.74,356.1,356.0,355.87,356.1,0.23,Caldari Navy Mjolnir Light Missile,27387,C-J6MT,2025-11-02 14:15:49
993.4,1026.0,1013.75,993.4,16.3,356.1,356.0,355.87,356.1,0.23,Caldari Navy Mjolnir Light Missile,27387,C-J6MT,2025-11-02 15:16:58
993.4,1026.0,1013.75,993.4,16.3,356.1,356.0,355.87,356.1,0.23,Caldari Navy Mjolnir Light Missile,27387,C-J6MT,2025-11-02 16:20:03
993.4,1026.0,1013.83,993.4,16.28,356.1,356.0,355.87,356.1,0.23,Caldari Navy Mjolnir Light Missile,27387,C-J6MT,2025-11-02 17:15:38
993.4,1026.0,1013.99,993.4,16.24,356.1,356.0,355.87,356.1,0.23,Caldari Navy Mjolnir Light Missile,27387,C-J6MT,2025-11-02 18:22:40
993.4,1026.0,1014.29,993.4,16.17,356.1,356.0,355.87,356.1,0.23,Caldari Navy Mjolnir Light Missile,27387,C-J6MT,2025-11-02 19:14:15
993.4,1026.0,1014.39,993.4,16.14,356.1,356.0,355.87,356.1,0.23,Caldari Navy Mjolnir Light Missile,27387,C-J6MT,2025-11-02 20:18:52
993.3,1026.0,1013.92,993.3,16.27,356.1,356.0,355.87,356.1,0.23,Caldari Navy Mjolnir Light Missile,27387,C-J6MT,2025-11-02 21:15:42
993.3,1026.0,1014.03,993.3,16.24,356.1,356.0,355.87,356.1,0.23,Caldari Navy Mjolnir Light Missile,27387,C-J6MT,2025-11-02 22:16:41
993.3,1026.0,1014.03,993.3,16.24,356.1,356.0,355.87,356.1,0.23,Caldari Navy Mjolnir Light Missile,27387,C-J6MT,2025-11-02 23:16:20
993.3,1026.0,1014.17,993.3,16.2,356.1,356.0,355.87,356.1,0.23,Caldari Navy Mjolnir Light Missile,27387,C-J6MT,2025-11-03 01:25:26
993.2,1026.0,1013.87,993.2,16.28,356.1,356.0,355.87,356.1,0.23,Caldari Navy Mjolnir Light Missile,27387,C-J6MT,2025-11-03 03:17:08
