Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
2050.0,2051.0,2056.95,2050.0,18.26,36.05,36.03,34.13,36.05,3.73,Caldari Navy Nova Cruise Missile,27429,C-J6MT,2025-11-02 09:06:25
2050.0,2051.0,2056.95,2050.0,18.26,36.05,36.03,34.13,36.05,3.73,Caldari Navy Nova Cruise Missile,27429,C-J6MT,2025-11-02 09:17:09
2050.0,2051.0,2056.95,2050.0,18.26,36.05,36.03,34.13,36.05,3.73,Caldari Navy Nova Cruise Missile,27429,C-J6MT,2025-11-02 10:17:35
2050.0,2051.0,2056.95,2050.0,18.26,36.05,36.03,34.13,36.05,3.73,Caldari Navy Nova Cruise Missile,27429,C-J6MT,2025-11-02 10:56:15
2050.0,2051.0,2056.95,2050.0,18.26,36.05,36.03,34.13,36.05,3.73,Caldari Navy Nova Cruise Missile,27429,C-J6MT,2025-11-02 11:08:18
2050.0,2051.0,2056.95,2050.0,18.26,36.05,36.03,34.13,36.05,3.73,Caldari Navy Nova Cruise Missile,27429,C-J6MT,2025-11-02 11:14:14
2050.0,2051.0,2056.95,2050.0,18.26,36.05,36.03,34.13,36.05,3.73,Caldari Navy Nova Cruise Missile,27429,C-J6MT,2025-11-02 12:32:59
2050.0,2051.0,2056.95,2050.0,18.26,36.05,36.03,34.13,36.05,3.73,Caldari Navy Nova Cruise Missile,27429,C-J6MT,2025-11-02 13:22:52
2050.0,2051.0,2057.03,2051.0,18.35,36.05,36.03,34.13,36.05,3.73,Caldari Navy Nova Cruise Missile,27429,C-J6MT,2025-11-02 14:15:50
2050.0,2051.0,2057.03,2051.0,18.35,36.05,36.03,34.13,36.05,3.73,Caldari Navy Nova Cruise Missile,27429,C-J6MT,2025-11-02 15:16:59
2050.0,2051.0,2057.03,2051.0,18.35,36.05,36.03,34.13,36.05,3.73,Caldari Navy Nova Cruise Missile,27429,C-J6MT,2025-11-02 16:20:04
2050.0,2051.0,2057.03,2051.0,18.35,36.05,36.03,34.13,36.05,3.73,Caldari Navy Nova Cruise Missile,27429,C-J6MT,2025-11-02 17:15:39
2050.0,2051.0,2057.03,2051.0,18.35,36.05,36.03,34.13,36.05,3.73,Caldari Navy Nova Cruise Missile,27429,C-J6MT,2025-11-02 18:22:41
2050.0,2051.0,2057.03,2051.0,18.35,36.05,36.03,34.13,36.05,3.73,Caldari Navy Nova Cruise Missile,27429,C-J6MT,2025-11-02 19:14:16
