Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
1243.0,1300.0,1346.43,1244.0,205.9,305.8,31.4,85.85,305.8,135.24,Caldari Navy Scourge Heavy Missile,27441,C-J6MT,2025-10-29 18:34:16
1243.0,1300.0,1346.43,1244.0,205.9,305.8,31.4,85.85,305.8,135.24,Caldari Navy Scourge Heavy Missile,27441,C-J6MT,2025-10-29 18:32:07
1243.0,1300.0,1346.43,1244.0,205.9,305.8,31.4,85.85,305.8,135.24,Caldari Navy Scourge Heavy Missile,27441,C-J6MT,2025-10-29 19:15:42
1243.0,1300.0,1346.43,1244.0,205.9,305.8,31.4,85.85,305.8,135.24,Caldari Navy Scourge Heavy Missile,27441,C-J6MT,2025-10-29 20:22:16
1243.0,1300.0,1346.43,1244.0,205.9,305.8,31.4,85.85,305.8,135.24,Caldari Navy Scourge Heavy Missile,27441,C-J6MT,2025-10-29 21:18:15
1243.0,1300.0,1346.43,1244.0,205.9,305.8,31.4,85.85,305.8,135.24,Caldari Navy Scourge Heavy Missile,27441,C-J6MT,2025-10-29 22:18:40
1243.0,1300.0,1346.43,1244.0,205.9,305.8,31.4,85.85,305.8,135.24,Caldari Navy Scourge Heavy Missile,27441,C-J6MT,2025-10-29 23:18:34
1243.0,1300.0,1346.43,1244.0,205.9,305.8,31.4,85.85,305.8,135.24,Caldari Navy Scourge Heavy Missile,27441,C-J6MT,2025-10-30 01:25:03
1243.0,1300.0,1346.43,1244.0,205.9,305.8,31.4,85.85,305.8,135.24,Caldari Navy Scourge Heavy Missile,27441,C-J6MT,2025-10-30 03:11:26
1243.0,1300.0,1346.43,1244.0,205.9,305.8,31.4,85.85,305.8,135.24,Caldari Navy Scourge Heavy Missile,27441,C-J6MT,2025-10-30 04:22:25
1243.0,1300.0,1346.43,1244.0,205.9,305.8,31.4,85.85,305.8,135.24,Caldari Navy Scourge Heavy Missile,27441,C-J6MT,2025-10-30 05:19:13
1243.0,1300.0,1346.43,1244.0,205.9,305.8,31.4,85.85,305.8,135.24,Caldari Navy Scourge Heavy Missile,27441,C-J6MT,2025-10-30 06:29:04
1243.0,1300.0,1346.43,1244.0,205.9,305.8,31.4,85.85,305.8,135.24,Caldari Navy Scourge Heavy Missile,27441,C-J6MT,2025-10-30 07:18:44
1243.0,1300.0,1346.43,1244.0,205.9,305.8,31.4,85.85,305.8,135.24,Caldari Navy Scourge Heavy Missile,27441,C-J6MT,2025-10-30 08:25:13
1243.0,1300.0,1346.43,1244.0,205.9,305.8,31.4,85.85,305.8,135.24,Caldari Navy Scourge Heavy Missile,27441,C-J6MT,2025-10-30 09:21:19
1243.0,1300.0,1346.43,1244.0,205.9,305.8,31.4,85.85,305.8,135.24,Caldari Navy Scourge Heavy Missile,27441,C-J6MT,2025-10-30 10:21:02
