Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
606.6,660.3,712.81,606.9,115.16,516.6,508.7,30.87,516.6,232.48,Caldari Navy Thorium Charge M,23031,jita,2025-11-02 09:06:31
606.6,660.3,712.81,606.9,115.16,516.6,508.7,30.87,516.6,232.48,Caldari Navy Thorium Charge M,23031,jita,2025-11-02 09:17:17
606.6,660.3,712.81,606.9,115.16,516.6,508.7,30.87,516.6,232.48,Caldari Navy Thorium Charge M,23031,jita,2025-11-02 10:17:41
606.6,660.3,712.81,606.9,115.16,516.6,508.7,30.87,516.6,232.48,Caldari Navy Thorium Charge M,23031,jita,2025-11-02 10:56:23
606.6,660.3,712.81,606.9,115.16,516.6,508.7,30.87,516.6,232.48,Caldari Navy Thorium Charge M,23031,jita,2025-11-02 11:08:26
606.6,660.3,712.83,606.9,115.16,516.6,508.7,30.87,516.6,232.48,Caldari Navy Thorium Charge M,23031,jita,2025-11-02 11:14:21
606.6,660.3,712.97,606.9,115.16,516.8,508.7,31.65,516.6,232.3,Caldari Navy Thorium Charge M,23031,jita,2025-11-02 12:33:08
606.6,660.3,713.0,606.9,115.16,516.6,508.7,30.87,516.6,232.48,Caldari Navy Thorium Charge M,23031,jita,2025-11-02 13:22:58
606.6,660.3,713.0,606.9,115.16,516.6,508.7,30.87,516.6,232.48,Caldari Navy Thorium Charge M,23031,jita,2025-11-02 14:15:57
606.5,660.3,711.13,606.5,115.15,516.6,508.7,30.87,516.6,232.48,Caldari Navy Thorium Charge M,23031,jita,2025-11-02 15:17:08
606.4,660.3,711.17,606.5,115.15,516.6,508.7,30.87,516.6,232.48,Caldari Navy Thorium Charge M,23031,jita,2025-11-02 16:20:10
606.4,660.3,711.47,606.5,115.15,516.6,508.7,30.87,516.6,232.48,Caldari Navy Thorium Charge M,23031,jita,2025-11-02 17:15:47
606.4,660.3,711.52,606.5,115.16,516.6,508.7,30.87,516.6,232.48,Caldari Navy Thorium Charge M,23031,jita,2025-11-02 18:22:48
606.4,660.3,711.59,606.5,115.16,516.6,508.7,30.87,516.6,232.48,Caldari Navy Thorium Charge M,23031,jita,2025-11-02 19:14:24
606.4,660.3,711.66,606.5,115.16,516.6,508.7,30.87,516.6,232.48,Caldari Navy Thorium Charge M,23031,jita,2025-11-02 20:18:59
606.4,660.3,711.68,606.5,115.16,516.6,508.7,30.87,516.6,232.48,Caldari Navy Thorium Charge M,23031,jita,2025-11-02 21:15:51
606.4,660.3,711.68,606.5,115.16,516.6,508.7,30.87,516.6,232.48,Caldari Navy Thorium Charge M,23031,jita,2025-11-02 22:16:48
606.5,660.3,711.86,606.5,115.16,516.6,508.7,30.87,516.6,232.48,Caldari Navy Thorium Charge M,23031,jita,2025-11-02 23:16:27
606.4,660.3,711.86,606.5,115.16,516.8,508.7,47.58,516.8,227.13,Caldari Navy Thorium Charge M,23031,jita,2025-11-03 01:25:33
606.2,660.3,711.75,606.5,115.16,516.8,508.7,47.14,516.8,227.3,Caldari Navy Thorium Charge M,23031,jita,2025-11-03 03:17:16
606.5,660.3,712.28,606.5,115.16,516.8,508.7,47.14,516.8,227.3,Caldari Navy Thorium Charge M,23031,jita,2025-11-03 04:28:14
606.5,660.3,712.35,606.5,115.16,516.8,508.7,46.72,516.8,227.45,Caldari Navy Thorium Charge M,23031,jita,2025-11-03 05:19:58
606.5,660.3,712.37,606.5,115.16,516.8,508.7,46.14,516.8,227.67,Caldari Navy Thorium Charge M,23031,jita,2025-11-03 06:29:53
606.5,660.3,712.4,606.5,115.16,516.8,508.7,46.14,516.8,227.67,Caldari Navy Thorium Charge M,23031,jita,2025-11-03 07:19:47
606.5,660.3,712.45,606.5,115.16,516.8,508.7,46.14,516.8,227.67,Caldari Navy Thorium Charge M,23031,jita,2025-11-03 08:27:18
606.5,660.3,712.52,606.5,115.16,516.9,508.7,50.0,516.9,226.22,Caldari Navy Thorium Charge M,23031,jita,2025-11-03 09:23:03
606.5,660.3,712.52,606.5,115.16,517.0,508.7,49.58,517.0,226.4,Caldari Navy Thorium Charge M,23031,jita,2025-11-03 10:22:33
606.5,660.3,712.52,606.5,115.16,517.0,508.7,49.58,517.0,226.4,Caldari Navy Thorium Charge M,23031,jita,2025-11-03 11:16:56
606.5,660.3,712.52,606.5,115.16,517.0,508.7,49.47,517.0,226.44,Caldari Navy Thorium Charge M,23031,jita,2025-11-03 12:39:25
606.5,660.3,712.52,606.5,115.16,517.0,508.7,49.47,517.0,226.44,Caldari Navy Thorium Charge M,23031,jita,2025-11-03 13:30:45
606.5,660.3,712.52,606.5,115.16,517.0,508.7,49.47,517.0,226.44,Caldari Navy Thorium Charge M,23031,jita,2025-11-03 14:19:36
