Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
347800000.0,372600000.0,383884261.98,347800000.0,41991422.31,317000000.0,0.01,0.01,0.01,401462.57,Claymore,22468,jita,2025-11-02 09:06:34
347800000.0,372600000.0,383884261.98,347800000.0,41991422.31,317000000.0,0.01,0.01,0.01,401462.57,Claymore,22468,jita,2025-11-02 09:17:21
347800000.0,372600000.0,384287607.35,347800000.0,42028844.72,317000000.0,0.01,0.01,0.01,401462.57,Claymore,22468,jita,2025-11-02 10:17:44
347800000.0,372600000.0,384287607.35,347800000.0,42028844.72,317000000.0,0.01,0.01,0.01,401462.57,Claymore,22468,jita,2025-11-02 10:56:26
347800000.0,372600000.0,384287607.35,347800000.0,42028844.72,317000000.0,0.01,0.01,0.01,401462.57,Claymore,22468,jita,2025-11-02 11:08:30
348000000.0,372600000.0,384700064.38,348000000.0,42062959.5,317000000.0,0.01,0.01,0.01,401462.57,Claymore,22468,jita,2025-11-02 11:14:24
348000000.0,372600000.0,384700064.38,348000000.0,42062959.5,317000000.0,0.01,0.01,0.01,375598.89,Claymore,22468,jita,2025-11-02 12:33:11
348000000.0,372600000.0,384700064.38,348000000.0,42062959.5,317000000.0,0.01,0.01,0.01,375598.89,Claymore,22468,jita,2025-11-02 13:23:01
349800000.0,372600000.0,385119538.61,349800000.0,42095583.68,318000000.0,0.01,0.01,0.01,388827.55,Claymore,22468,jita,2025-11-02 14:16:00
349900000.0,372600000.0,385501511.91,349900000.0,42163049.95,318100000.0,0.01,0.01,0.01,401636.55,Claymore,22468,jita,2025-11-02 15:17:11
349900000.0,374900000.0,386341847.07,349900000.0,42250848.64,318100000.0,0.01,0.01,0.01,401636.55,Claymore,22468,jita,2025-11-02 16:20:13
349800000.0,372600000.0,385915556.61,349800000.0,42209641.19,318100000.0,0.01,0.01,0.01,401636.55,Claymore,22468,jita,2025-11-02 17:15:51
349700000.0,372600000.0,385497878.93,349700000.0,42166035.15,318100000.0,0.01,0.01,0.01,401636.55,Claymore,22468,jita,2025-11-02 18:22:51
349700000.0,372600000.0,385497878.93,349700000.0,42166035.15,318100000.0,0.01,0.01,0.01,401636.55,Claymore,22468,jita,2025-11-02 19:14:28
349600000.0,372600000.0,385495456.15,349600000.0,42168031.16,318100000.0,0.01,0.01,0.01,401636.55,Claymore,22468,jita,2025-11-02 20:19:01
349600000.0,372600000.0,385495456.15,349600000.0,42168031.16,318100000.0,0.01,0.01,0.01,401636.55,Claymore,22468,jita,2025-11-02 21:15:55
349600000.0,372600000.0,385495456.15,349600000.0,42168031.16,318100000.0,0.01,0.01,0.01,401636.55,Claymore,22468,jita,2025-11-02 22:16:51
349600000.0,372600000.0,385495456.15,349600000.0,42168031.16,318100000.0,0.01,0.01,0.01,401636.55,Claymore,22468,jita,2025-11-02 23:16:30
340300000.0,372600000.0,384860482.52,340300000.0,42326006.22,318100000.0,0.01,0.01,0.01,401636.55,Claymore,22468,jita,2025-11-03 01:25:35
340300000.0,372600000.0,384603286.0,340300000.0,42496340.4,318100000.0,0.01,0.01,0.01,401636.55,Claymore,22468,jita,2025-11-03 03:17:19
340200000.0,372600000.0,384090773.11,340200000.0,42539544.52,318100000.0,0.01,0.01,0.01,401636.55,Claymore,22468,jita,2025-11-03 04:28:16
340200000.0,372600000.0,384090773.11,340200000.0,42539544.52,318100000.0,0.01,0.01,0.01,401636.55,Claymore,22468,jita,2025-11-03 05:20:01
