Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
72440.0,72450.0,115376.87,72450.0,260472.07,36600.0,36110.0,7825.55,36600.0,15750.55,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-02 09:06:36
72440.0,72450.0,115428.07,72450.0,260569.38,36600.0,36110.0,7819.04,36600.0,15753.1,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-02 09:17:24
72440.0,72450.0,115444.27,72450.0,260600.13,36600.0,36110.0,7802.75,36600.0,15759.48,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-02 10:17:46
72430.0,72450.0,115436.17,72450.0,260584.76,36600.0,36110.0,7789.72,36600.0,15764.59,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-02 10:56:30
72430.0,72450.0,115436.17,72450.0,260584.76,36600.0,36110.0,7789.72,36600.0,15764.59,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-02 11:08:33
72430.0,72450.0,115444.27,72450.0,260600.13,36600.0,36110.0,7688.46,36600.0,15804.23,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-02 11:14:27
72000.0,72450.0,115444.23,72450.0,260600.14,36600.0,36110.0,7685.19,36600.0,15805.51,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-02 12:33:15
72430.0,72450.0,115191.85,72450.0,260119.54,36600.0,36110.0,7665.55,36600.0,15813.2,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-02 13:23:03
72410.0,72450.0,115178.36,72450.0,260094.09,36600.0,36110.0,7636.06,36600.0,15824.74,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-02 14:16:03
72400.0,72450.0,115288.1,72450.0,260303.34,36600.0,36110.0,7586.83,36580.0,15843.99,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-02 15:17:15
72410.0,72450.0,115304.2,72450.0,260334.0,36650.0,36110.0,9374.19,36650.0,15146.53,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-02 16:20:15
66660.0,72450.0,115319.84,72450.0,260364.8,36650.0,36110.0,9368.1,36650.0,15148.91,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-02 17:15:54
72410.0,72450.0,115341.83,72450.0,260405.57,36650.0,36110.0,9346.77,36650.0,15157.25,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-02 18:22:54
72410.0,72450.0,115368.75,72450.0,260456.73,36700.0,36110.0,9331.71,36650.0,15163.62,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-02 19:14:31
72400.0,72450.0,115039.67,72410.0,259829.44,36720.0,36110.0,10783.99,36720.0,14601.38,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-02 20:19:04
72400.0,72450.0,115258.33,72450.0,260247.23,36720.0,36110.0,10741.58,36710.0,14617.8,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-02 21:15:58
72400.0,72450.0,115277.1,72450.0,260282.98,36720.0,36110.0,10724.59,36710.0,14624.38,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-02 22:16:53
72400.0,72450.0,115287.83,72450.0,260303.41,36720.0,36110.0,10716.08,36710.0,14627.67,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-02 23:16:32
72400.0,72450.0,115355.04,72450.0,260431.22,36720.0,36110.0,10650.75,36710.0,14652.97,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 01:25:38
72400.0,72450.0,115373.89,72450.0,260467.04,36710.0,36110.0,10605.16,36710.0,14670.64,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 03:17:22
72450.0,72450.0,115888.82,72450.0,261439.24,36710.0,36110.0,10615.83,36710.0,14666.22,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 04:28:19
72440.0,72450.0,115883.31,72450.0,261428.9,36710.0,36110.0,10598.7,36710.0,14672.86,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 05:20:04
72000.0,72450.0,115888.79,72450.0,261439.25,36710.0,36110.0,10598.7,36710.0,14672.86,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 06:30:00
72000.0,72450.0,115888.79,72450.0,261439.25,36710.0,36110.0,10598.7,36710.0,14672.86,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 07:19:54
72450.0,72450.0,115905.36,72450.0,261470.27,36720.0,36110.0,10974.6,36720.0,14527.36,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 08:27:23
72440.0,72450.0,115902.6,72450.0,261465.1,36730.0,36110.0,10975.18,36730.0,14528.42,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 09:23:08
72450.0,72450.0,115941.22,72450.0,261537.53,36730.0,36110.0,10966.79,36730.0,14531.66,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 10:22:40
72400.0,72450.0,115949.51,72450.0,261553.06,36730.0,36110.0,10961.19,36730.0,14533.82,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 11:17:02
70730.0,72450.0,115871.11,72450.0,261414.54,36730.0,36110.0,10933.19,36730.0,14544.65,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 12:39:30
70730.0,72450.0,115871.11,72450.0,261414.54,36740.0,36110.0,10933.38,36740.0,14545.0,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 13:30:51
70730.0,72450.0,115885.58,72450.0,261440.19,36740.0,36110.0,10924.97,36740.0,14548.25,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 14:19:41
70730.0,72450.0,115897.17,72450.0,261460.71,36750.0,36110.0,10920.32,36740.0,14552.12,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 15:20:42
72450.0,72450.0,115952.27,72450.0,261558.24,36820.0,36110.0,10903.67,36750.0,14558.99,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 16:22:35
72450.0,72450.0,115966.09,72450.0,261584.12,36820.0,36110.0,10881.14,36750.0,14567.6,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 17:17:44
72450.0,72450.0,115977.15,72450.0,261604.84,36820.0,36110.0,10847.3,36740.0,14580.54,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 18:26:57
72450.0,72450.0,116007.59,72450.0,261661.83,36740.0,36110.0,10745.5,36740.0,14619.78,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 19:15:38
72450.0,72450.0,116015.9,72450.0,261677.37,36740.0,36110.0,10665.94,36740.0,14650.53,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 20:22:24
72440.0,72450.0,115899.81,72450.0,261459.94,36740.0,36110.0,10657.4,36740.0,14653.84,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 21:18:20
72440.0,72450.0,115908.08,72450.0,261475.45,36760.0,36110.0,10660.63,36760.0,14659.91,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 22:18:56
72440.0,72450.0,115930.16,72450.0,261516.84,36760.0,36110.0,10652.07,36760.0,14663.22,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-03 23:17:34
72440.0,72450.0,115946.73,72450.0,261547.89,37000.0,36110.0,10167.76,37000.0,14854.01,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-04 01:22:23
72420.0,72450.0,114510.96,72430.0,258807.74,37000.0,36110.0,10161.87,37000.0,14856.22,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-04 03:10:21
72420.0,72450.0,114529.08,72430.0,258842.96,37000.0,36110.0,10123.52,37000.0,14870.57,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-04 04:22:13
72420.0,72450.0,114549.81,72430.0,258883.22,37000.0,36110.0,10105.79,37000.0,14877.21,Counterbalanced Compact Gyrostabilizer,5933,jita,2025-11-04 05:19:22
