Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
156100000.0,162600000.0,164114320.37,156100000.0,16072329.04,134600000.0,0.01,0.01,0.01,386495.81,Cyclone Fleet Issue,72811,jita,2025-11-02 09:06:39
156000000.0,162600000.0,164014088.5,156000000.0,16002266.13,134600000.0,0.01,0.01,0.01,386495.81,Cyclone Fleet Issue,72811,jita,2025-11-02 09:17:28
156300000.0,162600000.0,164644627.16,156300000.0,16439451.76,136200000.0,0.01,0.01,0.01,400635.58,Cyclone Fleet Issue,72811,jita,2025-11-02 10:17:49
155400000.0,162600000.0,164403934.69,155400000.0,16301245.96,136200000.0,0.01,0.01,0.01,400635.58,Cyclone Fleet Issue,72811,jita,2025-11-02 10:56:33
155400000.0,162600000.0,164403934.69,155400000.0,16301245.96,136200000.0,0.01,0.01,0.01,400635.58,Cyclone Fleet Issue,72811,jita,2025-11-02 11:08:37
155400000.0,162600000.0,164403934.69,155400000.0,16301245.96,136200000.0,0.01,0.01,0.01,400635.58,Cyclone Fleet Issue,72811,jita,2025-11-02 11:14:30
155000000.0,162600000.0,163729254.1,155000000.0,15912459.22,136200000.0,0.01,0.01,0.01,400635.58,Cyclone Fleet Issue,72811,jita,2025-11-02 12:33:18
154900000.0,160000000.0,163420597.25,154900000.0,15912573.39,136200000.0,0.01,0.01,0.01,393629.19,Cyclone Fleet Issue,72811,jita,2025-11-02 13:23:06
154900000.0,160100000.0,163523579.82,154900000.0,15976110.93,136200000.0,0.01,0.01,0.01,393629.19,Cyclone Fleet Issue,72811,jita,2025-11-02 14:16:06
154900000.0,160100000.0,163629081.59,154900000.0,16040176.36,136200000.0,0.01,0.01,0.01,393629.19,Cyclone Fleet Issue,72811,jita,2025-11-02 15:17:18
154900000.0,160100000.0,163629081.59,154900000.0,16040176.36,136200000.0,0.01,0.01,0.01,393629.19,Cyclone Fleet Issue,72811,jita,2025-11-02 16:20:18
155000000.0,162600000.0,163959048.72,155000000.0,16236957.16,136200000.0,0.01,0.01,0.01,393629.19,Cyclone Fleet Issue,72811,jita,2025-11-02 17:15:58
154900000.0,160200000.0,163845442.58,154900000.0,16171312.62,136200000.0,0.01,0.01,0.01,393629.19,Cyclone Fleet Issue,72811,jita,2025-11-02 18:22:57
155000000.0,162600000.0,164074253.14,155000000.0,16303854.82,136200000.0,0.01,0.01,0.01,391265.85,Cyclone Fleet Issue,72811,jita,2025-11-02 19:14:35
154900000.0,162600000.0,163957742.37,154900000.0,16237693.44,136200000.0,0.01,0.01,0.01,391265.85,Cyclone Fleet Issue,72811,jita,2025-11-02 20:19:07
154900000.0,162600000.0,163957742.37,154900000.0,16237693.44,136200000.0,0.01,0.01,0.01,391265.85,Cyclone Fleet Issue,72811,jita,2025-11-02 21:16:02
154800000.0,157900000.0,161304982.39,154900000.0,12673727.48,136200000.0,0.01,0.01,0.01,388888.14,Cyclone Fleet Issue,72811,jita,2025-11-02 22:16:56
