Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
3799000.0,4239000.0,4194320.08,3799000.0,393236.94,3600000.0,500.0,24470.83,3407000.0,1463078.0,Cynosural Field Generator I,21096,jita,2025-11-02 09:06:39
3797000.0,4239000.0,4193206.04,3798000.0,394050.18,3600000.0,500.0,24470.83,3407000.0,1463078.0,Cynosural Field Generator I,21096,jita,2025-11-02 09:17:29
3799000.0,4239000.0,4201132.53,3799000.0,393621.29,3600000.0,500.0,24470.83,3407000.0,1463078.0,Cynosural Field Generator I,21096,jita,2025-11-02 10:17:50
3799000.0,4239000.0,4200730.12,3799000.0,394133.86,3600000.0,500.0,24470.83,3407000.0,1463078.0,Cynosural Field Generator I,21096,jita,2025-11-02 10:56:34
3799000.0,4239000.0,4200730.12,3799000.0,394133.86,3600000.0,500.0,24470.83,3407000.0,1463078.0,Cynosural Field Generator I,21096,jita,2025-11-02 11:08:38
3601000.0,4239000.0,4200428.73,3799000.0,394266.84,3407000.0,500.0,24094.06,3407000.0,1458471.87,Cynosural Field Generator I,21096,jita,2025-11-02 11:14:31
3799000.0,4239000.0,4200926.99,3799000.0,394121.93,3407000.0,500.0,22046.86,3407000.0,1436699.75,Cynosural Field Generator I,21096,jita,2025-11-02 12:33:19
3799000.0,4239000.0,4201716.37,3799000.0,394073.09,3407000.0,500.0,21929.83,3407000.0,1435344.71,Cynosural Field Generator I,21096,jita,2025-11-02 13:23:07
3799000.0,4239000.0,4205710.2,3799000.0,393802.22,3407000.0,500.0,21008.47,3407000.0,1424565.67,Cynosural Field Generator I,21096,jita,2025-11-02 14:16:07
3799000.0,4239000.0,4208757.91,3799000.0,393568.8,3407000.0,500.0,20781.52,3407000.0,1421688.75,Cynosural Field Generator I,21096,jita,2025-11-02 15:17:19
3799000.0,4239000.0,4211022.06,3799000.0,393380.42,3408000.0,500.0,20000.85,3408000.0,1411880.33,Cynosural Field Generator I,21096,jita,2025-11-02 16:20:19
3799000.0,4239000.0,4211436.41,3799000.0,393344.57,3408000.0,500.0,19890.54,3408000.0,1410361.01,Cynosural Field Generator I,21096,jita,2025-11-02 17:15:59
