Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
393800.0,424700.0,451040.19,393900.0,4036386.06,367400.0,312000.0,220029.87,367200.0,82558.83,Damage Control II,2048,jita,2025-11-02 09:06:40
393800.0,424700.0,451138.91,393900.0,4039681.38,367400.0,312000.0,220029.87,367200.0,82558.83,Damage Control II,2048,jita,2025-11-02 09:17:30
393800.0,424700.0,451222.24,393900.0,4042406.06,367400.0,312000.0,220029.87,367200.0,82558.83,Damage Control II,2048,jita,2025-11-02 10:17:50
393900.0,424700.0,451406.05,393900.0,4048453.06,367400.0,312000.0,220029.87,367200.0,82558.83,Damage Control II,2048,jita,2025-11-02 10:56:36
393900.0,424700.0,451406.05,393900.0,4048453.06,367400.0,312000.0,220029.87,367200.0,82558.83,Damage Control II,2048,jita,2025-11-02 11:08:39
393900.0,424700.0,451563.03,393900.0,4053610.24,367400.0,312000.0,220029.87,367200.0,82558.83,Damage Control II,2048,jita,2025-11-02 11:14:32
393600.0,424700.0,450844.41,393800.0,4030065.38,368100.0,312000.0,221153.06,367400.0,82548.62,Damage Control II,2048,jita,2025-11-02 12:33:20
393500.0,424700.0,451349.91,393800.0,4049618.22,367500.0,312000.0,220929.18,367200.0,82550.34,Damage Control II,2048,jita,2025-11-02 13:23:08
393700.0,424700.0,452075.62,393800.0,4073509.66,367600.0,312000.0,220938.12,367200.0,82550.24,Damage Control II,2048,jita,2025-11-02 14:16:08
393800.0,424700.0,452454.85,393900.0,4085828.31,367600.0,312000.0,220938.12,367200.0,82550.24,Damage Control II,2048,jita,2025-11-02 15:17:20
393800.0,424700.0,453219.36,393800.0,4114114.22,368200.0,312000.0,223790.34,368200.0,82507.22,Damage Control II,2048,jita,2025-11-02 16:20:20
393800.0,424700.0,453325.95,393800.0,4117516.36,368200.0,312000.0,223096.13,368200.0,82522.34,Damage Control II,2048,jita,2025-11-02 17:16:00
