Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
7000000.0,7688000.0,8041461.55,7097000.0,1016190.75,5739000.0,0.01,0.01,0.01,18368.86,Defender Launcher I,44102,jita,2025-11-02 09:06:41
7000000.0,7688000.0,8041461.55,7097000.0,1016190.75,5739000.0,0.01,0.01,0.01,18368.86,Defender Launcher I,44102,jita,2025-11-02 09:17:31
7000000.0,7677000.0,8018539.82,7096000.0,1015684.7,5739000.0,0.01,0.01,0.01,18368.86,Defender Launcher I,44102,jita,2025-11-02 10:17:51
7000000.0,7677000.0,8018539.82,7096000.0,1015684.7,5739000.0,0.01,0.01,0.01,18368.86,Defender Launcher I,44102,jita,2025-11-02 10:56:37
7000000.0,7677000.0,8018539.82,7096000.0,1015684.7,5739000.0,0.01,0.01,0.01,18368.86,Defender Launcher I,44102,jita,2025-11-02 11:08:40
7000000.0,7677000.0,8018539.82,7096000.0,1015684.7,5739000.0,0.01,0.01,0.01,18368.86,Defender Launcher I,44102,jita,2025-11-02 11:14:33
7000000.0,7677000.0,8018539.82,7096000.0,1015684.7,5739000.0,0.01,0.01,0.01,18368.86,Defender Launcher I,44102,jita,2025-11-02 12:33:21
7000000.0,7677000.0,8018539.82,7096000.0,1015684.7,5739000.0,0.01,0.01,0.01,18368.86,Defender Launcher I,44102,jita,2025-11-02 13:23:09
7000000.0,7677000.0,8018539.82,7096000.0,1015684.7,5739000.0,0.01,0.01,0.01,18368.86,Defender Launcher I,44102,jita,2025-11-02 14:16:09
7000000.0,7677000.0,8018539.82,7096000.0,1015684.7,5739000.0,0.01,0.01,0.01,18368.86,Defender Launcher I,44102,jita,2025-11-02 15:17:21
7000000.0,7677000.0,8018310.21,7096000.0,1015197.32,5739000.0,0.01,0.01,0.01,18368.86,Defender Launcher I,44102,jita,2025-11-02 16:20:21
7096000.0,7678000.0,8024556.72,7096000.0,1015280.29,5739000.0,0.01,0.01,0.01,18368.86,Defender Launcher I,44102,jita,2025-11-02 17:16:02
7094000.0,7678000.0,8025431.67,7095000.0,1016138.56,5739000.0,0.01,0.01,0.01,18368.86,Defender Launcher I,44102,jita,2025-11-02 18:23:00
