Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
396600.0,510100.0,499152.32,397100.0,97394.46,292400.0,0.01,0.01,0.01,6313.68,Drone Link Augmentor I,23527,jita,2025-11-02 09:06:43
396400.0,510100.0,499002.67,397100.0,97414.26,292700.0,0.01,0.01,0.01,6313.14,Drone Link Augmentor I,23527,jita,2025-11-02 09:17:34
396200.0,510100.0,498969.73,397100.0,97418.95,294000.0,0.01,0.01,0.01,6325.5,Drone Link Augmentor I,23527,jita,2025-11-02 10:17:53
396200.0,510100.0,499002.29,397100.0,97414.61,294100.0,0.01,0.01,0.01,6358.81,Drone Link Augmentor I,23527,jita,2025-11-02 10:56:39
396200.0,510100.0,499002.29,397100.0,97414.61,294100.0,0.01,0.01,0.01,6358.81,Drone Link Augmentor I,23527,jita,2025-11-02 11:08:42
396200.0,510100.0,499002.29,397100.0,97414.61,294100.0,0.01,0.01,0.01,6358.81,Drone Link Augmentor I,23527,jita,2025-11-02 11:14:35
396000.0,510100.0,498565.6,397100.0,97473.63,296900.0,0.01,0.01,0.01,6421.32,Drone Link Augmentor I,23527,jita,2025-11-02 12:33:24
395800.0,510100.0,498612.62,397100.0,97471.17,297200.0,0.01,0.01,0.01,6437.81,Drone Link Augmentor I,23527,jita,2025-11-02 13:23:10
395700.0,510100.0,498390.07,396000.0,97526.26,297200.0,0.01,0.01,0.01,6393.15,Drone Link Augmentor I,23527,jita,2025-11-02 14:16:11
395400.0,510100.0,498759.33,395600.0,97563.51,297200.0,0.01,0.01,0.01,6377.28,Drone Link Augmentor I,23527,jita,2025-11-02 15:17:24
394800.0,510100.0,498841.58,395000.0,97585.04,297200.0,0.01,0.01,0.01,6368.98,Drone Link Augmentor I,23527,jita,2025-11-02 16:20:22
