Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
19980.0,20990.0,21057.08,20490.0,1257.71,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-02 09:06:45
19960.0,20990.0,21057.33,20490.0,1257.75,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-02 09:17:36
19980.0,20990.0,21059.57,20490.0,1258.07,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-02 10:17:55
19980.0,20990.0,21059.88,20490.0,1258.12,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-02 10:56:41
19980.0,20990.0,21059.88,20490.0,1258.12,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-02 11:08:45
19980.0,20990.0,21059.93,20490.0,1258.12,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-02 11:14:37
19980.0,20990.0,21060.18,20490.0,1258.16,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-02 12:33:26
19980.0,20990.0,21061.35,20490.0,1258.33,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-02 13:23:12
19980.0,20990.0,21061.87,20490.0,1258.4,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-02 14:16:13
19970.0,20990.0,21053.84,20490.0,488.93,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-02 15:17:26
19970.0,20990.0,21054.69,20490.0,488.2,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-02 16:20:24
19970.0,20990.0,21056.09,20490.0,486.97,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-02 17:16:06
19970.0,20990.0,21056.75,20490.0,486.39,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-02 18:23:04
19960.0,20990.0,21047.8,19970.0,494.2,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-02 19:14:43
19960.0,20990.0,21048.76,19980.0,493.37,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-02 20:19:13
19960.0,20990.0,21052.52,20440.0,490.12,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-02 21:16:10
19960.0,20990.0,21052.99,20440.0,489.71,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-02 22:17:02
19960.0,20990.0,21054.33,20490.0,488.53,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-02 23:16:41
19960.0,20990.0,21054.45,20490.0,488.43,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-03 01:25:46
19950.0,20990.0,21044.79,19960.0,496.87,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-03 03:17:32
19940.0,20990.0,21044.87,19950.0,496.85,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-03 04:28:28
19940.0,20990.0,21045.27,19950.0,496.54,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-03 05:20:13
19940.0,20990.0,21045.29,19950.0,496.52,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-03 06:30:10
19940.0,20990.0,21045.41,19950.0,496.41,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-03 07:20:06
19940.0,20990.0,21045.7,19970.0,496.16,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-03 08:27:32
19940.0,20990.0,21046.38,19970.0,495.56,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-03 09:23:17
19940.0,20990.0,21034.91,19950.0,505.24,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-03 10:22:51
19950.0,20990.0,21035.51,19950.0,504.74,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-03 11:17:12
19950.0,20990.0,21035.97,19950.0,504.36,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-03 12:39:39
19950.0,20990.0,21036.9,19950.0,503.59,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-03 13:31:01
19950.0,20990.0,21037.2,19950.0,503.34,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-03 14:19:50
19950.0,20990.0,21037.94,19950.0,502.72,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-03 15:20:51
19940.0,20970.0,20845.87,19940.0,617.56,15000.0,15000.0,15000.0,15000.0,0.0,ECCM Script,41155,jita,2025-11-03 16:22:43
