Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
1680000.0,1761000.0,1859588.9,1733000.0,240672.18,812000.0,810000.0,807241.75,810500.0,12555.42,EM Shield Hardener II,2301,C-J6MT,2025-11-02 09:06:46
1680000.0,1761000.0,1859588.9,1733000.0,240672.18,812000.0,810000.0,807241.75,810500.0,12555.42,EM Shield Hardener II,2301,C-J6MT,2025-11-02 09:17:38
1679000.0,1761000.0,1856690.85,1679000.0,240012.01,812000.0,810000.0,807241.75,810500.0,12555.42,EM Shield Hardener II,2301,C-J6MT,2025-11-02 10:17:56
1679000.0,1761000.0,1857550.46,1679000.0,240211.95,812000.0,810000.0,807241.75,810500.0,12555.42,EM Shield Hardener II,2301,C-J6MT,2025-11-02 10:56:44
1679000.0,1761000.0,1857550.46,1679000.0,240211.95,812000.0,810000.0,807241.75,810500.0,12555.42,EM Shield Hardener II,2301,C-J6MT,2025-11-02 11:08:47
1679000.0,1761000.0,1857838.84,1680000.0,240278.24,812000.0,810000.0,807241.75,810500.0,12555.42,EM Shield Hardener II,2301,C-J6MT,2025-11-02 11:14:39
1679000.0,1761000.0,1858128.16,1680000.0,240344.36,1679000.0,810000.0,810921.97,812000.0,69827.07,EM Shield Hardener II,2301,C-J6MT,2025-11-02 12:33:28
1680000.0,1761000.0,1859882.18,1733000.0,240738.43,812000.0,810000.0,807241.75,810500.0,12555.42,EM Shield Hardener II,2301,C-J6MT,2025-11-02 13:23:14
1680000.0,1761000.0,1859882.18,1733000.0,240738.43,812000.0,810000.0,807241.75,810500.0,12555.42,EM Shield Hardener II,2301,C-J6MT,2025-11-02 14:16:15
1733000.0,1761000.0,1862537.02,1734000.0,241870.57,812000.0,810000.0,807241.75,810500.0,12555.42,EM Shield Hardener II,2301,C-J6MT,2025-11-02 15:17:28
1733000.0,1761000.0,1862749.47,1734000.0,241994.75,812000.0,810000.0,807241.75,810500.0,12555.42,EM Shield Hardener II,2301,C-J6MT,2025-11-02 16:20:26
1734000.0,1761000.0,1863604.58,1734000.0,242493.59,812000.0,810000.0,807241.75,810500.0,12555.42,EM Shield Hardener II,2301,C-J6MT,2025-11-02 17:16:09
1735000.0,1761000.0,1870105.08,1735000.0,246194.58,812000.0,810000.0,807241.75,810500.0,12555.42,EM Shield Hardener II,2301,C-J6MT,2025-11-02 18:23:06
1738000.0,1761000.0,1872941.0,1738000.0,247781.32,812000.0,810000.0,807241.75,810500.0,12555.42,EM Shield Hardener II,2301,C-J6MT,2025-11-02 19:14:46
1738000.0,1761000.0,1873902.13,1738000.0,248320.27,812000.0,810000.0,807241.75,810500.0,12555.42,EM Shield Hardener II,2301,C-J6MT,2025-11-02 20:19:15
1734000.0,1761000.0,1873067.83,1737000.0,249827.31,812000.0,810000.0,807241.75,810500.0,12555.42,EM Shield Hardener II,2301,C-J6MT,2025-11-02 21:16:13
1734000.0,1761000.0,1873501.43,1734000.0,250133.92,812000.0,810000.0,807241.75,810500.0,12555.42,EM Shield Hardener II,2301,C-J6MT,2025-11-02 22:17:04
