Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
2102000.0,2106000.0,2180549.61,2102000.0,136523.79,1833000.0,0.01,0.01,0.01,19208.48,EM Shield Hardener II,2301,jita,2025-11-02 09:06:46
2101000.0,2106000.0,2179312.54,2101000.0,135864.39,1833000.0,0.01,0.01,0.01,19208.48,EM Shield Hardener II,2301,jita,2025-11-02 09:17:38
2099000.0,2106000.0,2179580.13,2099000.0,136245.13,1833000.0,0.01,0.01,0.01,19182.24,EM Shield Hardener II,2301,jita,2025-11-02 10:17:56
2098000.0,2106000.0,2179552.4,2099000.0,136231.34,1833000.0,0.01,0.01,0.01,19173.48,EM Shield Hardener II,2301,jita,2025-11-02 10:56:44
2098000.0,2106000.0,2179552.4,2099000.0,136231.34,1833000.0,0.01,0.01,0.01,19173.48,EM Shield Hardener II,2301,jita,2025-11-02 11:08:47
2099000.0,2106000.0,2179634.96,2099000.0,136273.12,1833000.0,0.01,0.01,0.01,19059.29,EM Shield Hardener II,2301,jita,2025-11-02 11:14:39
2098000.0,2106000.0,2178134.42,2098000.0,135517.81,1833000.0,0.01,0.01,0.01,19006.36,EM Shield Hardener II,2301,jita,2025-11-02 12:33:28
2098000.0,2106000.0,2178891.03,2099000.0,135901.82,1833000.0,0.01,0.01,0.01,19006.36,EM Shield Hardener II,2301,jita,2025-11-02 13:23:14
2096000.0,2106000.0,2178889.02,2097000.0,136138.51,1833000.0,0.01,0.01,0.01,18997.52,EM Shield Hardener II,2301,jita,2025-11-02 14:16:15
2096000.0,2106000.0,2178830.23,2097000.0,136113.37,1833000.0,0.01,0.01,0.01,18864.47,EM Shield Hardener II,2301,jita,2025-11-02 15:17:28
2096000.0,2106000.0,2179139.37,2097000.0,136260.97,1833000.0,0.01,0.01,0.01,18837.75,EM Shield Hardener II,2301,jita,2025-11-02 16:20:26
2096000.0,2106000.0,2178846.17,2096000.0,136134.14,1834000.0,0.01,0.01,0.01,19252.59,EM Shield Hardener II,2301,jita,2025-11-02 17:16:09
2094000.0,2106000.0,2177905.26,2094000.0,135858.3,1835000.0,0.01,0.01,0.01,19218.37,EM Shield Hardener II,2301,jita,2025-11-02 18:23:06
2093000.0,2106000.0,2177975.68,2094000.0,135905.95,1835000.0,0.01,0.01,0.01,19174.54,EM Shield Hardener II,2301,jita,2025-11-02 19:14:46
2092000.0,2106000.0,2178060.28,2094000.0,135945.01,1835000.0,0.01,0.01,0.01,19156.98,EM Shield Hardener II,2301,jita,2025-11-02 20:19:15
1836000.0,2106000.0,2178242.16,2094000.0,136384.78,1835000.0,0.01,0.01,0.01,19139.4,EM Shield Hardener II,2301,jita,2025-11-02 21:16:13
2093000.0,2106000.0,2179205.42,2094000.0,136466.24,1836000.0,0.01,0.01,0.01,19078.66,EM Shield Hardener II,2301,jita,2025-11-02 22:17:04
2091000.0,2106000.0,2179207.69,2091000.0,136650.58,1836000.0,0.01,0.01,0.01,19043.3,EM Shield Hardener II,2301,jita,2025-11-02 23:16:43
2089000.0,2106000.0,2179420.63,2089000.0,136832.74,1836000.0,0.01,0.01,0.01,18919.05,EM Shield Hardener II,2301,jita,2025-11-03 01:25:48
2084000.0,2106000.0,2178195.03,2086000.0,136449.38,1836000.0,0.01,0.01,0.01,18879.13,EM Shield Hardener II,2301,jita,2025-11-03 03:17:34
2083000.0,2106000.0,2178109.34,2083000.0,136723.05,1836000.0,0.01,0.01,0.01,18852.34,EM Shield Hardener II,2301,jita,2025-11-03 04:28:30
2083000.0,2106000.0,2178238.7,2083000.0,136766.22,1836000.0,0.01,0.01,0.01,18852.34,EM Shield Hardener II,2301,jita,2025-11-03 05:20:15
2083000.0,2106000.0,2178433.42,2083000.0,136830.92,1836000.0,0.01,0.01,0.01,18852.34,EM Shield Hardener II,2301,jita,2025-11-03 06:30:12
2082000.0,2106000.0,2178483.54,2083000.0,136927.79,1836000.0,0.01,0.01,0.01,18852.34,EM Shield Hardener II,2301,jita,2025-11-03 07:20:08
2082000.0,2106000.0,2178516.48,2083000.0,136938.35,1837000.0,0.01,0.01,0.01,18965.14,EM Shield Hardener II,2301,jita,2025-11-03 08:27:34
2081000.0,2106000.0,2176334.94,2081000.0,136243.02,1837000.0,0.01,0.01,0.01,18965.14,EM Shield Hardener II,2301,jita,2025-11-03 09:23:18
2079000.0,2106000.0,2176270.64,2079000.0,136351.33,1838000.0,0.01,0.01,0.01,18970.34,EM Shield Hardener II,2301,jita,2025-11-03 10:22:53
2077000.0,2106000.0,2176510.72,2077000.0,136701.17,1838000.0,0.01,0.01,0.01,18827.4,EM Shield Hardener II,2301,jita,2025-11-03 11:17:14
2074000.0,2106000.0,2175979.84,2074000.0,136613.58,1838000.0,0.01,0.01,0.01,18773.52,EM Shield Hardener II,2301,jita,2025-11-03 12:39:41
2071000.0,2106000.0,2172307.12,2072000.0,135714.98,1839000.0,0.01,0.01,0.01,18707.84,EM Shield Hardener II,2301,jita,2025-11-03 13:31:03
2069000.0,2106000.0,2168595.1,2070000.0,138192.73,1839000.0,0.01,0.01,0.01,18544.5,EM Shield Hardener II,2301,jita,2025-11-03 14:19:52
