Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
616.9,630.0,627.6,616.9,4.29,62.0,62.0,62.0,62.0,0.0,Electronic Hardening Charge,42837,C-J6MT,2025-10-29 18:35:10
616.9,630.0,627.6,616.9,4.29,62.0,62.0,62.0,62.0,0.0,Electronic Hardening Charge,42837,C-J6MT,2025-10-29 18:32:27
616.9,630.0,627.6,616.9,4.29,62.0,62.0,62.0,62.0,0.0,Electronic Hardening Charge,42837,C-J6MT,2025-10-29 19:16:05
616.9,630.0,627.6,616.9,4.29,62.0,62.0,62.0,62.0,0.0,Electronic Hardening Charge,42837,C-J6MT,2025-10-29 20:22:44
616.9,630.0,627.6,616.9,4.29,62.0,62.0,62.0,62.0,0.0,Electronic Hardening Charge,42837,C-J6MT,2025-10-29 21:18:43
616.9,630.0,627.6,616.9,4.29,62.0,62.0,62.0,62.0,0.0,Electronic Hardening Charge,42837,C-J6MT,2025-10-29 22:19:02
616.9,630.0,627.6,616.9,4.29,62.0,62.0,62.0,62.0,0.0,Electronic Hardening Charge,42837,C-J6MT,2025-10-29 23:18:56
616.9,630.0,627.6,616.9,4.29,62.0,62.0,62.0,62.0,0.0,Electronic Hardening Charge,42837,C-J6MT,2025-10-30 01:25:30
616.9,630.0,627.6,616.9,4.29,62.0,62.0,62.0,62.0,0.0,Electronic Hardening Charge,42837,C-J6MT,2025-10-30 03:11:47
616.9,630.0,627.6,616.9,4.29,62.0,62.0,62.0,62.0,0.0,Electronic Hardening Charge,42837,C-J6MT,2025-10-30 04:22:47
616.9,630.0,627.6,616.9,4.29,62.0,62.0,62.0,62.0,0.0,Electronic Hardening Charge,42837,C-J6MT,2025-10-30 05:19:37
616.9,630.0,627.6,616.9,4.29,62.0,62.0,62.0,62.0,0.0,Electronic Hardening Charge,42837,C-J6MT,2025-10-30 06:29:32
616.9,630.0,627.6,616.9,4.29,62.0,62.0,62.0,62.0,0.0,Electronic Hardening Charge,42837,C-J6MT,2025-10-30 07:19:06
