Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
1054.0,1097.0,1282.72,1054.0,4317.08,429.8,404.4,10.52,429.8,204.17,Electronic Hardening Charge,42837,jita,2025-11-02 09:06:49
1054.0,1097.0,1282.72,1054.0,4317.08,429.8,404.4,10.52,429.8,204.17,Electronic Hardening Charge,42837,jita,2025-11-02 09:17:42
1054.0,1097.0,1283.0,1054.0,4319.37,429.8,404.4,10.52,429.8,204.17,Electronic Hardening Charge,42837,jita,2025-11-02 10:17:59
1054.0,1097.0,1284.84,1054.0,4334.07,429.8,404.4,10.52,429.8,204.17,Electronic Hardening Charge,42837,jita,2025-11-02 10:56:47
1054.0,1097.0,1284.84,1054.0,4334.07,429.8,404.4,10.52,429.8,204.17,Electronic Hardening Charge,42837,jita,2025-11-02 11:08:51
1054.0,1097.0,1285.33,1054.0,4337.93,429.8,404.4,10.52,429.8,204.17,Electronic Hardening Charge,42837,jita,2025-11-02 11:14:42
1000.0,1097.0,1284.59,1054.0,4333.35,429.8,404.4,10.52,429.8,204.17,Electronic Hardening Charge,42837,jita,2025-11-02 12:33:32
999.0,1097.0,1278.62,999.0,4342.11,429.8,404.4,10.52,429.8,204.17,Electronic Hardening Charge,42837,jita,2025-11-02 13:23:16
999.0,1097.0,1279.52,999.0,4347.9,431.0,404.4,10.49,431.0,204.2,Electronic Hardening Charge,42837,jita,2025-11-02 14:16:18
998.9,1097.0,1276.54,998.9,4373.24,431.0,404.4,10.3,431.0,204.21,Electronic Hardening Charge,42837,jita,2025-11-02 15:17:32
998.9,1097.0,1276.9,998.9,4375.6,431.0,404.4,10.3,431.0,204.21,Electronic Hardening Charge,42837,jita,2025-11-02 16:20:28
998.9,1097.0,1279.65,998.9,4393.4,431.1,404.4,10.37,431.1,206.66,Electronic Hardening Charge,42837,jita,2025-11-02 17:16:12
998.8,1097.0,1279.68,998.9,4394.63,431.5,404.4,8.27,431.5,206.9,Electronic Hardening Charge,42837,jita,2025-11-02 18:23:09
