Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
563.0,593.9,592.05,563.0,6.8,59.0,59.0,59.0,59.0,0.0,Electronic Superiority Charge,42836,C-J6MT,2025-10-29 18:35:12
563.0,593.9,592.05,563.0,6.8,59.0,59.0,59.0,59.0,0.0,Electronic Superiority Charge,42836,C-J6MT,2025-10-29 18:32:28
563.0,593.9,592.05,563.0,6.8,59.0,59.0,59.0,59.0,0.0,Electronic Superiority Charge,42836,C-J6MT,2025-10-29 19:16:06
563.0,593.9,592.05,563.0,6.8,59.0,59.0,59.0,59.0,0.0,Electronic Superiority Charge,42836,C-J6MT,2025-10-29 20:22:45
563.0,593.9,592.05,563.0,6.8,59.0,59.0,59.0,59.0,0.0,Electronic Superiority Charge,42836,C-J6MT,2025-10-29 21:18:44
563.0,593.9,592.05,563.0,6.8,59.0,59.0,59.0,59.0,0.0,Electronic Superiority Charge,42836,C-J6MT,2025-10-29 22:19:03
563.0,593.9,592.05,563.0,6.8,59.0,59.0,59.0,59.0,0.0,Electronic Superiority Charge,42836,C-J6MT,2025-10-29 23:18:57
563.0,593.9,592.05,563.0,6.8,59.0,59.0,59.0,59.0,0.0,Electronic Superiority Charge,42836,C-J6MT,2025-10-30 01:25:32
563.0,593.9,592.05,563.0,6.8,59.0,59.0,59.0,59.0,0.0,Electronic Superiority Charge,42836,C-J6MT,2025-10-30 03:11:47
563.0,593.9,592.05,563.0,6.8,59.0,59.0,59.0,59.0,0.0,Electronic Superiority Charge,42836,C-J6MT,2025-10-30 04:22:48
563.0,593.9,592.05,563.0,6.8,59.0,59.0,59.0,59.0,0.0,Electronic Superiority Charge,42836,C-J6MT,2025-10-30 05:19:37
563.0,593.9,592.05,563.0,6.8,59.0,59.0,59.0,59.0,0.0,Electronic Superiority Charge,42836,C-J6MT,2025-10-30 06:29:33
563.0,593.9,592.05,563.0,6.8,59.0,59.0,59.0,59.0,0.0,Electronic Superiority Charge,42836,C-J6MT,2025-10-30 07:19:07
563.0,593.9,592.05,563.0,6.8,59.0,59.0,59.0,59.0,0.0,Electronic Superiority Charge,42836,C-J6MT,2025-10-30 08:25:41
563.0,593.9,592.05,563.0,6.8,59.0,59.0,59.0,59.0,0.0,Electronic Superiority Charge,42836,C-J6MT,2025-10-30 09:21:47
563.0,593.9,592.05,563.0,6.8,59.0,59.0,59.0,59.0,0.0,Electronic Superiority Charge,42836,C-J6MT,2025-10-30 10:21:27
563.0,593.9,592.05,563.0,6.8,59.0,59.0,59.0,59.0,0.0,Electronic Superiority Charge,42836,C-J6MT,2025-10-30 11:17:30
