Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
554.0,554.9,663.89,554.0,121.72,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-02 09:06:51
554.0,554.9,663.89,554.0,121.72,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-02 09:17:45
554.0,554.9,663.89,554.0,121.72,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-02 10:18:02
554.0,554.9,663.89,554.0,121.72,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-02 10:56:51
554.0,554.9,663.89,554.0,121.72,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-02 11:08:54
554.0,554.9,664.58,554.0,121.72,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-02 11:14:45
554.0,554.9,664.58,554.0,121.72,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-02 12:33:35
554.0,750.0,665.59,554.0,121.72,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-02 13:23:19
554.0,750.0,666.46,554.0,121.71,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-02 14:16:21
554.0,750.0,667.0,554.0,121.7,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-02 15:17:35
554.0,750.0,667.22,554.0,121.7,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-02 16:20:31
554.0,750.0,667.4,554.0,121.69,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-02 17:16:16
554.0,750.0,668.01,554.0,121.68,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-02 18:23:11
554.0,750.0,668.01,554.0,121.68,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-02 19:14:53
554.0,750.0,668.01,554.0,121.68,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-02 20:19:20
554.0,750.0,668.37,554.0,121.67,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-02 21:16:19
554.0,750.0,668.5,554.0,121.67,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-02 22:17:09
554.0,750.0,669.24,554.0,121.64,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-02 23:16:48
554.0,750.0,669.61,554.0,121.62,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-03 01:25:53
554.0,750.0,670.18,554.0,121.6,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-03 03:17:40
554.0,750.0,670.18,554.0,121.6,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-03 04:28:35
553.9,750.0,670.03,554.0,121.61,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-03 05:20:20
553.9,750.0,670.03,554.0,121.61,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-03 06:30:18
553.9,750.0,670.03,554.0,121.61,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-03 07:20:15
554.0,799.9,676.78,554.0,121.13,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-03 08:27:39
554.0,799.9,676.78,554.0,121.13,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-03 09:23:23
554.0,799.9,676.78,554.0,121.13,300.1,300.1,300.1,300.1,0.0,Evasive Maneuvers Charge,42838,C-J6MT,2025-11-03 10:23:00
