Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
665.9,669.0,691.15,665.9,39.82,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-02 09:06:52
665.9,669.0,691.15,665.9,39.82,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-02 09:17:46
665.9,669.0,691.15,665.9,39.82,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-02 10:18:02
665.9,669.0,691.15,665.9,39.82,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-02 10:56:52
665.9,669.0,691.15,665.9,39.82,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-02 11:08:55
665.9,669.0,691.15,665.9,39.82,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-02 11:14:46
664.0,669.0,691.14,665.9,39.81,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-02 12:33:36
665.9,669.0,691.16,665.9,39.82,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-02 13:23:20
665.9,669.0,691.19,665.9,39.83,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-02 14:16:22
665.9,669.0,691.2,665.9,39.84,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-02 15:17:37
665.9,669.0,691.2,665.9,39.84,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-02 16:20:32
665.9,669.0,691.25,665.9,39.86,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-02 17:16:17
665.9,669.0,691.25,665.9,39.86,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-02 18:23:12
665.9,669.0,691.25,665.9,39.86,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-02 19:14:54
665.9,669.0,691.26,665.9,39.86,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-02 20:19:21
665.9,669.0,691.26,665.9,39.86,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-02 21:16:21
664.7,669.0,690.77,664.7,40.17,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-02 22:17:10
664.7,669.0,690.79,664.7,40.18,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-02 23:16:49
664.7,669.0,690.81,664.7,40.19,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 01:25:54
664.7,669.0,690.83,664.7,40.19,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 03:17:41
664.7,669.0,690.83,664.7,40.19,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 04:28:36
664.7,669.0,690.85,664.7,40.2,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 05:20:21
664.7,669.0,690.85,664.7,40.2,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 06:30:19
664.7,669.0,690.85,664.7,40.2,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 07:20:17
664.7,669.0,690.85,664.7,40.2,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 08:27:40
664.7,669.0,691.06,664.7,40.29,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 09:23:24
664.7,669.0,691.12,664.7,40.31,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 10:23:01
664.7,669.0,691.13,664.7,40.31,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 11:17:21
660.0,669.0,689.08,660.0,39.79,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 12:39:47
660.0,669.0,689.23,660.0,39.83,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 13:31:10
660.0,669.0,689.3,660.0,39.85,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 14:19:58
660.0,669.0,689.46,660.0,39.89,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 15:20:59
660.0,669.0,689.46,660.0,39.89,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 16:22:51
660.0,669.0,689.46,660.0,39.89,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 17:18:03
660.0,669.0,689.52,660.0,39.91,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 18:27:14
660.0,669.0,689.56,660.0,39.92,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 19:15:55
660.0,669.0,689.6,660.0,39.93,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 20:22:46
652.0,669.0,688.7,652.0,39.89,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 21:18:42
652.0,669.0,688.7,652.0,39.89,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 22:19:18
652.0,669.0,688.7,652.0,39.89,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-03 23:17:50
650.2,669.0,687.78,650.2,39.88,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 01:22:39
650.2,669.0,687.78,650.2,39.88,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 03:10:38
650.2,669.0,687.78,650.2,39.88,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 04:22:29
650.2,669.0,687.8,650.2,39.88,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 05:19:39
650.2,669.0,687.86,650.2,39.88,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 06:29:23
650.2,669.0,687.99,650.2,39.88,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 07:19:26
650.2,669.0,687.99,650.2,39.88,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 08:26:56
650.2,669.0,688.02,650.2,39.88,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 09:22:51
650.2,669.0,688.02,650.2,39.88,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 10:23:31
650.2,669.0,688.02,650.2,39.88,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 11:17:59
668.8,675.5,701.84,668.8,43.38,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 12:41:27
668.8,675.5,701.84,668.8,43.38,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 13:34:13
668.8,675.5,701.84,668.8,43.38,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 14:20:39
668.7,675.5,701.36,668.7,43.26,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 15:21:29
668.7,675.5,701.38,668.7,43.27,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 16:24:15
668.7,675.5,701.56,668.8,43.31,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 17:16:01
668.7,675.5,701.56,668.8,43.31,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 18:28:18
668.7,675.5,701.61,668.8,43.32,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 19:15:51
668.7,675.5,701.83,668.8,43.38,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 20:22:39
668.8,676.4,702.01,668.8,43.42,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 21:18:22
668.8,676.4,702.07,668.8,43.43,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 22:18:41
668.8,676.4,702.3,668.8,43.49,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-04 23:18:39
668.8,676.4,702.3,668.8,43.49,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 00:07:44
668.8,676.4,702.3,668.8,43.49,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 00:18:09
668.8,676.4,702.3,668.8,43.49,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 00:29:21
668.8,676.4,702.39,668.8,43.51,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 01:24:19
668.8,676.4,702.39,668.8,43.51,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 03:11:55
668.8,676.4,702.39,668.8,43.51,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 04:23:16
667.3,675.5,697.85,667.3,42.42,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 05:20:05
667.3,675.5,697.87,667.3,42.43,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 06:29:54
667.3,675.5,697.07,667.3,42.18,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 07:19:46
667.2,675.5,697.11,667.2,42.2,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 08:26:53
667.2,675.5,697.17,667.2,42.22,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 09:21:48
667.2,675.5,697.17,667.2,42.22,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 10:22:05
667.2,675.5,697.17,667.2,42.22,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 11:18:18
667.2,675.5,697.17,667.2,42.22,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 12:40:01
667.2,675.5,697.17,667.2,42.22,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 13:17:32
667.2,675.5,697.17,667.2,42.22,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 13:32:51
667.2,675.5,697.17,667.2,42.22,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 14:20:11
667.2,675.5,697.24,667.2,42.24,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 15:20:39
667.1,675.5,697.23,667.2,42.23,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 16:25:47
667.2,675.5,697.4,667.2,42.29,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 17:19:23
667.2,675.5,697.4,667.2,42.29,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 18:28:13
667.2,675.5,697.45,667.2,42.3,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 19:16:27
667.0,675.5,697.43,667.0,42.3,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 20:22:11
667.0,675.5,697.47,667.0,42.31,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 21:18:54
667.0,675.5,697.5,667.0,42.32,601.2,571.9,228.88,601.2,160.09,Federation Navy Antimatter Charge M,22977,jita,2025-11-05 22:18:20
