Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
22630000.0,27130000.0,28468333.86,22640000.0,12694143.03,18330000.0,0.01,0.01,0.03,48939.11,Harpy,11381,jita,2025-11-02 09:06:59
22630000.0,27130000.0,28468333.86,22640000.0,12694143.03,18330000.0,0.01,0.01,0.03,48939.11,Harpy,11381,jita,2025-11-02 09:17:55
22630000.0,27130000.0,28468333.86,22640000.0,12694143.03,18330000.0,0.01,0.01,0.03,48939.11,Harpy,11381,jita,2025-11-02 10:18:09
22630000.0,27130000.0,28468333.86,22640000.0,12694143.03,18360000.0,0.01,0.01,0.03,51975.67,Harpy,11381,jita,2025-11-02 10:57:01
22630000.0,27130000.0,28468333.86,22640000.0,12694143.03,18360000.0,0.01,0.01,0.03,51975.67,Harpy,11381,jita,2025-11-02 11:09:04
22630000.0,27130000.0,28468333.86,22640000.0,12694143.03,18360000.0,0.01,0.01,0.03,51975.67,Harpy,11381,jita,2025-11-02 11:14:54
22630000.0,27130000.0,28468333.86,22640000.0,12694143.03,18360000.0,0.01,0.01,0.03,51975.67,Harpy,11381,jita,2025-11-02 12:33:46
22630000.0,27130000.0,28484197.35,22640000.0,12705520.67,18360000.0,0.01,0.01,0.03,51975.67,Harpy,11381,jita,2025-11-02 13:23:26
22620000.0,27150000.0,28665320.4,22640000.0,12306821.17,18360000.0,0.01,0.01,0.03,51975.67,Harpy,11381,jita,2025-11-02 14:16:30
22620000.0,27150000.0,28831900.54,22640000.0,12362355.92,18360000.0,0.01,0.01,0.03,51975.67,Harpy,11381,jita,2025-11-02 15:17:46
22620000.0,27150000.0,28831900.54,22640000.0,12362355.92,18360000.0,0.01,0.01,0.03,51975.67,Harpy,11381,jita,2025-11-02 16:20:39
22630000.0,27240000.0,28847841.16,22640000.0,12372101.91,18380000.0,0.01,0.01,0.03,51985.3,Harpy,11381,jita,2025-11-02 17:16:26
22620000.0,27150000.0,28646734.93,22620000.0,12246739.49,18400000.0,0.01,0.01,0.03,53760.43,Harpy,11381,jita,2025-11-02 18:23:20
22620000.0,27150000.0,28707213.88,22620000.0,12285010.95,18400000.0,0.01,0.01,0.03,53760.43,Harpy,11381,jita,2025-11-02 19:15:03
22620000.0,27150000.0,28722522.95,22620000.0,12294621.25,18430000.0,0.01,0.01,0.03,53768.21,Harpy,11381,jita,2025-11-02 20:19:28
21420000.0,27150000.0,28593106.68,21440000.0,12238588.0,18430000.0,0.01,0.01,0.03,53480.31,Harpy,11381,jita,2025-11-02 21:16:30
21430000.0,27150000.0,28648096.41,22620000.0,12262527.19,18460000.0,0.01,0.01,0.03,53500.63,Harpy,11381,jita,2025-11-02 22:17:17
21420000.0,27150000.0,28611343.95,21440000.0,12246562.26,18460000.0,0.01,0.01,0.03,53500.63,Harpy,11381,jita,2025-11-02 23:16:56
21420000.0,27150000.0,28611343.95,21440000.0,12246562.26,18500000.0,0.01,0.01,0.03,54079.04,Harpy,11381,jita,2025-11-03 01:26:01
21420000.0,27150000.0,28629673.62,21440000.0,12254542.02,18510000.0,0.01,0.01,0.03,55218.9,Harpy,11381,jita,2025-11-03 03:17:49
21400000.0,27150000.0,28629614.46,21440000.0,12254570.54,18510000.0,0.01,0.01,0.03,55218.9,Harpy,11381,jita,2025-11-03 04:28:43
21400000.0,27150000.0,28629614.46,21440000.0,12254570.54,18510000.0,0.01,0.01,0.03,55218.9,Harpy,11381,jita,2025-11-03 05:20:28
21400000.0,27150000.0,28629614.46,21440000.0,12254570.54,18510000.0,0.01,0.01,0.03,55218.9,Harpy,11381,jita,2025-11-03 06:30:28
21400000.0,27150000.0,28629614.46,21440000.0,12254570.54,18520000.0,0.01,0.01,0.03,55267.45,Harpy,11381,jita,2025-11-03 07:20:26
21390000.0,27150000.0,28626073.28,21440000.0,12256191.43,18520000.0,0.01,0.01,0.03,55267.45,Harpy,11381,jita,2025-11-03 08:27:47
21440000.0,27150000.0,28719080.55,22620000.0,12296202.11,18520000.0,0.01,0.01,0.03,55267.45,Harpy,11381,jita,2025-11-03 09:23:31
21440000.0,27150000.0,28719080.55,22620000.0,12296202.11,18520000.0,0.01,0.01,0.03,55267.45,Harpy,11381,jita,2025-11-03 10:23:10
21440000.0,27150000.0,28719080.55,22620000.0,12296202.11,18520000.0,0.01,0.01,0.03,55267.45,Harpy,11381,jita,2025-11-03 11:17:29
21440000.0,27150000.0,28719080.55,22620000.0,12296202.11,18520000.0,0.01,0.01,0.03,55267.45,Harpy,11381,jita,2025-11-03 12:39:54
22620000.0,27150000.0,28737908.89,22620000.0,12304248.52,18520000.0,0.01,0.01,0.03,55267.45,Harpy,11381,jita,2025-11-03 13:31:18
22620000.0,27150000.0,28768913.69,22620000.0,12323553.99,18520000.0,0.01,0.01,0.03,55267.45,Harpy,11381,jita,2025-11-03 14:20:05
22610000.0,27150000.0,28753343.7,22620000.0,12313905.2,18520000.0,0.01,0.01,0.03,55267.45,Harpy,11381,jita,2025-11-03 15:21:06
22620000.0,27150000.0,28768913.69,22620000.0,12323553.99,18520000.0,0.01,0.01,0.03,54138.54,Harpy,11381,jita,2025-11-03 16:22:59
22620000.0,27150000.0,28768913.69,22620000.0,12323553.99,18520000.0,0.01,0.01,0.03,54138.54,Harpy,11381,jita,2025-11-03 17:18:10
22620000.0,27150000.0,28768913.69,22620000.0,12323553.99,18520000.0,0.01,0.01,0.03,54138.54,Harpy,11381,jita,2025-11-03 18:27:21
22620000.0,27150000.0,28784533.73,22620000.0,12333232.19,18520000.0,0.01,0.01,0.03,54138.54,Harpy,11381,jita,2025-11-03 19:16:02
22620000.0,27150000.0,28784533.73,22620000.0,12333232.19,18590000.0,0.01,0.01,0.03,53867.94,Harpy,11381,jita,2025-11-03 20:22:55
22590000.0,27150000.0,28768655.79,22620000.0,12323666.29,18590000.0,0.01,0.01,0.03,53867.94,Harpy,11381,jita,2025-11-03 21:18:51
22600000.0,27150000.0,28800117.75,22620000.0,12342977.59,18590000.0,0.01,0.01,0.03,51574.53,Harpy,11381,jita,2025-11-03 22:19:27
22600000.0,27150000.0,28800117.75,22620000.0,12342977.59,18590000.0,0.01,0.01,0.03,51574.53,Harpy,11381,jita,2025-11-03 23:17:57
22660000.0,31830000.0,29475248.7,22880000.0,11833152.78,18590000.0,0.01,0.01,0.03,51574.53,Harpy,11381,jita,2025-11-04 01:22:46
22660000.0,31830000.0,29475248.7,22880000.0,11833152.78,18590000.0,0.01,0.01,0.03,51574.53,Harpy,11381,jita,2025-11-04 03:10:45
22650000.0,28510000.0,29112161.62,22650000.0,11658330.76,18590000.0,0.01,0.01,0.03,51574.53,Harpy,11381,jita,2025-11-04 04:22:36
22650000.0,28510000.0,29112161.62,22650000.0,11658330.76,18590000.0,0.01,0.01,0.03,51574.53,Harpy,11381,jita,2025-11-04 05:19:46
22640000.0,28510000.0,29083582.31,22650000.0,11643963.62,18590000.0,0.01,0.01,0.03,51574.53,Harpy,11381,jita,2025-11-04 06:29:32
22640000.0,28510000.0,29083582.31,22650000.0,11643963.62,18670000.0,0.01,0.01,0.03,51623.67,Harpy,11381,jita,2025-11-04 07:19:33
22630000.0,28450000.0,29027096.28,22640000.0,11615351.25,18700000.0,0.01,0.01,0.03,51633.54,Harpy,11381,jita,2025-11-04 08:27:03
22620000.0,28450000.0,29027046.57,22640000.0,11615374.79,18700000.0,0.01,0.01,0.03,51633.54,Harpy,11381,jita,2025-11-04 09:23:01
22620000.0,28510000.0,29041081.67,22650000.0,11622514.16,18700000.0,0.01,0.01,0.03,51633.54,Harpy,11381,jita,2025-11-04 10:23:40
22630000.0,28510000.0,29083532.12,22650000.0,11643987.45,18700000.0,0.01,0.01,0.03,51633.54,Harpy,11381,jita,2025-11-04 11:18:05
22620000.0,28510000.0,29069286.51,22650000.0,11636838.34,18700000.0,0.01,0.01,0.03,51633.54,Harpy,11381,jita,2025-11-04 12:41:34
22630000.0,28510000.0,29083532.12,22650000.0,11643987.45,18700000.0,0.01,0.01,0.03,51633.54,Harpy,11381,jita,2025-11-04 13:34:20
22630000.0,28510000.0,29083532.12,22650000.0,11643987.45,18700000.0,0.01,0.01,0.03,51633.54,Harpy,11381,jita,2025-11-04 14:20:47
22630000.0,28510000.0,29083532.12,22650000.0,11643987.45,18700000.0,0.01,0.01,0.03,51633.54,Harpy,11381,jita,2025-11-04 15:21:35
22630000.0,28510000.0,29083532.12,22650000.0,11643987.45,18700000.0,0.01,0.01,0.03,51633.54,Harpy,11381,jita,2025-11-04 16:24:24
22620000.0,28450000.0,29026922.27,22630000.0,11615433.63,18700000.0,0.01,0.01,0.03,51633.54,Harpy,11381,jita,2025-11-04 17:16:11
22610000.0,27820000.0,28998837.4,22620000.0,11601270.01,18700000.0,0.01,0.01,0.03,51633.54,Harpy,11381,jita,2025-11-04 18:28:27
22610000.0,28450000.0,29012799.66,22620000.0,11608371.81,18700000.0,0.01,0.01,0.03,51633.54,Harpy,11381,jita,2025-11-04 19:15:58
22590000.0,28450000.0,29012452.12,22600000.0,11608536.56,18800000.0,0.01,0.01,0.03,51687.55,Harpy,11381,jita,2025-11-04 20:22:48
22590000.0,28450000.0,29012452.12,22600000.0,11608536.56,18800000.0,0.01,0.01,0.03,51687.55,Harpy,11381,jita,2025-11-04 21:18:29
22570000.0,27820000.0,28984293.06,22600000.0,11594479.78,18800000.0,0.01,0.01,0.03,51687.55,Harpy,11381,jita,2025-11-04 22:18:50
22570000.0,27820000.0,28984293.06,22600000.0,11594479.78,18800000.0,0.01,0.01,0.03,51687.55,Harpy,11381,jita,2025-11-04 23:18:48
22570000.0,27820000.0,28984293.06,22600000.0,11594479.78,18800000.0,0.01,0.01,0.03,51687.55,Harpy,11381,jita,2025-11-05 00:07:53
22570000.0,27820000.0,28984293.06,22600000.0,11594479.78,18900000.0,0.01,0.01,0.03,51738.85,Harpy,11381,jita,2025-11-05 00:18:17
22570000.0,27820000.0,28984293.06,22600000.0,11594479.78,18900000.0,0.01,0.01,0.03,51738.85,Harpy,11381,jita,2025-11-05 00:29:29
22650000.0,28510000.0,29140943.71,22650000.0,11672750.44,18900000.0,0.01,0.01,0.03,51738.85,Harpy,11381,jita,2025-11-05 01:24:27
22500000.0,28510000.0,29140562.56,22650000.0,11672933.04,18900000.0,0.01,0.01,0.03,51738.85,Harpy,11381,jita,2025-11-05 03:12:02
22490000.0,31750000.0,29190255.09,22490000.0,11833177.6,18900000.0,0.01,0.01,0.03,51738.85,Harpy,11381,jita,2025-11-05 04:23:22
22490000.0,31750000.0,29190255.09,22490000.0,11833177.6,18910000.0,0.01,0.01,0.03,51983.05,Harpy,11381,jita,2025-11-05 05:20:12
22490000.0,31750000.0,29221213.66,22490000.0,11847914.78,18910000.0,0.01,0.01,0.03,51983.05,Harpy,11381,jita,2025-11-05 06:30:03
22490000.0,31750000.0,29236799.93,22490000.0,11855292.98,18910000.0,0.01,0.01,0.03,51983.05,Harpy,11381,jita,2025-11-05 07:19:55
22490000.0,31750000.0,29236799.93,22490000.0,11855292.98,18900000.0,0.01,0.01,0.03,50717.3,Harpy,11381,jita,2025-11-05 08:27:00
22490000.0,31750000.0,29236799.93,22490000.0,11855292.98,18920000.0,0.01,0.01,0.03,50764.58,Harpy,11381,jita,2025-11-05 09:21:55
22490000.0,31750000.0,29252458.19,22490000.0,11862677.5,18920000.0,0.01,0.01,0.03,50764.58,Harpy,11381,jita,2025-11-05 10:22:12
22480000.0,27130000.0,28411957.21,22480000.0,11426124.43,18920000.0,0.01,0.01,0.03,50764.58,Harpy,11381,jita,2025-11-05 11:18:27
22480000.0,27130000.0,28411957.21,22480000.0,11426124.43,18920000.0,0.01,0.01,0.03,50764.58,Harpy,11381,jita,2025-11-05 12:40:10
22450000.0,27130000.0,28409461.23,22480000.0,11427237.42,18950000.0,0.01,0.01,0.03,50769.66,Harpy,11381,jita,2025-11-05 13:17:39
22450000.0,27130000.0,28409461.23,22480000.0,11427237.42,18950000.0,0.01,0.01,0.03,50769.66,Harpy,11381,jita,2025-11-05 13:33:01
22450000.0,27130000.0,28409461.23,22480000.0,11427237.42,18950000.0,0.01,0.01,0.03,50769.66,Harpy,11381,jita,2025-11-05 14:20:18
22450000.0,27130000.0,28409461.23,22480000.0,11427237.42,18950000.0,0.01,0.01,0.03,50769.66,Harpy,11381,jita,2025-11-05 15:20:47
22440000.0,27130000.0,28361205.73,22450000.0,11399791.38,18950000.0,0.01,0.01,0.03,50769.66,Harpy,11381,jita,2025-11-05 16:25:57
22440000.0,27130000.0,28397324.07,22480000.0,11420363.68,18950000.0,0.01,0.01,0.03,50769.66,Harpy,11381,jita,2025-11-05 17:19:31
22440000.0,27130000.0,28397324.07,22480000.0,11420363.68,18950000.0,0.01,0.01,0.03,50769.66,Harpy,11381,jita,2025-11-05 18:28:22
22430000.0,26910000.0,28325385.21,22430000.0,11379354.95,18950000.0,0.01,0.01,0.03,50769.66,Harpy,11381,jita,2025-11-05 19:16:34
22430000.0,26910000.0,28325385.21,22430000.0,11379354.95,18950000.0,0.01,0.01,0.03,50769.66,Harpy,11381,jita,2025-11-05 20:22:18
21680000.0,26910000.0,28311840.49,22430000.0,11373367.93,18970000.0,0.01,0.01,0.03,50792.65,Harpy,11381,jita,2025-11-05 21:19:03
21670000.0,26910000.0,28279879.17,21670000.0,11388500.57,19000000.0,0.01,0.01,0.03,50819.79,Harpy,11381,jita,2025-11-05 22:18:27
21670000.0,26910000.0,28293374.72,21670000.0,11394523.98,19000000.0,0.01,0.01,0.03,50819.79,Harpy,11381,jita,2025-11-05 23:18:33
21650000.0,26910000.0,28279108.42,21650000.0,11388879.69,19020000.0,0.01,0.01,0.03,50826.92,Harpy,11381,jita,2025-11-06 00:14:42
21650000.0,26910000.0,28279108.42,21650000.0,11388879.69,19040000.0,0.01,0.01,0.03,50828.96,Harpy,11381,jita,2025-11-06 00:53:22
21650000.0,26910000.0,28279108.42,21650000.0,11388879.69,19040000.0,0.01,0.01,0.03,50828.96,Harpy,11381,jita,2025-11-06 01:24:15
21650000.0,26910000.0,28292649.04,21650000.0,11394881.22,19060000.0,0.01,0.01,0.03,51154.15,Harpy,11381,jita,2025-11-06 03:15:06
21650000.0,26910000.0,28292649.04,21650000.0,11394881.22,19060000.0,0.01,0.01,0.03,51154.15,Harpy,11381,jita,2025-11-06 04:26:29
28510000.0,32890000.0,33301188.95,28510000.0,15257429.94,19090000.0,0.01,0.01,0.03,51478.63,Harpy,11381,jita,2025-11-06 05:20:38
28510000.0,32890000.0,33301188.95,28510000.0,15257429.94,19090000.0,0.01,0.01,0.03,51478.63,Harpy,11381,jita,2025-11-06 06:30:04
28510000.0,32890000.0,33301188.95,28510000.0,15257429.94,19110000.0,0.01,0.01,0.03,52787.44,Harpy,11381,jita,2025-11-06 07:19:14
28510000.0,32890000.0,33301188.95,28510000.0,15257429.94,19170000.0,0.01,0.01,0.03,52796.66,Harpy,11381,jita,2025-11-06 08:26:51
28500000.0,32890000.0,33163480.53,28500000.0,15078401.97,19190000.0,0.01,0.01,0.03,54971.43,Harpy,11381,jita,2025-11-06 09:21:54
28500000.0,32890000.0,33163480.53,28500000.0,15078401.97,19210000.0,0.01,0.01,0.03,54973.98,Harpy,11381,jita,2025-11-06 10:23:09
28490000.0,32890000.0,32997219.86,28490000.0,14857105.57,19210000.0,0.01,0.01,0.03,54973.98,Harpy,11381,jita,2025-11-06 12:28:23
28490000.0,32890000.0,32997219.86,28490000.0,14857105.57,19210000.0,0.01,0.01,0.03,54973.98,Harpy,11381,jita,2025-11-06 12:39:22
28490000.0,32890000.0,32997219.86,28490000.0,14857105.57,19280000.0,0.01,0.01,0.03,53272.64,Harpy,11381,jita,2025-11-06 13:32:07
28490000.0,32890000.0,32997219.86,28490000.0,14857105.57,19310000.0,0.01,0.01,0.03,53279.55,Harpy,11381,jita,2025-11-06 14:20:27
28490000.0,32890000.0,32997219.86,28490000.0,14857105.57,19340000.0,0.01,0.01,0.03,53285.48,Harpy,11381,jita,2025-11-06 15:22:35
28480000.0,32890000.0,32825403.1,28480000.0,14622151.2,19340000.0,0.01,0.01,0.03,53285.48,Harpy,11381,jita,2025-11-06 16:26:30
28460000.0,32890000.0,32775404.99,28460000.0,14554049.36,19340000.0,0.01,0.01,0.03,53285.48,Harpy,11381,jita,2025-11-06 17:19:47
28450000.0,32890000.0,32759189.74,28460000.0,14531494.59,19340000.0,0.01,0.01,0.03,53285.48,Harpy,11381,jita,2025-11-06 18:29:04
28460000.0,32890000.0,32775404.99,28460000.0,14554049.36,19360000.0,0.01,0.01,0.03,53367.46,Harpy,11381,jita,2025-11-06 19:16:47
28440000.0,32890000.0,32544173.77,28440000.0,14226158.91,19360000.0,0.01,0.01,0.03,53367.46,Harpy,11381,jita,2025-11-06 20:22:27
25000000.0,32890000.0,32459308.06,28440000.0,14178631.82,19400000.0,0.01,0.01,0.03,53447.28,Harpy,11381,jita,2025-11-06 21:18:33
21000000.0,32890000.0,32334310.4,24980000.0,14206214.09,19400000.0,0.01,0.01,0.03,53447.28,Harpy,11381,jita,2025-11-06 22:18:50
21000000.0,32890000.0,32379049.4,24990000.0,14213244.64,19400000.0,0.01,0.01,0.03,53447.28,Harpy,11381,jita,2025-11-06 23:18:32
24970000.0,32890000.0,32444102.4,24990000.0,14210439.46,19460000.0,0.01,0.01,0.03,53455.19,Harpy,11381,jita,2025-11-07 01:23:41
24970000.0,32890000.0,32444102.4,24990000.0,14210439.46,19470000.0,0.01,0.01,0.03,53472.01,Harpy,11381,jita,2025-11-07 03:11:32
