Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
12840.0,13260.0,14204.57,12850.0,9927.56,8003.0,7174.0,6452.66,8003.0,1168.62,Hornet EC-300,23707,jita,2025-11-02 09:07:03
12840.0,13260.0,14206.85,12850.0,9934.93,8003.0,7174.0,6451.51,8003.0,1168.76,Hornet EC-300,23707,jita,2025-11-02 09:18:00
12840.0,13260.0,14209.92,12840.0,9959.19,8003.0,7174.0,6449.76,8003.0,1168.97,Hornet EC-300,23707,jita,2025-11-02 10:18:13
12830.0,13260.0,14207.37,12840.0,9951.09,8003.0,7174.0,6449.76,8003.0,1168.97,Hornet EC-300,23707,jita,2025-11-02 10:57:06
12830.0,13260.0,14207.37,12840.0,9951.09,8003.0,7174.0,6449.76,8003.0,1168.97,Hornet EC-300,23707,jita,2025-11-02 11:09:09
12830.0,13260.0,14208.7,12840.0,9955.34,8003.0,7174.0,6449.76,8003.0,1168.97,Hornet EC-300,23707,jita,2025-11-02 11:14:58
12840.0,13260.0,14215.2,12840.0,9976.18,8003.0,7174.0,6449.76,8003.0,1168.97,Hornet EC-300,23707,jita,2025-11-02 12:33:50
12830.0,13260.0,14292.69,12850.0,10220.56,8003.0,7174.0,6449.76,8003.0,1168.97,Hornet EC-300,23707,jita,2025-11-02 13:23:30
12000.0,13140.0,13936.13,12010.0,9611.92,8003.0,7174.0,6449.76,8003.0,1168.97,Hornet EC-300,23707,jita,2025-11-02 14:16:34
10000.0,12920.0,13511.65,10010.0,9318.78,8003.0,7174.0,6443.6,8003.0,1169.71,Hornet EC-300,23707,jita,2025-11-02 15:17:50
10000.0,12920.0,13264.75,10000.0,9412.37,8003.0,7174.0,6442.48,8003.0,1169.84,Hornet EC-300,23707,jita,2025-11-02 16:20:42
10000.0,12920.0,13288.65,10000.0,9435.69,8006.0,7174.0,6438.36,8006.0,1170.41,Hornet EC-300,23707,jita,2025-11-02 17:16:31
9999.0,12920.0,13242.54,10000.0,9390.52,8006.0,7174.0,6438.05,8006.0,1170.45,Hornet EC-300,23707,jita,2025-11-02 18:23:24
10000.0,12920.0,13265.43,10000.0,9413.03,8006.0,7174.0,6437.15,8006.0,1170.55,Hornet EC-300,23707,jita,2025-11-02 19:15:08
10000.0,12920.0,13283.83,10000.0,9431.0,8006.0,7174.0,6434.98,8006.0,1170.79,Hornet EC-300,23707,jita,2025-11-02 20:19:31
9999.0,12920.0,13223.17,9999.0,9371.39,8007.0,7174.0,6434.94,8006.0,1170.8,Hornet EC-300,23707,jita,2025-11-02 21:16:35
9976.0,12920.0,13247.87,9999.0,9395.93,8007.0,7174.0,6432.94,8007.0,1171.15,Hornet EC-300,23707,jita,2025-11-02 22:17:21
9999.0,12920.0,13281.82,9999.0,9429.06,8007.0,7174.0,6427.85,8007.0,1171.71,Hornet EC-300,23707,jita,2025-11-02 23:16:59
9998.0,12920.0,13236.95,9998.0,9490.48,8007.0,7174.0,6414.29,8007.0,1173.14,Hornet EC-300,23707,jita,2025-11-03 01:26:04
9998.0,12920.0,13298.05,9998.0,9551.28,8007.0,7174.0,6411.21,8007.0,1173.46,Hornet EC-300,23707,jita,2025-11-03 03:17:52
9998.0,12920.0,13334.87,9998.0,9591.29,8007.0,7174.0,6410.6,8007.0,1173.52,Hornet EC-300,23707,jita,2025-11-03 04:28:46
9987.0,12920.0,13335.94,9998.0,9592.36,8007.0,7174.0,6409.56,8007.0,1173.62,Hornet EC-300,23707,jita,2025-11-03 05:20:32
9998.0,12920.0,13340.18,9998.0,9596.45,8007.0,7174.0,6404.31,8007.0,1174.14,Hornet EC-300,23707,jita,2025-11-03 06:30:32
9997.0,12920.0,13267.71,9997.0,9525.42,8007.0,7174.0,6402.77,8007.0,1174.3,Hornet EC-300,23707,jita,2025-11-03 07:20:31
9997.0,12920.0,13275.4,9997.0,9533.04,8007.0,7174.0,6399.65,8007.0,1174.6,Hornet EC-300,23707,jita,2025-11-03 08:27:50
9997.0,12920.0,13287.23,9997.0,9544.81,8007.0,7174.0,6398.06,8006.0,1174.75,Hornet EC-300,23707,jita,2025-11-03 09:23:35
