Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
21000.0,30550.0,32866.76,30240.0,24010.23,16100.0,16100.0,10614.08,16100.0,5375.14,Initiated Compact Warp Disruptor,5405,jita,2025-11-02 09:07:09
21000.0,30550.0,32867.42,30240.0,24013.05,16100.0,16100.0,10614.08,16100.0,5375.14,Initiated Compact Warp Disruptor,5405,jita,2025-11-02 09:18:08
30230.0,30550.0,32962.91,30510.0,24054.41,16100.0,16100.0,10614.08,16100.0,5375.14,Initiated Compact Warp Disruptor,5405,jita,2025-11-02 10:18:19
30230.0,30550.0,32966.69,30510.0,24070.03,16100.0,16100.0,10614.08,16100.0,5375.14,Initiated Compact Warp Disruptor,5405,jita,2025-11-02 10:57:14
30230.0,30550.0,32966.69,30510.0,24070.03,16100.0,16100.0,10614.08,16100.0,5375.14,Initiated Compact Warp Disruptor,5405,jita,2025-11-02 11:09:17
30230.0,30550.0,32957.41,30510.0,24031.75,16100.0,16100.0,10614.08,16100.0,5375.14,Initiated Compact Warp Disruptor,5405,jita,2025-11-02 11:15:05
30510.0,30550.0,33125.69,30510.0,24786.49,16100.0,16100.0,10614.08,16100.0,5375.14,Initiated Compact Warp Disruptor,5405,jita,2025-11-02 12:33:58
30500.0,30550.0,33107.59,30510.0,24705.93,16100.0,16100.0,10614.08,16100.0,5375.14,Initiated Compact Warp Disruptor,5405,jita,2025-11-02 13:23:36
30500.0,30550.0,33109.32,30510.0,24713.64,16120.0,16100.0,11064.69,16120.0,5146.92,Initiated Compact Warp Disruptor,5405,jita,2025-11-02 14:16:40
30500.0,30550.0,33114.17,30510.0,24735.27,16120.0,16100.0,11026.59,16120.0,5166.62,Initiated Compact Warp Disruptor,5405,jita,2025-11-02 15:17:59
16130.0,30550.0,33076.58,30500.0,24650.84,16120.0,16100.0,11012.91,16120.0,5173.67,Initiated Compact Warp Disruptor,5405,jita,2025-11-02 16:20:49
27900.0,30550.0,33082.44,30500.0,24657.47,16120.0,16100.0,11005.19,16120.0,5177.66,Initiated Compact Warp Disruptor,5405,jita,2025-11-02 17:16:39
27640.0,30550.0,33084.7,30500.0,24663.48,16130.0,16100.0,11196.01,16130.0,5078.75,Initiated Compact Warp Disruptor,5405,jita,2025-11-02 18:23:31
27640.0,30550.0,33087.71,30500.0,24669.33,16130.0,16100.0,11166.27,16130.0,5094.3,Initiated Compact Warp Disruptor,5405,jita,2025-11-02 19:15:16
27640.0,30550.0,33093.0,30510.0,24679.59,16130.0,16100.0,11163.03,16130.0,5095.99,Initiated Compact Warp Disruptor,5405,jita,2025-11-02 20:19:37
27640.0,30550.0,33078.49,30500.0,24638.98,16130.0,16100.0,11139.44,16130.0,5108.28,Initiated Compact Warp Disruptor,5405,jita,2025-11-02 21:16:43
29000.0,30550.0,33095.56,30510.0,24677.49,16130.0,16100.0,11130.43,16130.0,5112.97,Initiated Compact Warp Disruptor,5405,jita,2025-11-02 22:17:27
29000.0,30550.0,33095.56,30510.0,24677.49,16130.0,16100.0,11118.09,16130.0,5119.37,Initiated Compact Warp Disruptor,5405,jita,2025-11-02 23:17:05
29000.0,30550.0,33099.44,30510.0,24688.03,16130.0,16100.0,11109.01,16130.0,5124.09,Initiated Compact Warp Disruptor,5405,jita,2025-11-03 01:26:10
30000.0,30550.0,33106.68,30510.0,24707.64,16130.0,16100.0,11096.57,16130.0,5130.54,Initiated Compact Warp Disruptor,5405,jita,2025-11-03 03:17:59
30000.0,30550.0,33107.66,30510.0,24712.27,16130.0,16100.0,11096.57,16130.0,5130.54,Initiated Compact Warp Disruptor,5405,jita,2025-11-03 04:28:53
30000.0,30550.0,33111.4,30510.0,24726.08,16130.0,16100.0,11096.57,16130.0,5130.54,Initiated Compact Warp Disruptor,5405,jita,2025-11-03 05:20:39
