Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-29 18:36:12
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-29 18:32:51
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-29 19:16:31
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-29 20:23:17
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-29 21:19:14
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-29 22:19:28
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-29 23:19:22
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-30 01:26:02
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-30 03:12:11
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-30 04:23:13
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-30 05:20:04
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-30 06:30:05
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-30 07:19:32
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-30 08:26:12
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-30 09:22:18
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-30 10:21:53
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-30 11:17:55
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-30 12:39:31
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-30 13:31:58
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-30 14:20:44
124.2,197.7,182.49,124.2,733.57,99.0,95.5,16.8,95.91,45.46,Javelin M,12801,jita,2025-10-30 15:22:58
