Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
40.12,40.77,40.74,40.12,0.57,11.09,11.09,11.09,11.09,0.0,Javelin S,12620,C-J6MT,2025-11-02 09:07:14
40.12,40.77,40.74,40.12,0.57,11.09,11.09,11.09,11.09,0.0,Javelin S,12620,C-J6MT,2025-11-02 09:18:15
40.12,40.77,40.74,40.12,0.57,11.09,11.09,11.09,11.09,0.0,Javelin S,12620,C-J6MT,2025-11-02 10:18:24
40.12,40.77,40.74,40.12,0.57,11.09,11.09,11.09,11.09,0.0,Javelin S,12620,C-J6MT,2025-11-02 10:57:21
40.12,40.77,40.74,40.12,0.57,11.09,11.09,11.09,11.09,0.0,Javelin S,12620,C-J6MT,2025-11-02 11:09:24
40.12,40.77,40.74,40.12,0.57,11.09,11.09,11.09,11.09,0.0,Javelin S,12620,C-J6MT,2025-11-02 11:15:10
40.12,40.77,40.74,40.12,0.57,11.09,11.09,11.09,11.09,0.0,Javelin S,12620,C-J6MT,2025-11-02 12:34:05
40.12,40.77,40.74,40.12,0.57,11.09,11.09,11.09,11.09,0.0,Javelin S,12620,C-J6MT,2025-11-02 13:23:41
40.12,40.77,40.74,40.12,0.57,11.09,11.09,11.09,11.09,0.0,Javelin S,12620,C-J6MT,2025-11-02 14:16:46
40.12,40.77,40.74,40.12,0.57,11.09,11.09,11.09,11.09,0.0,Javelin S,12620,C-J6MT,2025-11-02 15:18:06
40.12,40.77,40.74,40.12,0.57,11.09,11.09,11.09,11.09,0.0,Javelin S,12620,C-J6MT,2025-11-02 16:20:54
40.12,40.77,40.74,40.12,0.57,11.09,11.09,11.09,11.09,0.0,Javelin S,12620,C-J6MT,2025-11-02 17:16:47
40.0,40.77,40.74,40.12,0.57,11.09,11.09,11.09,11.09,0.0,Javelin S,12620,C-J6MT,2025-11-02 18:23:37
39.99,40.77,40.74,40.12,0.57,11.09,11.09,11.09,11.09,0.0,Javelin S,12620,C-J6MT,2025-11-02 19:15:23
39.98,40.77,40.74,39.98,0.58,11.09,11.09,11.09,11.09,0.0,Javelin S,12620,C-J6MT,2025-11-02 20:19:43
