Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
22440000.0,22700000.0,22883892.71,22440000.0,402747.68,19580000.0,0.01,0.01,0.01,51020.04,Keres,11174,jita,2025-11-02 09:07:15
22440000.0,22700000.0,22883892.71,22440000.0,402747.68,19580000.0,0.01,0.01,0.01,51020.04,Keres,11174,jita,2025-11-02 09:18:16
22300000.0,22700000.0,22880532.33,22440000.0,404028.54,19580000.0,0.01,0.01,0.01,51020.04,Keres,11174,jita,2025-11-02 10:18:25
22300000.0,22700000.0,22880532.33,22440000.0,404028.54,19580000.0,0.01,0.01,0.01,51020.04,Keres,11174,jita,2025-11-02 10:57:22
22300000.0,22700000.0,22880532.33,22440000.0,404028.54,19580000.0,0.01,0.01,0.01,51020.04,Keres,11174,jita,2025-11-02 11:09:25
22300000.0,22700000.0,22796423.03,22430000.0,405116.69,19580000.0,0.01,0.01,0.01,51020.04,Keres,11174,jita,2025-11-02 11:15:11
22430000.0,22700000.0,22807611.05,22430000.0,405259.24,19580000.0,0.01,0.01,0.01,51020.04,Keres,11174,jita,2025-11-02 12:34:07
22420000.0,22700000.0,22805758.32,22430000.0,405188.92,20500000.0,0.01,0.01,0.01,51371.62,Keres,11174,jita,2025-11-02 13:23:42
22410000.0,22700000.0,22807078.46,22420000.0,405751.82,20510000.0,0.01,0.01,0.01,51463.51,Keres,11174,jita,2025-11-02 14:16:47
22400000.0,22700000.0,22799006.25,22400000.0,407693.0,20510000.0,0.01,0.01,0.01,51463.51,Keres,11174,jita,2025-11-02 15:18:07
22400000.0,22700000.0,22800905.1,22400000.0,407712.63,20510000.0,0.01,0.01,0.01,51463.51,Keres,11174,jita,2025-11-02 16:20:55
22390000.0,22700000.0,22795119.98,22390000.0,407767.09,20510000.0,0.01,0.01,0.01,51463.51,Keres,11174,jita,2025-11-02 17:16:48
22380000.0,22700000.0,22803255.62,22380000.0,409156.71,20510000.0,0.01,0.01,0.01,51463.51,Keres,11174,jita,2025-11-02 18:23:38
22370000.0,22700000.0,22795080.93,22370000.0,409612.4,20510000.0,0.01,0.01,0.01,51463.51,Keres,11174,jita,2025-11-02 19:15:24
22370000.0,22700000.0,22796999.9,22370000.0,409612.22,20510000.0,0.01,0.01,0.01,51463.51,Keres,11174,jita,2025-11-02 20:19:43
22340000.0,22700000.0,22787834.55,22340000.0,411200.41,20510000.0,0.01,0.01,0.01,51463.51,Keres,11174,jita,2025-11-02 21:16:51
22330000.0,22700000.0,22787787.54,22340000.0,411251.8,20510000.0,0.01,0.01,0.01,50716.2,Keres,11174,jita,2025-11-02 22:17:33
22320000.0,22700000.0,22787505.37,22320000.0,411563.26,20510000.0,0.01,0.01,0.01,50716.2,Keres,11174,jita,2025-11-02 23:17:11
22350000.0,22700000.0,22800602.89,22360000.0,409896.3,20510000.0,0.01,0.01,0.01,50716.2,Keres,11174,jita,2025-11-03 01:26:16
22360000.0,22700000.0,22807118.95,22400000.0,409219.78,20510000.0,0.01,0.01,0.01,50716.2,Keres,11174,jita,2025-11-03 03:18:06
22000000.0,22700000.0,22725360.88,22000000.0,455995.63,20510000.0,0.01,0.01,0.01,50716.2,Keres,11174,jita,2025-11-03 04:28:59
21990000.0,22700000.0,22721654.7,22000000.0,460187.41,20510000.0,0.01,0.01,0.01,50716.2,Keres,11174,jita,2025-11-03 05:20:45
21990000.0,22700000.0,22724874.38,22000000.0,458613.35,20510000.0,0.01,0.01,0.01,50716.2,Keres,11174,jita,2025-11-03 06:30:46
