Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
154500000.0,167000000.0,175505053.62,154600000.0,22254306.08,145500000.0,0.01,0.01,0.01,212673.59,Lachesis,11971,jita,2025-10-29 18:36:21
154500000.0,167000000.0,175505053.62,154600000.0,22254306.08,145500000.0,0.01,0.01,0.01,212673.59,Lachesis,11971,jita,2025-10-29 18:32:55
154500000.0,167000000.0,175505053.62,154600000.0,22254306.08,145500000.0,0.01,0.01,0.01,212673.59,Lachesis,11971,jita,2025-10-29 19:16:35
154500000.0,167000000.0,175505053.62,154600000.0,22254306.08,145500000.0,0.01,0.01,0.01,212673.59,Lachesis,11971,jita,2025-10-29 20:23:21
154500000.0,167000000.0,175505053.62,154600000.0,22254306.08,145500000.0,0.01,0.01,0.01,212673.59,Lachesis,11971,jita,2025-10-29 21:19:19
154500000.0,167000000.0,175505053.62,154600000.0,22254306.08,145500000.0,0.01,0.01,0.01,212673.59,Lachesis,11971,jita,2025-10-29 22:19:32
154500000.0,167000000.0,175505053.62,154600000.0,22254306.08,145500000.0,0.01,0.01,0.01,212673.59,Lachesis,11971,jita,2025-10-29 23:19:26
154500000.0,167000000.0,175505053.62,154600000.0,22254306.08,145500000.0,0.01,0.01,0.01,212673.59,Lachesis,11971,jita,2025-10-30 01:26:06
154500000.0,167000000.0,175505053.62,154600000.0,22254306.08,145500000.0,0.01,0.01,0.01,212673.59,Lachesis,11971,jita,2025-10-30 03:12:14
154500000.0,167000000.0,175505053.62,154600000.0,22254306.08,145500000.0,0.01,0.01,0.01,212673.59,Lachesis,11971,jita,2025-10-30 04:23:16
154500000.0,167000000.0,175505053.62,154600000.0,22254306.08,145500000.0,0.01,0.01,0.01,212673.59,Lachesis,11971,jita,2025-10-30 05:20:08
