Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
1567000.0,2123000.0,1926334.95,1567000.0,267842.56,1182000.0,50.0,587.74,1181000.0,458321.3,Ladar ECM II,2559,jita,2025-11-02 09:07:17
1499000.0,2123000.0,1901456.78,1499000.0,278997.35,1184000.0,50.0,587.72,1181000.0,458441.65,Ladar ECM II,2559,jita,2025-11-02 09:18:20
1498000.0,2123000.0,1902309.8,1499000.0,278652.8,1184000.0,50.0,588.86,1183000.0,462216.46,Ladar ECM II,2559,jita,2025-11-02 10:18:27
1499000.0,2123000.0,1911784.99,1499000.0,275412.59,1183000.0,50.0,584.2,1183000.0,461500.79,Ladar ECM II,2559,jita,2025-11-02 10:57:26
1499000.0,2123000.0,1911784.99,1499000.0,275412.59,1183000.0,50.0,584.2,1183000.0,461500.79,Ladar ECM II,2559,jita,2025-11-02 11:09:29
1499000.0,2123000.0,1918635.78,1499000.0,272325.47,1183000.0,50.0,584.2,1183000.0,461500.79,Ladar ECM II,2559,jita,2025-11-02 11:15:14
1499000.0,2123000.0,1926678.87,1568000.0,268477.81,1183000.0,50.0,584.2,1183000.0,461500.79,Ladar ECM II,2559,jita,2025-11-02 12:34:10
1569000.0,2123000.0,1934403.86,1569000.0,265011.9,1207000.0,50.0,584.29,1183000.0,461861.98,Ladar ECM II,2559,jita,2025-11-02 13:23:44
1568000.0,2123000.0,1882333.24,1568000.0,279206.84,1208000.0,50.0,584.04,1207000.0,463190.65,Ladar ECM II,2559,jita,2025-11-02 14:16:50
1568000.0,2123000.0,1897943.97,1568000.0,275972.4,1208000.0,50.0,578.74,1183000.0,462315.04,Ladar ECM II,2559,jita,2025-11-02 15:18:10
1567000.0,2123000.0,1909768.43,1567000.0,273208.72,1213000.0,50.0,584.42,1207000.0,464446.28,Ladar ECM II,2559,jita,2025-11-02 16:20:57
1420000.0,2123000.0,1891754.74,1566000.0,278510.84,1213000.0,50.0,583.09,1207000.0,464226.34,Ladar ECM II,2559,jita,2025-11-02 17:16:51
1566000.0,2123000.0,1897564.63,1566000.0,276369.54,1213000.0,50.0,583.09,1207000.0,464226.34,Ladar ECM II,2559,jita,2025-11-02 18:23:41
1566000.0,1573000.0,1757884.1,1566000.0,283171.58,1237000.0,50.0,583.85,1237000.0,467427.67,Ladar ECM II,2559,jita,2025-11-02 19:15:28
1566000.0,1592000.0,1760970.07,1566000.0,284087.02,1237000.0,50.0,583.85,1237000.0,467427.67,Ladar ECM II,2559,jita,2025-11-02 20:19:46
1554000.0,1573000.0,1747311.49,1554000.0,280775.61,1237000.0,50.0,582.52,1237000.0,467196.02,Ladar ECM II,2559,jita,2025-11-02 21:16:54
1554000.0,1573000.0,1755425.32,1554000.0,283062.33,1238000.0,50.0,587.69,1238000.0,484661.82,Ladar ECM II,2559,jita,2025-11-02 22:17:36
1554000.0,1592000.0,1763423.01,1554000.0,285186.53,1238000.0,50.0,587.69,1238000.0,484661.82,Ladar ECM II,2559,jita,2025-11-02 23:17:14
1551000.0,1592000.0,1760673.23,1553000.0,284601.98,1238000.0,50.0,587.69,1238000.0,484661.82,Ladar ECM II,2559,jita,2025-11-03 01:26:19
1459000.0,1573000.0,1748851.93,1552000.0,282693.06,1238000.0,50.0,587.69,1238000.0,484661.82,Ladar ECM II,2559,jita,2025-11-03 03:18:09
1568000.0,1592000.0,1784465.65,1568000.0,289791.22,1238000.0,50.0,587.69,1238000.0,484661.82,Ladar ECM II,2559,jita,2025-11-03 04:29:01
1568000.0,1592000.0,1783776.02,1568000.0,290063.12,1238000.0,50.0,587.69,1238000.0,484661.82,Ladar ECM II,2559,jita,2025-11-03 05:20:48
