Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-29 18:36:28
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-29 18:32:57
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-29 19:16:37
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-29 20:23:25
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-29 21:19:22
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-29 22:19:35
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-29 23:19:29
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 01:26:10
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 03:12:17
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 04:23:19
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 05:20:11
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 06:30:13
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 07:19:38
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 08:26:20
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 09:22:26
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 10:22:00
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 11:18:01
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 12:39:37
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 13:32:04
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 14:20:50
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 15:23:04
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 16:25:05
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 17:19:04
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 18:28:19
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 19:16:54
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 20:22:18
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 21:18:10
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 22:19:23
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-30 23:18:42
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 01:23:10
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 03:12:11
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 04:24:16
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 05:21:08
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 06:29:53
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 07:19:28
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 08:25:42
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 09:22:13
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 10:21:22
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 11:18:16
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 12:39:30
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 13:31:57
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 14:20:24
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 15:20:28
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 16:24:42
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 17:19:21
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 18:28:57
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 19:16:02
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 20:22:33
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 21:18:11
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 22:19:20
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-10-31 23:18:57
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 01:27:47
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 03:12:51
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 04:21:21
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 05:19:04
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 06:26:18
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 07:18:19
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 08:23:23
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 09:19:51
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 10:19:06
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 11:15:41
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 12:35:10
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 13:24:56
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 14:17:14
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 15:17:42
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 16:21:06
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 17:15:48
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 18:24:38
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 19:14:38
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 20:19:25
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 21:16:43
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 22:17:47
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-01 23:17:40
69430.0,69430.0,74199.78,69430.0,8002.29,11160.0,11160.0,10992.72,11160.0,360.31,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-02 01:28:53
69380.0,69420.0,74122.79,69380.0,7973.47,11250.0,11250.0,11209.26,11250.0,87.27,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-02 03:16:30
69380.0,69420.0,74150.59,69380.0,7986.65,11250.0,11250.0,11209.04,11250.0,87.45,Large Compact Pb-Acid Cap Battery,4871,C-J6MT,2025-11-02 04:23:29
