Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
3488000.0,3742000.0,4178631.23,3488000.0,886135.74,3347000.0,210.0,406.66,3281000.0,812275.6,Large Core Defense Field Extender I,26088,jita,2025-11-02 09:07:20
3488000.0,3742000.0,4179457.23,3488000.0,886249.14,3347000.0,210.0,406.66,3281000.0,812275.6,Large Core Defense Field Extender I,26088,jita,2025-11-02 09:18:23
4499000.0,4850000.0,4969256.27,4499000.0,540511.17,3347000.0,210.0,406.66,3281000.0,812275.6,Large Core Defense Field Extender I,26088,jita,2025-11-02 10:18:30
4499000.0,4850000.0,4969256.27,4499000.0,540511.17,3347000.0,210.0,406.66,3281000.0,812275.6,Large Core Defense Field Extender I,26088,jita,2025-11-02 10:57:29
4499000.0,4850000.0,4969256.27,4499000.0,540511.17,3347000.0,210.0,406.66,3281000.0,812275.6,Large Core Defense Field Extender I,26088,jita,2025-11-02 11:09:32
4499000.0,4850000.0,4969256.27,4499000.0,540511.17,3347000.0,210.0,406.66,3281000.0,812275.6,Large Core Defense Field Extender I,26088,jita,2025-11-02 11:15:17
4499000.0,4850000.0,4973845.91,4499000.0,540870.12,3347000.0,210.0,406.66,3281000.0,812275.6,Large Core Defense Field Extender I,26088,jita,2025-11-02 12:34:13
4499000.0,4850000.0,4975007.34,4499000.0,540954.6,3347000.0,210.0,406.66,3281000.0,812275.6,Large Core Defense Field Extender I,26088,jita,2025-11-02 13:23:47
4499000.0,4850000.0,4977347.32,4499000.0,541117.02,3347000.0,210.0,406.66,3281000.0,812275.6,Large Core Defense Field Extender I,26088,jita,2025-11-02 14:16:53
4499000.0,4850000.0,4981199.2,4499000.0,541361.79,3281000.0,210.0,375.57,3281000.0,761580.08,Large Core Defense Field Extender I,26088,jita,2025-11-02 15:18:14
4499000.0,4850000.0,5004362.55,4499000.0,542246.2,3281000.0,210.0,375.57,3281000.0,761580.08,Large Core Defense Field Extender I,26088,jita,2025-11-02 16:21:00
4498000.0,4850000.0,4995317.02,4498000.0,542042.04,3281000.0,210.0,375.57,3281000.0,761580.08,Large Core Defense Field Extender I,26088,jita,2025-11-02 17:16:55
4475000.0,4850000.0,5005313.5,4499000.0,542293.33,3281000.0,210.0,375.57,3281000.0,761580.08,Large Core Defense Field Extender I,26088,jita,2025-11-02 18:23:44
4499000.0,4850000.0,5007664.38,4499000.0,542290.89,3281000.0,210.0,375.57,3281000.0,761580.08,Large Core Defense Field Extender I,26088,jita,2025-11-02 19:15:31
4499000.0,4850000.0,5009666.25,4499000.0,542308.17,3285000.0,210.0,403.71,3281000.0,806651.02,Large Core Defense Field Extender I,26088,jita,2025-11-02 20:19:49
4499000.0,4850000.0,5030949.34,4499000.0,542035.94,3285000.0,210.0,403.71,3281000.0,806651.02,Large Core Defense Field Extender I,26088,jita,2025-11-02 21:16:58
4499000.0,4980000.0,5054874.16,4499000.0,540742.17,3285000.0,210.0,403.71,3281000.0,806651.02,Large Core Defense Field Extender I,26088,jita,2025-11-02 22:17:39
4490000.0,4850000.0,4992400.53,4490000.0,542871.71,3285000.0,210.0,403.71,3281000.0,806651.02,Large Core Defense Field Extender I,26088,jita,2025-11-02 23:17:16
4488000.0,4850000.0,4989851.82,4490000.0,542812.61,3287000.0,210.0,433.47,3285000.0,848036.84,Large Core Defense Field Extender I,26088,jita,2025-11-03 01:26:22
4490000.0,4850000.0,5004166.86,4490000.0,543016.5,3287000.0,210.0,433.47,3285000.0,848036.84,Large Core Defense Field Extender I,26088,jita,2025-11-03 03:18:12
4499000.0,4980000.0,5059677.1,4499000.0,540357.13,3287000.0,210.0,433.47,3285000.0,848036.84,Large Core Defense Field Extender I,26088,jita,2025-11-03 04:29:04
4499000.0,4980000.0,5071633.79,4499000.0,539217.05,3287000.0,210.0,433.47,3285000.0,848036.84,Large Core Defense Field Extender I,26088,jita,2025-11-03 05:20:50
4499000.0,4980000.0,5071633.79,4499000.0,539217.05,3287000.0,210.0,433.47,3285000.0,848036.84,Large Core Defense Field Extender I,26088,jita,2025-11-03 06:30:52
4499000.0,4980000.0,5071633.79,4499000.0,539217.05,3287000.0,210.0,433.47,3285000.0,848036.84,Large Core Defense Field Extender I,26088,jita,2025-11-03 07:20:54
4499000.0,4980000.0,5073323.08,4499000.0,539035.1,3287000.0,210.0,433.47,3285000.0,848036.84,Large Core Defense Field Extender I,26088,jita,2025-11-03 08:28:08
4497000.0,4850000.0,5030136.85,4498000.0,542138.93,3287000.0,210.0,433.47,3285000.0,848036.84,Large Core Defense Field Extender I,26088,jita,2025-11-03 09:23:52
4496000.0,4850000.0,4996649.24,4496000.0,542316.01,3291000.0,210.0,433.48,3290000.0,848291.84,Large Core Defense Field Extender I,26088,jita,2025-11-03 10:23:37
4494000.0,4850000.0,4980448.32,4494000.0,541729.76,3291000.0,210.0,433.48,3290000.0,848291.84,Large Core Defense Field Extender I,26088,jita,2025-11-03 11:17:52
4491000.0,4499000.0,4863682.92,4492000.0,522701.15,3291000.0,210.0,433.48,3290000.0,848291.84,Large Core Defense Field Extender I,26088,jita,2025-11-03 12:40:15
4488000.0,4499000.0,4858350.98,4488000.0,522147.1,3292000.0,210.0,433.51,3292000.0,849215.26,Large Core Defense Field Extender I,26088,jita,2025-11-03 13:31:41
4487000.0,4499000.0,4842757.48,4487000.0,517433.24,3292000.0,210.0,433.51,3292000.0,849215.26,Large Core Defense Field Extender I,26088,jita,2025-11-03 14:20:26
4484000.0,4499000.0,4842842.44,4485000.0,518174.1,3295000.0,210.0,498.15,3293000.0,923165.49,Large Core Defense Field Extender I,26088,jita,2025-11-03 15:21:27
4481000.0,4499000.0,4842545.7,4482000.0,518376.04,3295000.0,210.0,498.15,3293000.0,923165.49,Large Core Defense Field Extender I,26088,jita,2025-11-03 16:23:20
4480000.0,4496000.0,4839754.99,4480000.0,521051.78,3295000.0,210.0,498.15,3293000.0,923165.49,Large Core Defense Field Extender I,26088,jita,2025-11-03 17:18:34
4476000.0,4490000.0,4838825.7,4476000.0,522159.14,3298000.0,210.0,498.15,3293000.0,923241.38,Large Core Defense Field Extender I,26088,jita,2025-11-03 18:27:42
4475000.0,4490000.0,4838657.98,4476000.0,522112.02,3307000.0,210.0,495.9,3298000.0,921373.37,Large Core Defense Field Extender I,26088,jita,2025-11-03 19:16:23
4474000.0,4490000.0,4838653.77,4476000.0,522114.93,3308000.0,210.0,495.92,3307000.0,921610.63,Large Core Defense Field Extender I,26088,jita,2025-11-03 20:23:23
4474000.0,4490000.0,4838651.9,4476000.0,522116.22,3311000.0,210.0,498.19,3307000.0,923977.29,Large Core Defense Field Extender I,26088,jita,2025-11-03 21:19:19
4471000.0,4490000.0,4839461.85,4473000.0,522535.28,3314000.0,210.0,498.2,3313000.0,924224.39,Large Core Defense Field Extender I,26088,jita,2025-11-03 22:19:54
4470000.0,4485000.0,4838768.02,4470000.0,523489.66,3314000.0,210.0,498.2,3313000.0,924224.39,Large Core Defense Field Extender I,26088,jita,2025-11-03 23:18:18
4470000.0,4485000.0,4844516.65,4470000.0,525143.65,3314000.0,210.0,498.2,3313000.0,924224.39,Large Core Defense Field Extender I,26088,jita,2025-11-04 01:23:06
4470000.0,4485000.0,4854385.75,4473000.0,527812.39,3314000.0,210.0,498.2,3313000.0,924224.39,Large Core Defense Field Extender I,26088,jita,2025-11-04 03:11:07
4472000.0,4480000.0,4858651.17,4472000.0,532053.43,3314000.0,210.0,498.2,3313000.0,924224.39,Large Core Defense Field Extender I,26088,jita,2025-11-04 04:22:56
4472000.0,4480000.0,4860327.12,4472000.0,532488.2,3314000.0,210.0,498.2,3313000.0,924224.39,Large Core Defense Field Extender I,26088,jita,2025-11-04 05:20:07
4472000.0,4480000.0,4860889.0,4472000.0,532632.6,3314000.0,210.0,498.2,3313000.0,924224.39,Large Core Defense Field Extender I,26088,jita,2025-11-04 06:29:59
4472000.0,4480000.0,4860889.0,4472000.0,532632.6,3315000.0,210.0,570.1,3315000.0,989297.27,Large Core Defense Field Extender I,26088,jita,2025-11-04 07:19:54
4472000.0,4480000.0,4860889.0,4472000.0,532632.6,3315000.0,210.0,570.1,3315000.0,989297.27,Large Core Defense Field Extender I,26088,jita,2025-11-04 08:27:23
4470000.0,4480000.0,4858892.52,4472000.0,532241.18,3315000.0,210.0,570.1,3315000.0,989297.27,Large Core Defense Field Extender I,26088,jita,2025-11-04 09:23:29
4249000.0,4480000.0,4735301.41,4249000.0,574473.79,3315000.0,210.0,570.1,3315000.0,989297.27,Large Core Defense Field Extender I,26088,jita,2025-11-04 10:24:08
4247000.0,4480000.0,4725237.9,4248000.0,575329.83,3315000.0,210.0,570.1,3315000.0,989297.27,Large Core Defense Field Extender I,26088,jita,2025-11-04 11:18:26
4247000.0,4480000.0,4725237.9,4248000.0,575329.83,3316000.0,210.0,570.19,3316000.0,990929.11,Large Core Defense Field Extender I,26088,jita,2025-11-04 12:41:55
4245000.0,4480000.0,4722196.23,4246000.0,574977.59,3316000.0,210.0,570.19,3316000.0,990929.11,Large Core Defense Field Extender I,26088,jita,2025-11-04 13:34:41
4237000.0,4480000.0,4710345.93,4237000.0,575808.13,3316000.0,210.0,570.19,3316000.0,990929.11,Large Core Defense Field Extender I,26088,jita,2025-11-04 14:21:10
4235000.0,4480000.0,4709728.45,4237000.0,577081.59,3316000.0,210.0,570.19,3316000.0,990929.11,Large Core Defense Field Extender I,26088,jita,2025-11-04 15:21:56
4232000.0,4480000.0,4672626.52,4234000.0,571461.15,3316000.0,210.0,570.19,3316000.0,990929.11,Large Core Defense Field Extender I,26088,jita,2025-11-04 16:24:51
4234000.0,4480000.0,4674313.49,4234000.0,571789.9,3316000.0,210.0,570.19,3316000.0,990929.11,Large Core Defense Field Extender I,26088,jita,2025-11-04 17:16:39
4233000.0,4480000.0,4674758.1,4234000.0,572316.14,3318000.0,210.0,570.2,3316000.0,991014.94,Large Core Defense Field Extender I,26088,jita,2025-11-04 18:28:54
4232000.0,4480000.0,4667072.63,4232000.0,577437.72,3318000.0,210.0,570.2,3316000.0,991014.94,Large Core Defense Field Extender I,26088,jita,2025-11-04 19:16:18
4231000.0,4480000.0,4667445.31,4232000.0,577641.38,3318000.0,210.0,570.2,3316000.0,991014.94,Large Core Defense Field Extender I,26088,jita,2025-11-04 20:23:15
4231000.0,4480000.0,4670322.76,4232000.0,578250.72,3318000.0,210.0,570.2,3316000.0,991014.94,Large Core Defense Field Extender I,26088,jita,2025-11-04 21:18:50
4230000.0,4480000.0,4718346.49,4231000.0,588374.4,3318000.0,210.0,570.2,3316000.0,991014.94,Large Core Defense Field Extender I,26088,jita,2025-11-04 22:19:17
4230000.0,4480000.0,4718557.69,4231000.0,588399.91,3318000.0,210.0,570.2,3316000.0,991014.94,Large Core Defense Field Extender I,26088,jita,2025-11-04 23:19:16
4229000.0,4480000.0,4717923.29,4230000.0,588324.28,3318000.0,210.0,570.2,3316000.0,991014.94,Large Core Defense Field Extender I,26088,jita,2025-11-05 00:08:21
4230000.0,4480000.0,4718769.06,4231000.0,588425.37,3318000.0,210.0,570.2,3316000.0,991014.94,Large Core Defense Field Extender I,26088,jita,2025-11-05 00:18:41
4230000.0,4480000.0,4718769.06,4231000.0,588425.37,3318000.0,210.0,570.2,3316000.0,991014.94,Large Core Defense Field Extender I,26088,jita,2025-11-05 00:29:52
4232000.0,4480000.0,4729771.22,4232000.0,589663.71,3318000.0,210.0,570.2,3316000.0,991014.94,Large Core Defense Field Extender I,26088,jita,2025-11-05 01:24:50
4228000.0,4480000.0,4708441.96,4228000.0,587253.21,3316000.0,210.0,535.7,3316000.0,961733.86,Large Core Defense Field Extender I,26088,jita,2025-11-05 03:12:23
4226000.0,4480000.0,4701293.96,4226000.0,588547.46,3316000.0,210.0,535.7,3316000.0,961733.86,Large Core Defense Field Extender I,26088,jita,2025-11-05 04:23:43
4218000.0,4480000.0,4671492.17,4218000.0,583727.2,3316000.0,210.0,535.7,3316000.0,961733.86,Large Core Defense Field Extender I,26088,jita,2025-11-05 05:20:33
4216000.0,4480000.0,4669822.55,4216000.0,585307.62,3316000.0,210.0,535.7,3316000.0,961733.86,Large Core Defense Field Extender I,26088,jita,2025-11-05 06:30:31
4215000.0,4480000.0,4669677.33,4215000.0,585416.05,3321000.0,210.0,535.73,3320000.0,962166.49,Large Core Defense Field Extender I,26088,jita,2025-11-05 07:20:23
4215000.0,4480000.0,4670216.06,4215000.0,585516.04,3321000.0,210.0,572.75,3321000.0,993521.53,Large Core Defense Field Extender I,26088,jita,2025-11-05 08:27:21
4215000.0,4480000.0,4670216.06,4215000.0,585516.04,3321000.0,210.0,572.75,3321000.0,993521.53,Large Core Defense Field Extender I,26088,jita,2025-11-05 09:22:16
4215000.0,4480000.0,4670575.92,4215000.0,585582.53,3321000.0,210.0,572.75,3321000.0,993521.53,Large Core Defense Field Extender I,26088,jita,2025-11-05 10:22:32
4216000.0,4480000.0,4684665.17,4217000.0,588014.31,3321000.0,210.0,572.75,3321000.0,993521.53,Large Core Defense Field Extender I,26088,jita,2025-11-05 11:18:55
4210000.0,4228000.0,4645442.41,4210000.0,625082.78,3321000.0,210.0,572.75,3321000.0,993521.53,Large Core Defense Field Extender I,26088,jita,2025-11-05 12:40:37
4209000.0,4228000.0,4639071.02,4209000.0,623208.06,3321000.0,210.0,572.75,3321000.0,993521.53,Large Core Defense Field Extender I,26088,jita,2025-11-05 13:17:59
4209000.0,4228000.0,4639071.02,4209000.0,623208.06,3321000.0,210.0,572.75,3321000.0,993521.53,Large Core Defense Field Extender I,26088,jita,2025-11-05 13:33:29
4209000.0,4218000.0,4638835.09,4209000.0,623540.15,3321000.0,210.0,572.75,3321000.0,993521.53,Large Core Defense Field Extender I,26088,jita,2025-11-05 14:20:39
4207000.0,4218000.0,4638317.54,4207000.0,624403.86,3321000.0,210.0,572.75,3321000.0,993521.53,Large Core Defense Field Extender I,26088,jita,2025-11-05 15:21:10
