Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
833000.0,965000.0,960669.64,833200.0,198350.5,650300.0,0.01,0.01,0.01,13884.79,Light Missile Launcher II,2404,jita,2025-11-02 09:07:24
832700.0,961000.0,960258.01,833200.0,198198.51,650900.0,0.01,0.01,0.01,13882.59,Light Missile Launcher II,2404,jita,2025-11-02 09:18:29
832000.0,961000.0,960281.65,832900.0,198217.58,652800.0,0.01,0.01,0.01,13852.82,Light Missile Launcher II,2404,jita,2025-11-02 10:18:34
832000.0,961000.0,960167.17,832300.0,198175.69,653100.0,0.01,0.01,0.01,13846.05,Light Missile Launcher II,2404,jita,2025-11-02 10:57:35
832000.0,961000.0,960167.17,832300.0,198175.69,653100.0,0.01,0.01,0.01,13846.05,Light Missile Launcher II,2404,jita,2025-11-02 11:09:38
831900.0,959600.0,948773.8,831900.0,196886.66,653400.0,0.01,0.01,0.01,13834.35,Light Missile Launcher II,2404,jita,2025-11-02 11:15:22
831800.0,959600.0,948905.77,831900.0,196946.98,654600.0,0.01,0.01,0.01,13797.06,Light Missile Launcher II,2404,jita,2025-11-02 12:34:19
831900.0,959600.0,949866.74,831900.0,197395.24,655200.0,0.01,0.01,0.01,13793.15,Light Missile Launcher II,2404,jita,2025-11-02 13:23:51
831700.0,959600.0,950490.13,831900.0,197674.28,655200.0,0.01,0.01,0.01,13777.29,Light Missile Launcher II,2404,jita,2025-11-02 14:16:58
831700.0,959600.0,950233.62,831800.0,197566.27,655200.0,0.01,0.01,0.01,13743.04,Light Missile Launcher II,2404,jita,2025-11-02 15:18:19
831900.0,959600.0,952887.88,832000.0,198965.6,655300.0,0.01,0.01,0.01,13743.3,Light Missile Launcher II,2404,jita,2025-11-02 16:21:04
831800.0,959600.0,953040.22,832000.0,199031.48,655300.0,0.01,0.01,0.01,13743.3,Light Missile Launcher II,2404,jita,2025-11-02 17:17:01
831700.0,959600.0,952973.55,831800.0,199025.99,655300.0,0.01,0.01,0.01,13743.3,Light Missile Launcher II,2404,jita,2025-11-02 18:23:49
655800.0,959600.0,952949.0,831800.0,199187.85,655700.0,0.01,0.01,0.01,13737.72,Light Missile Launcher II,2404,jita,2025-11-02 19:15:37
831500.0,959600.0,949257.34,831500.0,197395.76,655900.0,0.01,0.01,0.01,13726.82,Light Missile Launcher II,2404,jita,2025-11-02 20:19:53
831200.0,959600.0,949235.42,831500.0,197387.24,657200.0,0.01,0.01,0.01,13704.59,Light Missile Launcher II,2404,jita,2025-11-02 21:17:04
830800.0,959600.0,948596.06,831500.0,197102.23,657600.0,0.01,0.01,0.01,13166.84,Light Missile Launcher II,2404,jita,2025-11-02 22:17:43
830700.0,959600.0,946530.52,830700.0,196172.2,657600.0,0.01,0.01,0.01,13150.44,Light Missile Launcher II,2404,jita,2025-11-02 23:17:21
830600.0,959600.0,947569.36,830700.0,196648.8,658200.0,0.01,0.01,0.01,13181.16,Light Missile Launcher II,2404,jita,2025-11-03 01:26:26
830700.0,959600.0,948719.91,830700.0,196717.45,658200.0,0.01,0.01,0.01,13151.59,Light Missile Launcher II,2404,jita,2025-11-03 03:18:17
830700.0,959600.0,949958.76,831500.0,197264.02,658200.0,0.01,0.01,0.01,13146.66,Light Missile Launcher II,2404,jita,2025-11-03 04:29:09
831100.0,959600.0,950053.35,831500.0,197304.69,658200.0,0.01,0.01,0.01,13146.66,Light Missile Launcher II,2404,jita,2025-11-03 05:20:55
831100.0,959600.0,948319.38,831100.0,196531.66,658500.0,0.01,0.01,0.01,13147.07,Light Missile Launcher II,2404,jita,2025-11-03 06:30:58
831100.0,959600.0,948562.46,831100.0,196641.35,658600.0,0.01,0.01,0.01,13351.57,Light Missile Launcher II,2404,jita,2025-11-03 07:21:00
831000.0,959600.0,948460.94,831100.0,196595.71,658900.0,0.01,0.01,0.01,13314.11,Light Missile Launcher II,2404,jita,2025-11-03 08:28:12
831100.0,959600.0,948704.76,831100.0,196705.33,659400.0,0.01,0.01,0.01,13299.57,Light Missile Launcher II,2404,jita,2025-11-03 09:23:56
831100.0,959600.0,948790.93,831100.0,196739.44,659500.0,0.01,0.01,0.01,13293.3,Light Missile Launcher II,2404,jita,2025-11-03 10:23:42
830900.0,959600.0,948534.45,831100.0,196657.39,659600.0,0.01,0.01,0.01,13239.53,Light Missile Launcher II,2404,jita,2025-11-03 11:17:57
831500.0,959600.0,951806.08,831500.0,198099.33,659600.0,0.01,0.01,0.01,13195.16,Light Missile Launcher II,2404,jita,2025-11-03 12:40:19
831200.0,959600.0,947968.34,831200.0,196228.14,660400.0,0.01,0.01,0.01,13195.21,Light Missile Launcher II,2404,jita,2025-11-03 13:31:46
831000.0,959600.0,948706.4,831200.0,196562.36,660400.0,0.01,0.01,0.01,13172.09,Light Missile Launcher II,2404,jita,2025-11-03 14:20:31
831100.0,959600.0,949650.91,831200.0,196983.66,660800.0,0.01,0.01,0.01,13196.89,Light Missile Launcher II,2404,jita,2025-11-03 15:21:31
830800.0,959600.0,949081.87,831200.0,196733.19,661100.0,0.01,0.01,0.01,13197.52,Light Missile Launcher II,2404,jita,2025-11-03 16:23:24
830400.0,959600.0,948670.6,831200.0,196551.64,661300.0,0.01,0.01,0.01,13209.46,Light Missile Launcher II,2404,jita,2025-11-03 17:18:39
830700.0,959600.0,949153.86,831200.0,196765.13,661600.0,0.01,0.01,0.01,13124.61,Light Missile Launcher II,2404,jita,2025-11-03 18:27:46
830700.0,959600.0,949460.48,830800.0,196914.23,661900.0,0.01,0.01,0.01,13115.1,Light Missile Launcher II,2404,jita,2025-11-03 19:16:27
830100.0,959600.0,949438.92,830700.0,196937.0,661900.0,0.01,0.01,0.01,13111.76,Light Missile Launcher II,2404,jita,2025-11-03 20:23:29
830600.0,959600.0,950583.37,830800.0,197673.53,662000.0,0.01,0.01,0.01,13380.94,Light Missile Launcher II,2404,jita,2025-11-03 21:19:25
830500.0,959600.0,950802.08,830800.0,197772.23,662400.0,0.01,0.01,0.01,13400.79,Light Missile Launcher II,2404,jita,2025-11-03 22:20:00
830200.0,959600.0,946192.1,830200.0,195702.31,662400.0,0.01,0.01,0.01,13392.62,Light Missile Launcher II,2404,jita,2025-11-03 23:18:23
830000.0,959600.0,947048.46,830200.0,196122.16,662800.0,0.01,0.01,0.01,13372.05,Light Missile Launcher II,2404,jita,2025-11-04 01:23:11
830200.0,959600.0,947562.47,830200.0,196353.39,662800.0,0.01,0.01,0.01,13350.72,Light Missile Launcher II,2404,jita,2025-11-04 03:11:11
830200.0,959600.0,948110.91,830200.0,196598.88,662900.0,0.01,0.01,0.01,13344.79,Light Missile Launcher II,2404,jita,2025-11-04 04:23:01
830100.0,959600.0,947917.15,830200.0,196512.59,663000.0,0.01,0.01,0.01,13343.28,Light Missile Launcher II,2404,jita,2025-11-04 05:20:11
830200.0,959600.0,948284.63,830200.0,196676.21,663200.0,0.01,0.01,0.01,13351.15,Light Missile Launcher II,2404,jita,2025-11-04 06:30:05
829900.0,959600.0,948601.22,830200.0,196818.14,663700.0,0.01,0.01,0.01,13524.69,Light Missile Launcher II,2404,jita,2025-11-04 07:19:58
829900.0,959600.0,948642.5,830200.0,196836.29,663900.0,0.01,0.01,0.01,13520.38,Light Missile Launcher II,2404,jita,2025-11-04 08:27:28
830100.0,959600.0,949055.75,830200.0,197018.45,664400.0,0.01,0.01,0.01,13486.68,Light Missile Launcher II,2404,jita,2025-11-04 09:23:35
830200.0,959600.0,949399.05,830200.0,197168.7,664500.0,0.01,0.01,0.01,13483.53,Light Missile Launcher II,2404,jita,2025-11-04 10:24:14
830200.0,959600.0,949786.13,830200.0,197337.36,664800.0,0.01,0.01,0.01,13401.48,Light Missile Launcher II,2404,jita,2025-11-04 11:18:30
829900.0,959600.0,949284.62,830200.0,197129.01,664800.0,0.01,0.01,0.01,13370.16,Light Missile Launcher II,2404,jita,2025-11-04 12:41:59
829900.0,959600.0,949462.11,830200.0,197206.34,665000.0,0.01,0.01,0.01,13508.15,Light Missile Launcher II,2404,jita,2025-11-04 13:34:45
830000.0,959600.0,951365.06,830200.0,198063.66,665500.0,0.01,0.01,0.01,13494.76,Light Missile Launcher II,2404,jita,2025-11-04 14:21:15
