Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
943400.0,1092000.0,1031363.36,943400.0,67528.07,528100.0,510800.0,514898.96,528100.0,7292.47,Magnetic Field Stabilizer II,10190,C-J6MT,2025-11-02 09:07:27
943400.0,1092000.0,1031363.36,943400.0,67528.07,528100.0,510800.0,514898.96,528100.0,7292.47,Magnetic Field Stabilizer II,10190,C-J6MT,2025-11-02 09:18:32
943400.0,1092000.0,1032215.03,943400.0,67276.79,528100.0,510800.0,514898.96,528100.0,7292.47,Magnetic Field Stabilizer II,10190,C-J6MT,2025-11-02 10:18:37
943400.0,1092000.0,1032215.03,943400.0,67276.79,528100.0,510800.0,514898.96,528100.0,7292.47,Magnetic Field Stabilizer II,10190,C-J6MT,2025-11-02 10:57:39
943400.0,1092000.0,1032215.03,943400.0,67276.79,528100.0,510800.0,514898.96,528100.0,7292.47,Magnetic Field Stabilizer II,10190,C-J6MT,2025-11-02 11:09:42
943400.0,1092000.0,1032215.03,943400.0,67276.79,528100.0,510800.0,514898.96,528100.0,7292.47,Magnetic Field Stabilizer II,10190,C-J6MT,2025-11-02 11:15:25
943400.0,1092000.0,1032647.08,943400.0,67145.06,528100.0,510800.0,514898.96,528100.0,7292.47,Magnetic Field Stabilizer II,10190,C-J6MT,2025-11-02 12:34:23
943500.0,1092000.0,1033745.79,943500.0,66797.03,528100.0,510800.0,514898.96,528100.0,7292.47,Magnetic Field Stabilizer II,10190,C-J6MT,2025-11-02 13:23:54
943500.0,1092000.0,1038665.98,943500.0,65008.15,528100.0,510800.0,514898.96,528100.0,7292.47,Magnetic Field Stabilizer II,10190,C-J6MT,2025-11-02 14:17:01
943500.0,1092000.0,1041463.45,943500.0,63811.75,528100.0,510800.0,514831.6,528100.0,7249.49,Magnetic Field Stabilizer II,10190,C-J6MT,2025-11-02 15:18:23
940000.0,1092000.0,1038635.87,940000.0,65291.95,528100.0,510800.0,514831.6,528100.0,7249.49,Magnetic Field Stabilizer II,10190,C-J6MT,2025-11-02 16:21:07
