Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
1401000.0,1588000.0,1682998.3,1401000.0,292901.94,1201000.0,50.0,127.53,1200000.0,219162.97,Magnetometric ECM II,2563,jita,2025-10-29 18:36:50
1401000.0,1588000.0,1682998.3,1401000.0,292901.94,1201000.0,50.0,127.53,1200000.0,219162.97,Magnetometric ECM II,2563,jita,2025-10-29 18:33:06
1401000.0,1588000.0,1682998.3,1401000.0,292901.94,1201000.0,50.0,127.53,1200000.0,219162.97,Magnetometric ECM II,2563,jita,2025-10-29 19:16:47
1401000.0,1588000.0,1682998.3,1401000.0,292901.94,1201000.0,50.0,127.53,1200000.0,219162.97,Magnetometric ECM II,2563,jita,2025-10-29 20:23:37
1401000.0,1588000.0,1682998.3,1401000.0,292901.94,1201000.0,50.0,127.53,1200000.0,219162.97,Magnetometric ECM II,2563,jita,2025-10-29 21:19:34
1401000.0,1588000.0,1682998.3,1401000.0,292901.94,1201000.0,50.0,127.53,1200000.0,219162.97,Magnetometric ECM II,2563,jita,2025-10-29 22:19:44
1401000.0,1588000.0,1682998.3,1401000.0,292901.94,1201000.0,50.0,127.53,1200000.0,219162.97,Magnetometric ECM II,2563,jita,2025-10-29 23:19:38
1401000.0,1588000.0,1682998.3,1401000.0,292901.94,1201000.0,50.0,127.53,1200000.0,219162.97,Magnetometric ECM II,2563,jita,2025-10-30 01:26:21
1401000.0,1588000.0,1682998.3,1401000.0,292901.94,1201000.0,50.0,127.53,1200000.0,219162.97,Magnetometric ECM II,2563,jita,2025-10-30 03:12:25
1401000.0,1588000.0,1682998.3,1401000.0,292901.94,1201000.0,50.0,127.53,1200000.0,219162.97,Magnetometric ECM II,2563,jita,2025-10-30 04:23:28
1401000.0,1588000.0,1682998.3,1401000.0,292901.94,1201000.0,50.0,127.53,1200000.0,219162.97,Magnetometric ECM II,2563,jita,2025-10-30 05:20:21
