Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
1342000.0,1600000.0,1663623.33,1342000.0,142045.32,1000.0,1000.0,1000.0,1000.0,0.0,Medium Command Processor I,43896,C-J6MT,2025-11-02 09:07:30
1342000.0,1600000.0,1663623.33,1342000.0,142045.32,1000.0,1000.0,1000.0,1000.0,0.0,Medium Command Processor I,43896,C-J6MT,2025-11-02 09:18:37
1342000.0,1600000.0,1664058.72,1342000.0,141669.21,1000.0,1000.0,1000.0,1000.0,0.0,Medium Command Processor I,43896,C-J6MT,2025-11-02 10:18:40
1342000.0,1600000.0,1664058.72,1342000.0,141669.21,1000.0,1000.0,1000.0,1000.0,0.0,Medium Command Processor I,43896,C-J6MT,2025-11-02 10:57:43
1342000.0,1600000.0,1664058.72,1342000.0,141669.21,1000.0,1000.0,1000.0,1000.0,0.0,Medium Command Processor I,43896,C-J6MT,2025-11-02 11:09:46
1342000.0,1600000.0,1664495.29,1343000.0,141290.05,1000.0,1000.0,1000.0,1000.0,0.0,Medium Command Processor I,43896,C-J6MT,2025-11-02 11:15:29
1342000.0,1600000.0,1664495.29,1343000.0,141290.05,1000.0,1000.0,1000.0,1000.0,0.0,Medium Command Processor I,43896,C-J6MT,2025-11-02 12:34:27
1342000.0,1600000.0,1664933.03,1343000.0,140907.79,1000.0,1000.0,1000.0,1000.0,0.0,Medium Command Processor I,43896,C-J6MT,2025-11-02 13:23:57
1342000.0,1600000.0,1664933.03,1343000.0,140907.79,1000.0,1000.0,1000.0,1000.0,0.0,Medium Command Processor I,43896,C-J6MT,2025-11-02 14:17:05
1342000.0,1600000.0,1664933.03,1343000.0,140907.79,1000.0,1000.0,1000.0,1000.0,0.0,Medium Command Processor I,43896,C-J6MT,2025-11-02 15:18:28
1342000.0,1600000.0,1664933.03,1343000.0,140907.79,1000.0,1000.0,1000.0,1000.0,0.0,Medium Command Processor I,43896,C-J6MT,2025-11-02 16:21:10
