Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
1371000.0,1741000.0,1730335.46,1372000.0,454009.84,722700.0,713200.0,420662.99,722700.0,243444.34,Medium Core Defense Field Extender I,31790,jita,2025-11-02 09:07:31
1372000.0,1741000.0,1735795.75,1372000.0,454646.99,722800.0,713200.0,420664.11,722700.0,243445.25,Medium Core Defense Field Extender I,31790,jita,2025-11-02 09:18:38
1371000.0,1378000.0,1616722.47,1371000.0,500087.88,722800.0,713200.0,420462.06,722700.0,243528.79,Medium Core Defense Field Extender I,31790,jita,2025-11-02 10:18:41
1371000.0,1378000.0,1621132.41,1371000.0,502711.17,723000.0,713200.0,424125.08,723000.0,242555.9,Medium Core Defense Field Extender I,31790,jita,2025-11-02 10:57:44
1371000.0,1378000.0,1621132.41,1371000.0,502711.17,723000.0,713200.0,424125.08,723000.0,242555.9,Medium Core Defense Field Extender I,31790,jita,2025-11-02 11:09:47
1322000.0,1375000.0,1601227.21,1322000.0,495578.31,724000.0,713200.0,424134.11,724000.0,242563.16,Medium Core Defense Field Extender I,31790,jita,2025-11-02 11:15:30
1199000.0,1377000.0,1463071.17,1199000.0,433540.23,830000.0,717200.0,449557.55,724400.0,232377.21,Medium Core Defense Field Extender I,31790,jita,2025-11-02 12:34:29
1191000.0,1200000.0,1361258.59,1191000.0,440115.27,830000.0,717200.0,449673.39,724600.0,232455.93,Medium Core Defense Field Extender I,31790,jita,2025-11-02 13:23:58
1171000.0,1195000.0,1280346.26,1171000.0,341334.41,830000.0,717200.0,449605.32,724900.0,232520.34,Medium Core Defense Field Extender I,31790,jita,2025-11-02 14:17:06
1170000.0,1195000.0,1281356.44,1185000.0,343016.36,724900.0,717200.0,445963.0,724800.0,233899.65,Medium Core Defense Field Extender I,31790,jita,2025-11-02 15:18:29
1163000.0,1190000.0,1230215.93,1163000.0,307098.82,725200.0,717200.0,446745.36,725100.0,233800.55,Medium Core Defense Field Extender I,31790,jita,2025-11-02 16:21:11
1144000.0,1190000.0,1192000.89,1145000.0,56942.1,725200.0,717200.0,446290.12,725100.0,234001.21,Medium Core Defense Field Extender I,31790,jita,2025-11-02 17:17:10
948900.0,1170000.0,1143082.12,948900.0,88346.88,725600.0,717200.0,446335.91,725600.0,234034.29,Medium Core Defense Field Extender I,31790,jita,2025-11-02 18:23:57
948800.0,1185000.0,1146744.31,948800.0,87603.35,726900.0,723000.0,446841.89,726900.0,234385.28,Medium Core Defense Field Extender I,31790,jita,2025-11-02 19:15:47
920000.0,1170000.0,1135707.46,920000.0,97330.38,727000.0,723000.0,446636.79,727000.0,234503.02,Medium Core Defense Field Extender I,31790,jita,2025-11-02 20:20:00
900200.0,1170000.0,1134235.49,919900.0,98587.35,727400.0,723000.0,446594.86,727000.0,234539.19,Medium Core Defense Field Extender I,31790,jita,2025-11-02 21:17:13
919500.0,1170000.0,1127079.86,919800.0,103386.02,727500.0,723000.0,446670.71,727500.0,234592.14,Medium Core Defense Field Extender I,31790,jita,2025-11-02 22:17:50
919800.0,1170000.0,1130367.77,919800.0,100927.0,727700.0,723000.0,446999.65,727700.0,234819.41,Medium Core Defense Field Extender I,31790,jita,2025-11-02 23:17:27
919700.0,1169000.0,1098090.14,919700.0,119836.43,728400.0,723000.0,419192.12,728400.0,247078.7,Medium Core Defense Field Extender I,31790,jita,2025-11-03 01:26:33
919700.0,1163000.0,1077558.05,919700.0,128924.47,728400.0,723000.0,413592.95,728400.0,249358.15,Medium Core Defense Field Extender I,31790,jita,2025-11-03 03:18:25
919700.0,1163000.0,1087365.09,919700.0,126142.61,728600.0,723000.0,413594.0,728400.0,249359.05,Medium Core Defense Field Extender I,31790,jita,2025-11-03 04:29:16
919600.0,1162000.0,1075441.14,919600.0,128050.9,728700.0,723000.0,413600.44,728600.0,249364.58,Medium Core Defense Field Extender I,31790,jita,2025-11-03 05:21:02
919400.0,1164000.0,1078985.77,919500.0,127833.02,728800.0,726600.0,472619.6,728800.0,224130.17,Medium Core Defense Field Extender I,31790,jita,2025-11-03 06:31:06
919500.0,1164000.0,1080550.66,919500.0,127410.72,728800.0,726600.0,472619.6,728800.0,224130.17,Medium Core Defense Field Extender I,31790,jita,2025-11-03 07:21:10
829000.0,1149000.0,1054561.09,829000.0,145400.59,729100.0,726600.0,472648.45,729100.0,224148.66,Medium Core Defense Field Extender I,31790,jita,2025-11-03 08:28:19
828700.0,1149000.0,1043515.88,828800.0,156914.47,729200.0,726600.0,472649.37,729100.0,224149.25,Medium Core Defense Field Extender I,31790,jita,2025-11-03 09:24:03
827100.0,1143000.0,1034751.07,828500.0,160325.49,729600.0,727700.0,472911.76,729600.0,224314.24,Medium Core Defense Field Extender I,31790,jita,2025-11-03 10:23:51
817000.0,1141000.0,1023256.42,828500.0,161663.67,729900.0,727700.0,475309.61,729900.0,223236.21,Medium Core Defense Field Extender I,31790,jita,2025-11-03 11:18:05
816700.0,1141000.0,1020639.44,817000.0,163633.74,731300.0,727700.0,475068.79,731300.0,223393.41,Medium Core Defense Field Extender I,31790,jita,2025-11-03 12:40:26
817000.0,1141000.0,1025267.38,817000.0,162309.6,731300.0,727700.0,475068.79,731300.0,223393.41,Medium Core Defense Field Extender I,31790,jita,2025-11-03 13:31:54
816900.0,1141000.0,1020755.64,816900.0,162138.84,733600.0,727700.0,475098.31,733600.0,223412.75,Medium Core Defense Field Extender I,31790,jita,2025-11-03 14:20:38
816900.0,1140000.0,1013647.86,817000.0,163642.11,733600.0,727700.0,475050.18,733600.0,223433.9,Medium Core Defense Field Extender I,31790,jita,2025-11-03 15:21:38
817000.0,1141000.0,1015575.56,817000.0,163166.49,734100.0,728500.0,475317.43,734100.0,223606.5,Medium Core Defense Field Extender I,31790,jita,2025-11-03 16:23:31
816900.0,948900.0,991955.82,816900.0,167541.53,734300.0,728500.0,474847.46,734300.0,223826.71,Medium Core Defense Field Extender I,31790,jita,2025-11-03 17:18:47
815100.0,919700.0,992413.72,816800.0,172345.06,734500.0,728500.0,474999.06,734500.0,223926.1,Medium Core Defense Field Extender I,31790,jita,2025-11-03 18:27:53
800000.0,919700.0,986763.86,800000.0,173303.87,734600.0,728500.0,474464.04,734600.0,224212.14,Medium Core Defense Field Extender I,31790,jita,2025-11-03 19:16:34
800000.0,919700.0,986915.11,800000.0,173281.43,734800.0,728500.0,474423.64,734800.0,224238.98,Medium Core Defense Field Extender I,31790,jita,2025-11-03 20:23:38
816900.0,1141000.0,1017526.62,816900.0,168132.17,735500.0,728500.0,473716.3,735500.0,224890.69,Medium Core Defense Field Extender I,31790,jita,2025-11-03 21:19:34
817000.0,1143000.0,1029048.32,817000.0,165030.76,735600.0,728500.0,473726.92,735600.0,224897.9,Medium Core Defense Field Extender I,31790,jita,2025-11-03 22:20:09
817000.0,1143000.0,1040311.54,817000.0,161267.3,735800.0,728500.0,473764.21,735800.0,224923.19,Medium Core Defense Field Extender I,31790,jita,2025-11-03 23:18:30
817000.0,1162000.0,1047893.2,825000.0,158310.02,737000.0,728500.0,475638.89,737000.0,224443.43,Medium Core Defense Field Extender I,31790,jita,2025-11-04 01:23:17
824900.0,919700.0,994140.65,824900.0,170441.37,737400.0,728500.0,475670.6,737400.0,224465.04,Medium Core Defense Field Extender I,31790,jita,2025-11-04 03:11:19
824800.0,919800.0,996437.69,824900.0,170257.73,737400.0,728500.0,475670.6,737400.0,224465.04,Medium Core Defense Field Extender I,31790,jita,2025-11-04 04:23:08
817500.0,919800.0,996786.92,824900.0,170293.17,737400.0,728500.0,475670.6,737400.0,224465.04,Medium Core Defense Field Extender I,31790,jita,2025-11-04 05:20:18
824900.0,1141000.0,1006268.48,824900.0,167903.99,737400.0,728500.0,475670.6,737400.0,224465.04,Medium Core Defense Field Extender I,31790,jita,2025-11-04 06:30:14
