Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
967700.0,996900.0,1003884.35,967700.0,59512.24,126.1,126.0,125.74,126.0,0.38,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-02 09:07:32
967700.0,996900.0,1003884.35,967700.0,59512.24,126.1,126.0,125.74,126.0,0.38,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-02 09:18:41
967000.0,996900.0,1003838.18,967700.0,59490.93,126.1,126.0,125.74,126.0,0.38,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-02 10:18:43
967700.0,996900.0,1004112.42,967700.0,59621.67,126.1,126.0,125.74,126.0,0.38,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-02 10:57:47
967700.0,996900.0,1004112.42,967700.0,59621.67,126.1,126.0,125.74,126.0,0.38,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-02 11:09:50
967700.0,996900.0,1004112.42,967700.0,59621.67,126.1,126.0,125.74,126.0,0.38,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-02 11:15:32
967700.0,996900.0,1004389.93,967700.0,59753.27,126.1,126.0,125.74,126.0,0.38,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-02 12:34:31
967700.0,996900.0,1004483.38,967700.0,59797.21,126.1,126.0,125.74,126.0,0.38,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-02 13:24:00
967700.0,996900.0,1004577.3,967700.0,59841.18,126.1,126.0,125.74,126.0,0.38,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-02 14:17:08
967700.0,996900.0,1004624.45,967700.0,59863.18,126.1,126.0,125.74,126.0,0.38,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-02 15:18:31
967700.0,996900.0,1004766.6,967700.0,59929.23,126.1,126.0,125.74,126.0,0.38,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-02 16:21:13
967700.0,996900.0,1004861.97,967700.0,59973.29,900.0,126.0,276.3,900.0,379.69,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-02 17:17:13
967700.0,996900.0,1005054.21,967700.0,60061.52,900.0,126.0,276.3,900.0,379.69,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-02 18:23:58
967700.0,996900.0,1005054.21,967700.0,60061.52,900.0,126.0,276.3,900.0,379.69,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-02 19:15:49
967700.0,996900.0,1005102.58,967700.0,60083.59,900.0,126.0,276.3,900.0,379.69,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-02 20:20:02
967700.0,996900.0,1005102.58,967700.0,60083.59,900.0,126.0,276.3,900.0,379.69,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-02 21:17:16
967600.0,996900.0,1005263.49,967600.0,60193.19,900.0,126.0,276.3,900.0,379.69,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-02 22:17:52
967600.0,996900.0,1005411.14,967600.0,60259.42,900.0,126.0,276.3,900.0,379.69,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-02 23:17:29
967600.0,996900.0,1005911.79,967600.0,60480.57,900.0,126.0,276.3,900.0,379.69,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-03 01:26:34
967600.0,996900.0,1007018.99,967600.0,61205.82,900.1,126.0,279.58,900.0,380.61,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-03 03:18:27
967600.0,996900.0,1007127.38,967600.0,61251.01,900.1,126.0,279.58,900.0,380.61,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-03 04:29:17
967600.0,996900.0,1007127.38,967600.0,61251.01,900.1,126.0,279.58,900.0,380.61,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-03 05:21:04
967600.0,996900.0,1007127.38,967600.0,61251.01,900.1,126.0,279.58,900.0,380.61,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-03 06:31:08
967600.0,996900.0,1008827.86,967600.0,61929.08,900.1,126.0,279.58,900.0,380.61,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-03 07:21:12
967500.0,996900.0,1008881.79,967500.0,61955.18,900.1,126.0,279.58,900.0,380.61,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-03 08:28:21
967500.0,996900.0,1009060.85,967500.0,62022.62,900.1,126.0,279.58,900.0,380.61,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-03 09:24:05
967500.0,996900.0,1009060.85,967500.0,62022.62,900.1,126.0,279.58,900.0,380.61,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-03 10:23:54
967500.0,996900.0,1009060.85,967500.0,62022.62,900.1,126.0,279.58,900.0,380.61,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-03 11:18:07
967500.0,996900.0,1009362.75,967500.0,62134.91,900.2,126.0,279.6,900.2,380.71,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-03 12:40:28
967500.0,996900.0,1009423.65,967500.0,62157.35,900.2,126.0,279.6,900.2,380.71,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-03 13:31:56
967500.0,996900.0,1009484.74,967500.0,62179.79,900.2,126.0,279.6,900.2,380.71,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-03 14:20:40
967500.0,996900.0,1009730.87,967500.0,62269.46,900.2,126.0,279.6,900.2,380.71,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-03 15:21:40
967500.0,996900.0,1009917.37,967500.0,62336.63,900.2,126.0,279.6,900.2,380.71,Medium EM Shield Reinforcer I,31718,C-J6MT,2025-11-03 16:23:33
