Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
68100.0,149600.0,138175.38,68100.0,52292.88,56430.0,56320.0,56022.21,56430.0,413.13,Medium EM Shield Reinforcer I,31718,jita,2025-11-02 09:07:32
68100.0,149600.0,138205.4,68100.0,52281.72,56430.0,56320.0,56022.21,56430.0,413.13,Medium EM Shield Reinforcer I,31718,jita,2025-11-02 09:18:41
68090.0,149600.0,137957.04,68090.0,52374.27,56430.0,56320.0,56021.68,56430.0,413.14,Medium EM Shield Reinforcer I,31718,jita,2025-11-02 10:18:43
68090.0,149600.0,138009.29,68090.0,52354.98,56430.0,56320.0,56021.68,56430.0,413.14,Medium EM Shield Reinforcer I,31718,jita,2025-11-02 10:57:47
68090.0,149600.0,138009.29,68090.0,52354.98,56430.0,56320.0,56021.68,56430.0,413.14,Medium EM Shield Reinforcer I,31718,jita,2025-11-02 11:09:50
68090.0,149600.0,138024.23,68090.0,52349.46,56430.0,56320.0,56021.15,56430.0,413.15,Medium EM Shield Reinforcer I,31718,jita,2025-11-02 11:15:32
68090.0,149600.0,138151.48,68090.0,52302.31,56430.0,56320.0,56021.15,56430.0,413.15,Medium EM Shield Reinforcer I,31718,jita,2025-11-02 12:34:31
68090.0,149600.0,138204.01,68090.0,52282.78,56430.0,56320.0,56020.07,56430.0,413.16,Medium EM Shield Reinforcer I,31718,jita,2025-11-02 13:24:00
68090.0,149600.0,138672.62,68090.0,52107.01,56430.0,56320.0,56020.07,56430.0,413.16,Medium EM Shield Reinforcer I,31718,jita,2025-11-02 14:17:08
68090.0,149600.0,139001.21,68090.0,51982.06,56430.0,56320.0,56019.53,56430.0,413.17,Medium EM Shield Reinforcer I,31718,jita,2025-11-02 15:18:31
68070.0,149600.0,134863.57,68070.0,53454.14,56430.0,56320.0,56019.53,56430.0,413.17,Medium EM Shield Reinforcer I,31718,jita,2025-11-02 16:21:13
68070.0,149600.0,135089.82,68070.0,53379.42,56430.0,56320.0,56019.53,56430.0,413.17,Medium EM Shield Reinforcer I,31718,jita,2025-11-02 17:17:13
68070.0,149600.0,135227.66,68070.0,53333.57,56430.0,56320.0,56019.53,56430.0,413.17,Medium EM Shield Reinforcer I,31718,jita,2025-11-02 18:23:58
