Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
3458000.0,3466000.0,3522071.1,3458000.0,137872.82,3194000.0,51.11,208.08,3194000.0,1021718.46,Medium EM Shield Reinforcer II,31724,jita,2025-11-02 09:07:33
3454000.0,3465000.0,3518707.02,3454000.0,139257.78,3194000.0,51.11,208.08,3194000.0,1021718.46,Medium EM Shield Reinforcer II,31724,jita,2025-11-02 09:18:42
3451000.0,3465000.0,3515922.94,3451000.0,141155.45,3194000.0,51.11,208.08,3194000.0,1021718.46,Medium EM Shield Reinforcer II,31724,jita,2025-11-02 10:18:43
3450000.0,3465000.0,3515904.28,3450000.0,141395.85,3197000.0,51.11,208.09,3197000.0,1021908.51,Medium EM Shield Reinforcer II,31724,jita,2025-11-02 10:57:48
3450000.0,3465000.0,3515904.28,3450000.0,141395.85,3197000.0,51.11,208.09,3197000.0,1021908.51,Medium EM Shield Reinforcer II,31724,jita,2025-11-02 11:09:51
3450000.0,3465000.0,3516051.96,3450000.0,141515.93,3197000.0,51.11,208.09,3197000.0,1021908.51,Medium EM Shield Reinforcer II,31724,jita,2025-11-02 11:15:33
3449000.0,3465000.0,3515973.52,3450000.0,141458.02,3197000.0,51.11,206.84,3197000.0,1019817.61,Medium EM Shield Reinforcer II,31724,jita,2025-11-02 12:34:32
3450000.0,3465000.0,3516724.81,3450000.0,142059.64,3198000.0,51.11,206.84,3197000.0,1019858.83,Medium EM Shield Reinforcer II,31724,jita,2025-11-02 13:24:01
3445000.0,3453000.0,3511459.4,3445000.0,146275.22,3198000.0,51.11,206.84,3197000.0,1019858.83,Medium EM Shield Reinforcer II,31724,jita,2025-11-02 14:17:09
3444000.0,3453000.0,3511569.04,3444000.0,147587.55,3198000.0,51.11,206.84,3197000.0,1019858.83,Medium EM Shield Reinforcer II,31724,jita,2025-11-02 15:18:32
3440000.0,3445000.0,3484451.64,3440000.0,120973.41,3198000.0,51.11,206.84,3197000.0,1019858.83,Medium EM Shield Reinforcer II,31724,jita,2025-11-02 16:21:14
