Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
189900.0,206900.0,213113.23,189900.0,12532.26,155200.0,150200.0,152043.75,155200.0,2358.93,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-02 09:07:36
155300.0,206900.0,212750.95,189900.0,13205.81,155200.0,150200.0,152040.88,155200.0,2358.1,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-02 09:18:45
155300.0,206900.0,212492.74,189800.0,13352.73,155200.0,150200.0,151994.18,155200.0,2343.94,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-02 10:18:46
155300.0,206900.0,212492.74,189800.0,13352.73,155200.0,150200.0,151988.24,155200.0,2342.06,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-02 10:57:51
155300.0,206900.0,212492.74,189800.0,13352.73,155200.0,150200.0,151988.24,155200.0,2342.06,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-02 11:09:54
155300.0,206900.0,212492.74,189800.0,13352.73,155200.0,150200.0,151982.28,155200.0,2340.17,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-02 11:15:36
155300.0,206900.0,212492.74,189800.0,13352.73,155200.0,150200.0,151970.3,155200.0,2336.3,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-02 12:34:35
155300.0,206900.0,212492.74,189800.0,13352.73,155200.0,150200.0,151955.2,155200.0,2331.33,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-02 13:24:03
189800.0,206900.0,212849.34,189800.0,12701.29,155300.0,150200.0,152568.63,155300.0,2470.09,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-02 14:17:12
189700.0,206900.0,212590.15,189700.0,12861.65,155300.0,150100.0,151480.79,155300.0,3661.18,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-02 15:18:36
189700.0,206900.0,212590.15,189700.0,12861.65,155400.0,150100.0,151457.85,155400.0,3694.65,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-02 16:21:17
188900.0,206900.0,212843.93,189800.0,12710.37,155400.0,150100.0,151445.56,155400.0,3693.97,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-02 17:17:17
190000.0,206900.0,214225.07,206400.0,11743.63,155400.0,150100.0,151430.08,155400.0,3693.06,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-02 18:24:02
206600.0,206900.0,214607.62,206600.0,11712.27,155400.0,150100.0,151376.54,155400.0,3689.39,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-02 19:15:54
206600.0,206900.0,214607.62,206600.0,11712.27,155400.0,150100.0,151334.61,155400.0,3685.98,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-02 20:20:05
206600.0,206900.0,214607.62,206600.0,11712.27,155400.0,150100.0,151295.12,155400.0,3682.32,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-02 21:17:20
205900.0,206900.0,214555.95,206600.0,11698.13,155400.0,150100.0,151291.8,155400.0,3681.99,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-02 22:17:56
155500.0,206900.0,213582.0,155500.0,14080.56,155400.0,150100.0,151234.43,155400.0,3675.85,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-02 23:17:32
206600.0,206900.0,214853.57,206600.0,11797.59,155400.0,150100.0,151224.14,155400.0,3674.66,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 01:26:38
206600.0,206900.0,214904.59,206600.0,11814.53,155400.0,150100.0,151147.1,155400.0,3664.75,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 03:18:31
206600.0,207800.0,215008.53,206600.0,11848.27,155400.0,150100.0,151132.79,155400.0,3662.73,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 04:29:21
206700.0,215900.0,216344.33,206700.0,12198.08,155400.0,150100.0,151114.76,155400.0,3660.1,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 05:21:08
205000.0,215900.0,215945.64,205000.0,12173.36,155400.0,150100.0,151114.76,155400.0,3660.1,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 06:31:12
205000.0,215900.0,215945.64,205000.0,12173.36,155400.0,150100.0,151114.76,155400.0,3660.1,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 07:21:17
205000.0,215900.0,215945.64,205000.0,12173.36,155300.0,150100.0,150547.11,155300.0,3531.57,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 08:28:25
205000.0,215900.0,216181.42,205000.0,12189.58,155300.0,150100.0,150477.84,155300.0,3510.4,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 09:24:08
205000.0,215900.0,216181.42,205000.0,12189.58,155300.0,150100.0,150454.3,155300.0,3502.86,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 10:23:58
205000.0,215900.0,216181.42,205000.0,12189.58,155300.0,150100.0,150435.3,155300.0,3496.64,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 11:18:11
205000.0,215900.0,216262.29,206700.0,12194.07,155300.0,150100.0,150396.85,155300.0,3483.7,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 12:40:32
206700.0,216600.0,216558.91,206700.0,12240.56,155300.0,150100.0,150287.9,155300.0,3444.38,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 13:31:59
206700.0,216600.0,216632.58,206700.0,12254.22,155300.0,150100.0,150267.57,155300.0,3436.6,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 14:20:43
206700.0,216600.0,216632.58,206700.0,12254.22,155300.0,150100.0,150158.08,155300.0,3392.24,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 15:21:43
206700.0,216600.0,218481.09,206700.0,12446.72,155300.0,150100.0,150147.4,155300.0,3387.69,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 16:23:37
206600.0,215900.0,215729.52,206600.0,12077.6,155300.0,150100.0,150038.14,155300.0,3338.73,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 17:18:53
206600.0,215900.0,215729.52,206600.0,12077.6,155300.0,150100.0,149859.31,155300.0,3248.83,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 18:27:59
200000.0,215900.0,215621.39,206600.0,12107.84,155300.0,150100.0,149762.18,155300.0,3194.59,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 19:16:40
200000.0,215900.0,215621.39,206600.0,12107.84,155300.0,150100.0,149731.11,155300.0,3176.39,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 20:23:45
206600.0,215900.0,216118.55,206600.0,12169.36,155400.0,150100.0,149578.33,155400.0,3114.99,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 21:19:41
206600.0,215900.0,216118.55,206600.0,12169.36,155400.0,150100.0,149558.03,155400.0,3101.29,Medium Knave Scoped Energy Nosferatu,16507,jita,2025-11-03 22:20:15
