Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
1056000.0,1110000.0,1164403.64,1058000.0,94613.41,791000.0,0.01,0.01,0.01,4052.72,Medium Micro Jump Drive,33915,jita,2025-11-02 09:07:37
1056000.0,1110000.0,1165214.6,1058000.0,94480.44,791000.0,0.01,0.01,0.01,4045.0,Medium Micro Jump Drive,33915,jita,2025-11-02 09:18:46
1058000.0,1110000.0,1165512.54,1058000.0,94429.86,791000.0,0.01,0.01,0.01,4045.0,Medium Micro Jump Drive,33915,jita,2025-11-02 10:18:47
1058000.0,1110000.0,1165883.65,1058000.0,94368.84,606700.0,0.01,0.01,0.01,4028.13,Medium Micro Jump Drive,33915,jita,2025-11-02 10:57:53
1058000.0,1110000.0,1165883.65,1058000.0,94368.84,606700.0,0.01,0.01,0.01,4028.13,Medium Micro Jump Drive,33915,jita,2025-11-02 11:09:55
1058000.0,1110000.0,1166182.38,1058000.0,94318.68,606700.0,0.01,0.01,0.01,4028.13,Medium Micro Jump Drive,33915,jita,2025-11-02 11:15:37
1000000.0,1110000.0,1153892.48,1050000.0,97452.19,606700.0,0.01,0.01,0.01,4028.13,Medium Micro Jump Drive,33915,jita,2025-11-02 12:34:37
999900.0,1110000.0,1152713.11,1000000.0,98010.91,606700.0,0.01,0.01,0.01,4028.13,Medium Micro Jump Drive,33915,jita,2025-11-02 13:24:04
998000.0,1110000.0,1152592.76,999900.0,98418.23,608000.0,0.01,0.01,0.01,4141.24,Medium Micro Jump Drive,33915,jita,2025-11-02 14:17:13
999800.0,1110000.0,1149592.25,999800.0,102158.57,608000.0,0.01,0.01,0.01,4132.3,Medium Micro Jump Drive,33915,jita,2025-11-02 15:18:37
999800.0,1110000.0,1150090.49,999800.0,102128.95,610100.0,0.01,0.01,0.01,4060.34,Medium Micro Jump Drive,33915,jita,2025-11-02 16:21:17
999400.0,1110000.0,1149605.44,999800.0,102328.94,610100.0,0.01,0.01,0.01,4060.34,Medium Micro Jump Drive,33915,jita,2025-11-02 17:17:18
999000.0,1110000.0,1148137.28,999000.0,103781.54,610100.0,0.01,0.01,0.01,4060.34,Medium Micro Jump Drive,33915,jita,2025-11-02 18:24:03
999000.0,1110000.0,1148522.06,999000.0,103631.44,610100.0,0.01,0.01,0.01,4060.34,Medium Micro Jump Drive,33915,jita,2025-11-02 19:15:55
998900.0,1110000.0,1148040.84,999000.0,103819.42,610100.0,0.01,0.01,0.01,4060.34,Medium Micro Jump Drive,33915,jita,2025-11-02 20:20:06
998900.0,1110000.0,1147942.74,999000.0,103859.46,610100.0,0.01,0.01,0.01,4060.34,Medium Micro Jump Drive,33915,jita,2025-11-02 21:17:21
999000.0,1110000.0,1150671.77,999800.0,102767.54,610100.0,0.01,0.01,0.01,4060.34,Medium Micro Jump Drive,33915,jita,2025-11-02 22:17:57
999500.0,1110000.0,1151069.39,999800.0,102602.48,610100.0,0.01,0.01,0.01,4060.34,Medium Micro Jump Drive,33915,jita,2025-11-02 23:17:33
999500.0,1110000.0,1151568.03,999800.0,102394.37,610100.0,0.01,0.01,0.01,4060.34,Medium Micro Jump Drive,33915,jita,2025-11-03 01:26:39
999700.0,1110000.0,1148400.54,999800.0,102999.28,610100.0,0.01,0.01,0.01,4060.34,Medium Micro Jump Drive,33915,jita,2025-11-03 03:18:32
999800.0,1110000.0,1148686.85,999800.0,102886.62,610100.0,0.01,0.01,0.01,4060.34,Medium Micro Jump Drive,33915,jita,2025-11-03 04:29:22
999700.0,1110000.0,1148591.25,999800.0,102924.38,610100.0,0.01,0.01,0.01,4060.34,Medium Micro Jump Drive,33915,jita,2025-11-03 05:21:08
