Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
3971000.0,4038000.0,4111636.12,3972000.0,232717.95,3314000.0,3081000.0,2346488.79,3313000.0,931193.63,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-02 09:07:41
3971000.0,4038000.0,4111938.34,3972000.0,232866.23,3314000.0,3081000.0,2346488.79,3313000.0,931193.63,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-02 09:18:52
3965000.0,4038000.0,4109549.14,3965000.0,234693.7,3331000.0,3081000.0,2346505.92,3313000.0,931213.46,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-02 10:18:51
3963000.0,4038000.0,4109653.56,3965000.0,234798.52,3332000.0,3081000.0,2346632.91,3313000.0,931360.23,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-02 10:57:58
3963000.0,4038000.0,4109653.56,3965000.0,234798.52,3332000.0,3081000.0,2346632.91,3313000.0,931360.23,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-02 11:10:01
3963000.0,4038000.0,4109653.56,3965000.0,234798.52,3333000.0,3081000.0,2352895.35,3333000.0,938177.93,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-02 11:15:42
3963000.0,4038000.0,4109891.49,3965000.0,234906.51,3333000.0,3081000.0,2352895.35,3333000.0,938177.93,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-02 12:34:42
3963000.0,4038000.0,4110369.66,3965000.0,235122.61,3334000.0,3081000.0,2352907.43,3333000.0,938191.85,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-02 13:24:08
3960000.0,4038000.0,4109319.09,3960000.0,236184.57,3334000.0,3081000.0,2352907.43,3333000.0,938191.85,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-02 14:17:18
3958000.0,4038000.0,4110042.97,3958000.0,236864.85,3334000.0,3081000.0,2352907.43,3333000.0,938191.85,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-02 15:18:43
3958000.0,4038000.0,4110796.74,3958000.0,237183.18,3334000.0,3081000.0,2352907.43,3333000.0,938191.85,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-02 16:21:22
3956000.0,4038000.0,4102765.72,3957000.0,233694.24,3335000.0,3081000.0,2365621.68,3335000.0,935669.04,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-02 17:17:24
3954000.0,4038000.0,4102557.91,3954000.0,234479.66,3336000.0,3081000.0,2365633.64,3335000.0,935682.61,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-02 18:24:08
3953000.0,4038000.0,4105380.96,3953000.0,236489.18,3336000.0,3081000.0,2365633.64,3335000.0,935682.61,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-02 19:16:01
3947000.0,4038000.0,4105464.02,3947000.0,237490.45,3336000.0,3081000.0,2365633.64,3335000.0,935682.61,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-02 20:20:11
3945000.0,4038000.0,4106452.07,3945000.0,238097.62,3336000.0,3081000.0,2365633.64,3335000.0,935682.61,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-02 21:17:27
3941000.0,4038000.0,4106475.3,3941000.0,238451.54,3336000.0,3081000.0,2364490.27,3335000.0,935913.98,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-02 22:18:01
3938000.0,4038000.0,4107463.0,3939000.0,238988.57,3336000.0,3081000.0,2364490.27,3335000.0,935913.98,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-02 23:17:38
3937000.0,4038000.0,4107217.9,3937000.0,239065.79,3336000.0,3081000.0,2362195.53,3335000.0,936374.9,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-03 01:26:43
3931000.0,4038000.0,4107499.64,3932000.0,239541.73,3338000.0,3279000.0,2422430.55,3338000.0,921899.14,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-03 03:18:37
3930000.0,4038000.0,4101175.66,3930000.0,244017.16,3338000.0,3279000.0,2424082.93,3338000.0,923591.0,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-03 04:29:26
3930000.0,4038000.0,4101746.6,3930000.0,244205.02,3339000.0,3279000.0,2424584.95,3339000.0,924105.33,Medium Thermal Shield Reinforcer II,31760,jita,2025-11-03 05:21:13
