Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
949400.0,1138000.0,1311687.69,949500.0,449224.68,604300.0,603900.0,572967.49,604300.0,67704.01,Missile Guidance Enhancer II,35771,C-J6MT,2025-11-02 09:07:44
949400.0,1138000.0,1311687.69,949500.0,449224.68,604300.0,603900.0,572967.49,604300.0,67704.01,Missile Guidance Enhancer II,35771,C-J6MT,2025-11-02 09:18:57
949400.0,1138000.0,1311687.69,949500.0,449224.68,604300.0,603900.0,572967.49,604300.0,67704.01,Missile Guidance Enhancer II,35771,C-J6MT,2025-11-02 10:18:55
949400.0,1138000.0,1311687.69,949500.0,449224.68,604300.0,603900.0,572967.49,604300.0,67704.01,Missile Guidance Enhancer II,35771,C-J6MT,2025-11-02 10:58:03
949400.0,1138000.0,1311687.69,949500.0,449224.68,604300.0,603900.0,572967.49,604300.0,67704.01,Missile Guidance Enhancer II,35771,C-J6MT,2025-11-02 11:10:06
949400.0,1138000.0,1312132.2,949500.0,449249.67,604300.0,603900.0,572967.49,604300.0,67704.01,Missile Guidance Enhancer II,35771,C-J6MT,2025-11-02 11:15:46
949400.0,1138000.0,1312132.2,949500.0,449249.67,604300.0,603900.0,572967.49,604300.0,67704.01,Missile Guidance Enhancer II,35771,C-J6MT,2025-11-02 12:34:47
949400.0,1138000.0,1312132.2,949500.0,449249.67,604300.0,603900.0,572967.49,604300.0,67704.01,Missile Guidance Enhancer II,35771,C-J6MT,2025-11-02 13:24:12
949400.0,1138000.0,1312354.86,949500.0,449262.01,604300.0,603900.0,572967.49,604300.0,67704.01,Missile Guidance Enhancer II,35771,C-J6MT,2025-11-02 14:17:22
949300.0,1138000.0,1312292.46,949300.0,449304.76,604300.0,603900.0,572967.49,604300.0,67704.01,Missile Guidance Enhancer II,35771,C-J6MT,2025-11-02 15:18:47
949300.0,1138000.0,1312515.42,949300.0,449317.0,604300.0,603900.0,572967.49,604300.0,67704.01,Missile Guidance Enhancer II,35771,C-J6MT,2025-11-02 16:21:25
949300.0,1138000.0,1312738.65,949300.0,449329.15,604300.0,603900.0,572967.49,604300.0,67704.01,Missile Guidance Enhancer II,35771,C-J6MT,2025-11-02 17:17:29
949200.0,1138000.0,1312573.19,949300.0,449438.95,604300.0,603900.0,572765.5,604300.0,67894.52,Missile Guidance Enhancer II,35771,C-J6MT,2025-11-02 18:24:12
