Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
559.7,564.3,564.51,560.0,1.4,10.12,10.11,10.07,10.12,0.06,Mjolnir Fury Heavy Missile,24509,C-J6MT,2025-11-02 09:07:48
559.7,564.3,564.51,560.0,1.4,10.12,10.11,10.07,10.12,0.06,Mjolnir Fury Heavy Missile,24509,C-J6MT,2025-11-02 09:19:01
559.7,564.3,564.51,560.0,1.4,10.12,10.11,10.07,10.12,0.06,Mjolnir Fury Heavy Missile,24509,C-J6MT,2025-11-02 10:18:58
559.7,564.3,564.51,560.0,1.4,10.12,10.11,10.07,10.12,0.06,Mjolnir Fury Heavy Missile,24509,C-J6MT,2025-11-02 10:58:08
559.7,564.3,564.51,560.0,1.4,10.12,10.11,10.07,10.12,0.06,Mjolnir Fury Heavy Missile,24509,C-J6MT,2025-11-02 11:10:10
559.7,564.3,564.51,560.0,1.4,10.12,10.11,10.07,10.12,0.06,Mjolnir Fury Heavy Missile,24509,C-J6MT,2025-11-02 11:15:50
559.7,564.3,564.51,560.0,1.4,10.12,10.11,10.07,10.12,0.06,Mjolnir Fury Heavy Missile,24509,C-J6MT,2025-11-02 12:34:52
559.7,564.3,564.52,560.0,1.38,10.12,10.11,10.07,10.12,0.06,Mjolnir Fury Heavy Missile,24509,C-J6MT,2025-11-02 13:24:15
559.7,564.3,564.52,560.0,1.38,10.12,10.11,10.07,10.12,0.06,Mjolnir Fury Heavy Missile,24509,C-J6MT,2025-11-02 14:17:26
559.7,564.3,564.53,560.0,1.38,10.12,10.11,10.07,10.12,0.06,Mjolnir Fury Heavy Missile,24509,C-J6MT,2025-11-02 15:18:52
559.7,564.3,564.53,560.0,1.38,10.12,10.11,10.07,10.12,0.06,Mjolnir Fury Heavy Missile,24509,C-J6MT,2025-11-02 16:21:29
559.6,564.3,564.52,560.0,1.38,10.12,10.11,10.07,10.12,0.06,Mjolnir Fury Heavy Missile,24509,C-J6MT,2025-11-02 17:17:34
550.0,564.3,564.5,560.0,1.5,10.12,10.11,10.07,10.12,0.06,Mjolnir Fury Heavy Missile,24509,C-J6MT,2025-11-02 18:24:16
550.0,564.3,564.5,560.0,1.5,10.12,10.11,10.07,10.12,0.06,Mjolnir Fury Heavy Missile,24509,C-J6MT,2025-11-02 19:16:10
550.0,564.3,564.5,560.0,1.5,10.12,10.11,10.07,10.12,0.06,Mjolnir Fury Heavy Missile,24509,C-J6MT,2025-11-02 20:20:18
560.0,564.3,564.61,560.0,1.24,10.12,10.11,10.07,10.12,0.06,Mjolnir Fury Heavy Missile,24509,C-J6MT,2025-11-02 21:17:37
560.0,564.3,564.61,560.0,1.23,10.12,10.11,10.07,10.12,0.06,Mjolnir Fury Heavy Missile,24509,C-J6MT,2025-11-02 22:18:08
560.0,564.3,564.65,560.0,1.16,10.12,10.11,10.07,10.12,0.06,Mjolnir Fury Heavy Missile,24509,C-J6MT,2025-11-02 23:17:45
