Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
93.82,95.97,95.33,93.82,0.93,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-02 09:07:49
93.81,95.97,95.33,93.81,0.93,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-02 09:19:03
93.8,95.97,95.32,93.8,0.94,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-02 10:18:59
93.8,95.97,95.32,93.8,0.94,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-02 10:58:09
93.8,95.97,95.32,93.8,0.94,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-02 11:10:12
93.8,95.97,95.32,93.8,0.94,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-02 11:15:51
93.8,95.97,95.33,93.8,0.94,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-02 12:34:53
93.8,95.97,95.33,93.8,0.94,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-02 13:24:16
93.79,95.97,95.32,93.8,0.94,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-02 14:17:27
93.81,95.97,95.43,93.81,0.87,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-02 15:18:53
93.81,95.97,95.43,93.81,0.87,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-02 16:21:30
93.8,95.97,95.43,93.81,0.87,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-02 17:17:35
93.81,95.97,95.43,93.81,0.87,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-02 18:24:17
93.8,95.97,95.42,93.81,0.88,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-02 19:16:11
93.8,95.97,95.43,93.81,0.88,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-02 20:20:19
93.8,95.97,95.43,93.81,0.88,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-02 21:17:38
93.8,95.97,95.43,93.81,0.88,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-02 22:18:09
93.8,95.97,95.43,93.81,0.88,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-02 23:17:45
93.8,95.97,95.43,93.81,0.88,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-03 01:26:51
93.8,95.97,95.43,93.81,0.87,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-03 03:18:45
93.8,95.97,95.43,93.81,0.87,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-03 04:29:34
93.8,95.97,95.43,93.81,0.87,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-03 05:21:21
93.79,95.97,95.36,93.79,0.92,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-03 06:31:27
93.79,95.97,95.36,93.79,0.92,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-03 07:21:35
93.79,95.97,95.36,93.79,0.92,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-03 08:28:38
93.79,95.97,95.36,93.79,0.92,0.0,0.0,0.0,0.0,0.0,Mjolnir Fury Light Missile,2613,C-J6MT,2025-11-03 09:24:21
