Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
96.49,96.49,96.75,96.49,0.63,2.01,2.01,2.01,2.01,0.0,Mjolnir Javelin Rocket,13119,C-J6MT,2025-10-29 18:37:49
96.49,96.49,96.75,96.49,0.63,2.01,2.01,2.01,2.01,0.0,Mjolnir Javelin Rocket,13119,C-J6MT,2025-10-29 18:33:28
96.49,96.49,96.75,96.49,0.63,2.01,2.01,2.01,2.01,0.0,Mjolnir Javelin Rocket,13119,C-J6MT,2025-10-29 19:17:11
96.49,96.49,96.75,96.49,0.63,2.01,2.01,2.01,2.01,0.0,Mjolnir Javelin Rocket,13119,C-J6MT,2025-10-29 20:24:07
96.49,96.49,96.75,96.49,0.63,2.01,2.01,2.01,2.01,0.0,Mjolnir Javelin Rocket,13119,C-J6MT,2025-10-29 21:20:03
96.49,96.49,96.75,96.49,0.63,2.01,2.01,2.01,2.01,0.0,Mjolnir Javelin Rocket,13119,C-J6MT,2025-10-29 22:20:08
96.49,96.49,96.75,96.49,0.63,2.01,2.01,2.01,2.01,0.0,Mjolnir Javelin Rocket,13119,C-J6MT,2025-10-29 23:20:02
96.49,96.49,96.75,96.49,0.63,2.01,2.01,2.01,2.01,0.0,Mjolnir Javelin Rocket,13119,C-J6MT,2025-10-30 01:26:50
96.49,96.49,96.75,96.49,0.63,2.01,2.01,2.01,2.01,0.0,Mjolnir Javelin Rocket,13119,C-J6MT,2025-10-30 03:12:48
96.49,96.49,96.75,96.49,0.63,2.01,2.01,2.01,2.01,0.0,Mjolnir Javelin Rocket,13119,C-J6MT,2025-10-30 04:23:52
96.49,96.49,96.75,96.49,0.63,2.01,2.01,2.01,2.01,0.0,Mjolnir Javelin Rocket,13119,C-J6MT,2025-10-30 05:20:46
96.49,96.49,96.75,96.49,0.63,2.01,2.01,2.01,2.01,0.0,Mjolnir Javelin Rocket,13119,C-J6MT,2025-10-30 06:30:56
96.49,96.49,96.75,96.49,0.63,2.01,2.01,2.01,2.01,0.0,Mjolnir Javelin Rocket,13119,C-J6MT,2025-10-30 07:20:11
