Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-29 18:37:49
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-29 18:33:28
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-29 19:17:11
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-29 20:24:07
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-29 21:20:03
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-29 22:20:08
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-29 23:20:02
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 01:26:50
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 03:12:48
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 04:23:52
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 05:20:46
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 06:30:56
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 07:20:11
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 08:27:01
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 09:23:06
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 10:22:36
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 11:18:34
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 12:40:11
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 13:32:36
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 14:21:21
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 15:23:38
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 16:25:37
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 17:19:37
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 18:28:51
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 19:17:27
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 20:22:54
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 21:18:42
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 22:19:56
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-30 23:19:14
73.71,73.95,139.03,73.71,847.49,58.22,54.6,49.08,58.22,10.34,Mjolnir Javelin Rocket,13119,jita,2025-10-31 01:23:45
