Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
48.9,48.9,48.94,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-02 09:07:50
48.9,48.9,48.94,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-02 09:19:05
48.9,48.9,48.94,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-02 10:19:01
48.9,48.9,48.94,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-02 10:58:11
48.9,48.9,48.94,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-02 11:10:14
48.9,48.9,48.94,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-02 11:15:53
48.9,48.9,48.94,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-02 12:34:55
48.9,48.9,48.94,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-02 13:24:18
48.9,48.9,48.94,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-02 14:17:29
48.9,48.9,48.94,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-02 15:18:55
48.9,48.9,48.95,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-02 16:21:31
48.9,48.9,48.95,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-02 17:17:37
48.9,48.9,48.95,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-02 18:24:19
48.9,48.9,48.95,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-02 19:16:14
48.9,48.9,48.95,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-02 20:20:20
48.9,48.9,48.95,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-02 21:17:40
48.9,48.9,48.95,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-02 22:18:11
48.9,48.9,48.95,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-02 23:17:47
48.9,48.9,48.95,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-03 01:26:52
48.9,48.9,48.95,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-03 03:18:47
48.9,48.9,48.95,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-03 04:29:36
48.9,48.9,48.95,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-03 05:21:23
48.9,48.9,48.95,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-03 06:31:30
48.9,48.9,48.95,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-03 07:21:37
48.9,48.9,48.95,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-03 08:28:40
48.9,48.9,48.95,48.9,0.05,1.04,1.04,1.04,1.04,0.0,Mjolnir Light Missile,212,C-J6MT,2025-11-03 09:24:23
