Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
17180000.0,17350000.0,17883486.03,17180000.0,2000412.69,13940000.0,0.01,0.01,0.01,23769.6,Moa,623,jita,2025-11-02 09:07:51
17180000.0,17350000.0,17883486.03,17180000.0,2000412.69,13940000.0,0.01,0.01,0.01,23357.26,Moa,623,jita,2025-11-02 09:19:06
17180000.0,17350000.0,17883486.03,17180000.0,2000412.69,13940000.0,0.01,0.01,0.01,23357.26,Moa,623,jita,2025-11-02 10:19:01
17180000.0,17350000.0,17883486.03,17180000.0,2000412.69,13940000.0,0.01,0.01,0.01,23357.26,Moa,623,jita,2025-11-02 10:58:12
17180000.0,17350000.0,17883486.03,17180000.0,2000412.69,13940000.0,0.01,0.01,0.01,23357.26,Moa,623,jita,2025-11-02 11:10:15
17190000.0,17350000.0,17912105.7,17190000.0,2029459.89,13940000.0,0.01,0.01,0.01,22937.51,Moa,623,jita,2025-11-02 11:15:54
17190000.0,17350000.0,18145129.4,17190000.0,2380962.25,13940000.0,0.01,0.01,0.01,22937.51,Moa,623,jita,2025-11-02 12:34:56
17180000.0,17350000.0,18148375.94,17250000.0,2384137.18,13940000.0,0.01,0.01,0.01,22937.51,Moa,623,jita,2025-11-02 13:24:18
17250000.0,17350000.0,18155043.08,17250000.0,2390475.26,13940000.0,0.01,0.01,0.01,22937.51,Moa,623,jita,2025-11-02 14:17:30
17230000.0,17350000.0,18033652.58,17230000.0,2258196.46,13950000.0,0.01,0.01,0.01,24176.63,Moa,623,jita,2025-11-02 15:18:56
17230000.0,17350000.0,18033652.58,17230000.0,2258196.46,13950000.0,0.01,0.01,0.01,24176.63,Moa,623,jita,2025-11-02 16:21:32
17230000.0,17350000.0,18035869.29,17230000.0,2275426.2,13950000.0,0.01,0.01,0.01,23770.77,Moa,623,jita,2025-11-02 17:17:39
17230000.0,17350000.0,18040836.41,17230000.0,2281150.96,13950000.0,0.01,0.01,0.01,23770.77,Moa,623,jita,2025-11-02 18:24:20
17230000.0,17350000.0,18069288.26,17240000.0,2313384.86,13950000.0,0.01,0.01,0.01,23357.86,Moa,623,jita,2025-11-02 19:16:15
17240000.0,17350000.0,18077364.7,17240000.0,2322415.15,13950000.0,0.01,0.01,0.01,25736.69,Moa,623,jita,2025-11-02 20:20:21
17000000.0,17350000.0,17785891.74,17000000.0,2114110.97,13950000.0,0.01,0.01,0.01,25736.69,Moa,623,jita,2025-11-02 21:17:41
17000000.0,17350000.0,17803851.31,17000000.0,2133412.2,13950000.0,0.01,0.01,0.01,25736.69,Moa,623,jita,2025-11-02 22:18:12
17000000.0,17350000.0,17829114.14,17000000.0,2159932.61,13960000.0,0.01,0.01,0.01,31522.53,Moa,623,jita,2025-11-02 23:17:48
16900000.0,17310000.0,17740291.31,16900000.0,2079139.58,13960000.0,0.01,0.01,0.01,31522.53,Moa,623,jita,2025-11-03 01:26:53
16000000.0,17310000.0,17690564.59,16000000.0,2069211.19,13960000.0,0.01,0.01,0.01,31522.53,Moa,623,jita,2025-11-03 03:18:48
16000000.0,17310000.0,17690564.59,16000000.0,2069211.19,13960000.0,0.01,0.01,0.01,31522.53,Moa,623,jita,2025-11-03 04:29:37
16000000.0,17310000.0,17690564.59,16000000.0,2069211.19,13960000.0,0.01,0.01,0.01,31522.53,Moa,623,jita,2025-11-03 05:21:24
16000000.0,17310000.0,17694576.08,16000000.0,2069797.21,13960000.0,0.01,0.01,0.01,31522.53,Moa,623,jita,2025-11-03 06:31:31
16000000.0,17310000.0,17694576.08,16000000.0,2069797.21,13960000.0,0.01,0.01,0.01,31522.53,Moa,623,jita,2025-11-03 07:21:38
16000000.0,17310000.0,17702656.4,16000000.0,2070952.77,13960000.0,0.01,0.01,0.01,30898.13,Moa,623,jita,2025-11-03 08:28:41
16000000.0,17310000.0,17702656.4,16000000.0,2070952.77,13960000.0,0.01,0.01,0.01,30898.13,Moa,623,jita,2025-11-03 09:24:24
16000000.0,17310000.0,17714922.28,16520000.0,2072643.61,13980000.0,0.01,0.01,0.01,30272.84,Moa,623,jita,2025-11-03 10:24:18
16000000.0,17310000.0,17714922.28,16520000.0,2072643.61,13980000.0,0.01,0.01,0.01,30272.84,Moa,623,jita,2025-11-03 11:18:29
16000000.0,17310000.0,17714922.28,16520000.0,2072643.61,13980000.0,0.01,0.01,0.01,30272.84,Moa,623,jita,2025-11-03 12:40:48
15990000.0,17310000.0,17694451.22,15990000.0,2069895.5,13980000.0,0.01,0.01,0.01,30272.84,Moa,623,jita,2025-11-03 13:32:17
15980000.0,17310000.0,17694514.72,15990000.0,2073197.31,14000000.0,0.01,0.01,0.01,30284.86,Moa,623,jita,2025-11-03 14:20:59
15940000.0,17310000.0,17698001.22,15950000.0,2074227.27,14000000.0,0.01,0.01,0.01,30284.86,Moa,623,jita,2025-11-03 15:21:59
15930000.0,17310000.0,17702007.9,15940000.0,2074854.48,14000000.0,0.01,0.01,0.01,29959.52,Moa,623,jita,2025-11-03 16:23:53
15930000.0,17310000.0,17706261.49,16000000.0,2075291.67,14100000.0,0.01,0.01,0.01,30015.65,Moa,623,jita,2025-11-03 17:19:11
15930000.0,17310000.0,17714830.17,16000000.0,2076145.15,14100000.0,0.01,0.01,0.01,30015.65,Moa,623,jita,2025-11-03 18:28:14
15930000.0,17310000.0,17693561.5,15930000.0,2073959.73,14100000.0,0.01,0.01,0.01,30015.65,Moa,623,jita,2025-11-03 19:17:00
15910000.0,17310000.0,17693209.51,15910000.0,2074246.17,14100000.0,0.01,0.01,0.01,30015.65,Moa,623,jita,2025-11-03 20:24:06
15850000.0,17310000.0,17662345.39,15850000.0,2072475.38,14100000.0,0.01,0.01,0.01,30015.65,Moa,623,jita,2025-11-03 21:20:01
15780000.0,17310000.0,17652531.26,15780000.0,2072892.12,14100000.0,0.01,0.01,0.01,30015.65,Moa,623,jita,2025-11-03 22:20:36
15780000.0,17300000.0,17635260.57,15780000.0,2071850.12,14100000.0,0.01,0.01,0.01,30015.65,Moa,623,jita,2025-11-03 23:18:51
15770000.0,17310000.0,17648028.66,15770000.0,2072775.22,14100000.0,0.01,0.01,0.01,29682.63,Moa,623,jita,2025-11-04 01:23:38
