Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
2023000.0,2384000.0,2329695.34,2025000.0,584791.86,1831000.0,1810000.0,1720836.3,1831000.0,240749.68,Multispectrum Shield Hardener II,2281,jita,2025-11-02 09:07:53
2020000.0,2382000.0,2322195.64,2020000.0,580193.01,1831000.0,1810000.0,1720836.3,1831000.0,240749.68,Multispectrum Shield Hardener II,2281,jita,2025-11-02 09:19:08
2015000.0,2381000.0,2316666.44,2015000.0,577135.96,1831000.0,1810000.0,1720836.3,1831000.0,240749.68,Multispectrum Shield Hardener II,2281,jita,2025-11-02 10:19:03
2015000.0,2381000.0,2317560.04,2015000.0,577687.58,1831000.0,1810000.0,1720836.3,1831000.0,240749.68,Multispectrum Shield Hardener II,2281,jita,2025-11-02 10:58:15
2015000.0,2381000.0,2317560.04,2015000.0,577687.58,1831000.0,1810000.0,1720836.3,1831000.0,240749.68,Multispectrum Shield Hardener II,2281,jita,2025-11-02 11:10:17
2015000.0,2381000.0,2318569.69,2015000.0,578308.34,1831000.0,1810000.0,1720836.3,1831000.0,240749.68,Multispectrum Shield Hardener II,2281,jita,2025-11-02 11:15:56
1994000.0,2381000.0,2318756.34,2015000.0,578444.18,1833000.0,1810000.0,1731086.24,1833000.0,230529.65,Multispectrum Shield Hardener II,2281,jita,2025-11-02 12:34:59
2015000.0,2382000.0,2320366.23,2015000.0,579646.71,1836000.0,1817000.0,1759258.14,1836000.0,199327.42,Multispectrum Shield Hardener II,2281,jita,2025-11-02 13:24:20
2012000.0,2367000.0,2307522.7,2012000.0,572662.23,1838000.0,1817000.0,1761468.1,1838000.0,196990.71,Multispectrum Shield Hardener II,2281,jita,2025-11-02 14:17:32
2010000.0,2367000.0,2309022.22,2012000.0,573642.07,1838000.0,1817000.0,1757713.24,1838000.0,201325.95,Multispectrum Shield Hardener II,2281,jita,2025-11-02 15:18:59
2010000.0,2367000.0,2309292.45,2012000.0,573813.48,1839000.0,1817000.0,1757354.1,1838000.0,201803.05,Multispectrum Shield Hardener II,2281,jita,2025-11-02 16:21:34
2009000.0,2371000.0,2310649.35,2011000.0,574965.19,1840000.0,1817000.0,1757295.05,1838000.0,201875.7,Multispectrum Shield Hardener II,2281,jita,2025-11-02 17:17:41
2000000.0,2344000.0,2302337.02,2008000.0,569812.69,1842000.0,1817000.0,1757495.1,1841000.0,201894.0,Multispectrum Shield Hardener II,2281,jita,2025-11-02 18:24:22
2008000.0,2371000.0,2311814.59,2009000.0,574741.53,1841000.0,1817000.0,1756614.18,1840000.0,202856.63,Multispectrum Shield Hardener II,2281,jita,2025-11-02 19:16:17
2001000.0,2344000.0,2293748.29,2001000.0,569285.32,1843000.0,1817000.0,1759570.59,1843000.0,200308.18,Multispectrum Shield Hardener II,2281,jita,2025-11-02 20:20:23
1993000.0,2344000.0,2291206.38,1994000.0,567768.36,1843000.0,1817000.0,1758808.96,1843000.0,201139.37,Multispectrum Shield Hardener II,2281,jita,2025-11-02 21:17:44
1844000.0,2344000.0,2294052.07,2000000.0,569625.3,1844000.0,1817000.0,1759035.5,1843000.0,200896.93,Multispectrum Shield Hardener II,2281,jita,2025-11-02 22:18:14
1993000.0,2344000.0,2295102.34,2000000.0,570258.96,1843000.0,1817000.0,1758174.81,1843000.0,201843.67,Multispectrum Shield Hardener II,2281,jita,2025-11-02 23:17:50
